Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
2-stupid-dogs-ankle-socks,"2 Stupid Dogs Ankle Socks","2 Stupid Dogs is an American animated television series, created and designed by Donovan Cook and produced by Hanna-Barbera and Turner Program Services, that originally ran from September 5, 1993, to May 15, 1995, on Syndication and TBS. The main segments of the show featured two dogs, called &#34;The Big Dog&#34; and &#34;The Little Dog&#34; in the credits. The Big Dog was voiced by Brad Garrett and the Little Dog was voiced by Mark Schiff. Reruns are played on Cartoon Network and later its classic animation network Boomerang in 2005 through 2007, and returned on June 1, 2009 (though only showing it every summer), and also returned on July 5, 2011, to Cartoon Network for the first time in ten years, but it left on September 23, 2011, and it was removed from the lineup foeplacement for Courage the Cowardly Dog on September 26, 2011.Get youtupid Dogs T-Shirt today!","Totally 90s",Socks,"$20 Holla, All-Over-Prints, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, size-One-Size, Socks, theme-cartoons, Totally 90s",FALSE,Size,"One Size",Color,"Mint Cream",,,AOPAS0723UOS,0,,1,deny,manual,8.00,13.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/2_Stupid_Dogs_Ankle_Socks_Mockup.jpg?v=1438475056,,FALSE,AOPAS0723UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/2_Stupid_Dogs_Ankle_Socks_Mockup.jpg?v=1438475056&var_sku=AOPAS0723UOS,lb
activated-turtle-cap-ankle-socks,"Activated Turtle Cap Ankle Socks","This positive little guy wearing a turtle cap is here to brighten up your day!Designer: Chris Dyer","Positive Creations",Socks,"$20 Holla, All-Over-Prints, Artist Made, care-instructions, Chris Dyer, Coupon, Girls, Guys, Positive Creations, Retail, size-One-Size, Socks, theme-art, theme-psychedelic",FALSE,Size,"One Size",Color,"Old Lace",,,CPCAS0008UOS,0,,1,deny,manual,8.00,13.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCAS0008UOS_ActivatedTurtleCap_Mockup_af17b120-6f0a-4d41-b4a4-80ee67cfa7df.jpg?v=1438475022,,FALSE,CPCAS0008UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks","Positve Creations Activated Turtle Cap All Over Print Ankle Socks","This positive little guy wearing a turtle cap is here to brighten up your day! Designer: Chris Dyer",,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCAS0008UOS_ActivatedTurtleCap_Mockup_af17b120-6f0a-4d41-b4a4-80ee67cfa7df.jpg?v=1438475022,lb
activated-turtle-cap-rainbow-ankle-socks,"Activated Turtle Cap Limited Edition Rainbow Ankle Socks","This positive little guy wearing a turtle cap is here to brighten up your day!Designer: Chris Dyer","Positive Creations",Socks,"$20 Holla, All-Over-Prints, Artist Made, care-instructions, Chris Dyer, Coupon, Girls, Guys, Positive Creations, Retail, size-One-Size, Socks, theme-art, theme-psychedelic",FALSE,Size,"One Size",Color,Yellow,,,CPCAS0009UOS,0,,1,deny,manual,8.00,13.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCAS0008UOS_ActivatedTurtleCap_Mockup.jpg?v=1438475012,,FALSE,CPCAS0009UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks","Positive Creations Activated Turtle Cap Rainbow Ankle Socks",,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCAS0008UOS_ActivatedTurtleCap_Mockup.jpg?v=1438475012&var_sku=CPCAS0009UOS,lb
american-psycho-ankle-socks,"American Psycho Ankle Socks","Now you can have killer looks just like Patrick Bateman with these socks. Just don&#39;t turn psycho ;)","Let's Rage",Socks,"All-Over-Prints, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, size-One-Size, Socks",FALSE,Size,"One Size",Color,Peru,,,AOPAS0015UOS,0,,1,deny,manual,8.00,13.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPAS0015UOS_American_Psycho_Double_Mockup.jpg?v=1438475192,,FALSE,AOPAS0015UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPAS0015UOS_American_Psycho_Double_Mockup.jpg?v=1438475192,lb
american-psycho-blood,"American Psycho Blood Ankle Socks","You can add more to your American Psycho collection with these Let&#39;s Rage American Psycho Blood Ankle Socks.","Let's Rage",Socks,"All-Over-Prints, care-instructions, Coupon, Girls, Guys, Let's Rage, PreOrdered, Retail, shipping-21-days, size-One-Size, Socks",FALSE,Size,"One Size",Color,Thistle,,,AOPAS0356UOS,0,,1,deny,manual,8.00,13.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPAS0356UOS_American_Psycho_Blood_Mockup.jpg?v=1438475197,,FALSE,AOPAS0356UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPAS0356UOS_American_Psycho_Blood_Mockup.jpg?v=1438475197,lb
ancient-mew-ankle-socks,"Ancient Mew Ankle Socks","Remember the original Pokemon movie? Well, you are true Pokemon fan unless you own this piece of Pokemon clothing, and that&#39;s that. Get these historic, all over print Ancient Mew T-Shirts and show the world you&#39;re out to catch em all.","Let's Rage",Socks,"All-Over-Prints, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, size-One-Size, Socks, theme-pokemon",FALSE,Size,"One Size",Color,"Dark Olive Green",,,AOPAS0017UOS,0,,1,deny,manual,8.00,13.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Ancient_Mew_Ankle_Socks_Mockup.jpg?v=1438474611,,FALSE,AOPAS0017UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Ancient_Mew_Ankle_Socks_Mockup.jpg?v=1438474611&var_sku=AOPAS0017UOS,lb
bacon-cat-ankle-socks,"Bacon Cat Ankle Socks","Bacon Cat Ankle Socks pretty much sums it up. We&#39;ve been waiting for you.","Let's Rage",Socks,"All-Over-Prints, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, Sale, size-One-Size, Socks, theme-animals, theme-cats",FALSE,Size,"One Size",Color,"Old Lace",,,AOPAS0023UOS,0,,1,deny,manual,8.00,15.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bacon_Cat_Ankle_Socks_Mockup.jpg?v=1438474728,,FALSE,AOPAS0023UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bacon_Cat_Ankle_Socks_Mockup.jpg?v=1438474728&var_sku=AOPAS0023UOS,lb
bacon-pizza-space-cat-ankle-socks,"Bacon Pizza Space Cat Ankle Socks","All over print UFO bacon pizza cats in space! Our Bacon Pizza Space Cat Ankle socks have it all! This cat is floating on a piece of pepperoni pizza, trying to get away from the bacon rays of the oncoming UFOs!","Let's Rage",Socks,"All-Over-Prints, care-instructions, Coupon, Electronic Dance Music, Girls, Guys, Let's Rage, Retail, size-One-Size, Socks, theme-animals, theme-cats, theme-space",FALSE,Size,"One Size",Color,"Mint Cream",,,AOPAS0024UOS,0,,1,deny,manual,8.00,13.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bacon_Pizza_Space_Cat_Ankle_Socks_Mockup.jpg?v=1438474705,,FALSE,AOPAS0024UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bacon_Pizza_Space_Cat_Ankle_Socks_Mockup.jpg?v=1438474705&var_sku=AOPAS0024UOS,lb
bursting-star-ankle-socks,"Bursting Star Ankle Socks","Stars are just bursting balls of gas, and this Psychedelia has the bursting effect going on for sure. Grab your eye catching Bursting Star ankle socks while you can.",Psychedelia,Socks,"All-Over-Prints, care-instructions, Coupon, Girls, Guys, PreOrdered, Psychedelia, Retail, shipping-21-days, size-One-Size, Socks, theme-psychedelic",FALSE,Size,"One Size",Color,Azure,,,PSYAS0002UOS,0,,1,deny,manual,13.00,18.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/PSYAS0002UOS_Bursting_Star_T-Shirt_Mockup.jpg?v=1438475269,,FALSE,PSYAS0002UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/PSYAS0002UOS_Bursting_Star_T-Shirt_Mockup.jpg?v=1438475269,lb
custom-all-over-print-ankle-socks,"Custom, All-Over-Print Ankle Socks","
CUSTOM, ALL-OVER-PRINT ANKLE SOCKS ?ARE HERE!Want to create your own custom t-shirt, tank top, sweatshirt, or pretty much anything else? Click here to get in the know!
These custom shirts, as well as your favorite Rage On designs, are marked ?at our lowest prices ever for a LIMITED TIME ONLY exclusively through this Kickstarter! SnapShirt promises to change the way the world does all-over-print and more, so take advantage of these great savings to get the garment ?you&#39;ve always wanted, courtesy of the people who&#39;ve brought you RageOn!","Let's Rage",Socks,"Custom, Girls, Guys, Let's Rage, PreOrdered, Retail, shipping-21-days, size-One-Size",FALSE,Size,"One Size",Color,Cyan,,,CUSAS0000UOS,0,shopify,1,deny,manual,10.00,13.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/ProductAnkleSocks.jpg?v=1438478878,,FALSE,CUSAS0000UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ProductAnkleSocks.jpg?v=1438478878&var_sku=CUSAS0000UOS,lb
diamond-lust-ankle-socks,"Diamond Lust Ankle Socks","Get these vibrant Diamond Lust Ankle Socks from Buddha Pop now!","Buddha Pop",Socks,"All-Over-Prints, Artist Made, Buddha Pop, care-instructions, Coupon, Girls, Guys, Retail, size-One-Size, Socks, theme-art, theme-streetwear",FALSE,Size,"One Size",Color,Yellow,,,BDPAS0003UOS,0,,1,deny,manual,13.00,18.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPAS0003UOS_Diamond_Lust_Mockup.jpg?v=1438476158,,FALSE,BDPAS0003UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPAS0003UOS_Diamond_Lust_Mockup.jpg?v=1438476158,lb
dino-ankle-socks,"Dino Ankle Socks","Check out these rad Dino Ankle Socks from Let&#39;s Rage. You can wear these all the time and they won&#39;t go extinct.","Let's Rage",Socks,"All-Over-Prints, care-instructions, Coupon, Girls, Guys, Let's Rage, PreOrdered, Retail, shipping-21-days, size-One-Size, Socks",FALSE,Size,"One Size",Color,"Mint Cream",,,AOPAS0067UOS,0,,1,deny,manual,8.00,13.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPAS0067UOS_Dino_Mockup.jpg?v=1438475208,,FALSE,AOPAS0067UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPAS0067UOS_Dino_Mockup.jpg?v=1438475208,lb
good-burger-ankle-socks,"Good Burger Ankle Socks","Welcome to Good Burger, home of the Good Burger, can I take your order?","Let's Rage",Socks,"$20 Holla, All-Over-Prints, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, size-One-Size, Socks",FALSE,Size,"One Size",Color,Orange,,,AOPAS0282UOS,0,,1,deny,manual,8.00,13.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Good_Burger_Ankle_Socks_Mockup.jpg?v=1438474582,,FALSE,AOPAS0282UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks","Good Burger All Over Print Ankle Socks",,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Good_Burger_Ankle_Socks_Mockup.jpg?v=1438474582&var_sku=AOPAS0282UOS,lb
hey-arnold-ankle-socks,"Hey Arnold Ankle Socks","Who remembers Hey Arnold? Check out everyone&#39;s favorite football head rocking out with Kurt Cobain! Get your Hey Arnold T-Shirt now!","Totally 90s",Socks,"All-Over-Prints, care-instructions, Coupon, Girls, Guys, PreOrdered, Retail, shipping-21-days, size-One-Size, Socks, theme-cartoons, Totally 90s",FALSE,Size,"One Size",Color,"Old Lace",,,AOPAS0309UOS,0,,1,deny,manual,8.00,13.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Hey_Arnold_Ankle_Socks_Mockup_1.jpg?v=1438475546,,FALSE,AOPAS0309UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Hey_Arnold_Ankle_Socks_Mockup_1.jpg?v=1438475546&var_sku=AOPAS0309UOS,lb
kitty-glitter-ankle-socks,"Kitty Glitter Ankle Socks","Space.Kitten&#39;s frontier.. You&#39;ve gourple space scene and kittens all over your body. It won&#39;t stop because you can&#39;t stop. You&#39;re clearly ready to rage. What&#39;s next?","Let's Rage",Socks,"All-Over-Prints, care-instructions, Coupon, Electronic Dance Music, Girls, Guys, Let's Rage, PreOrdered, Retail, shipping-21-days, size-One-Size, Socks, theme-animals, theme-cats, theme-space",FALSE,Size,"One Size",Color,"Lime Green",,,AOPAS0121UOS,0,,1,deny,manual,8.00,13.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPAS0121UOS_Kitty_Glitter_Mockup.jpg?v=1438475217,,FALSE,AOPAS0121UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPAS0121UOS_Kitty_Glitter_Mockup.jpg?v=1438475217,lb
oscar-the-nug-ankle-socks,"Oscar The Nug Ankle Socks","Ever wonder what Oscar the Grouch really truly was? Check out his pre-evolved form, we&#39;ve got it on ankle socks so you can show the world!","High Times",Socks,"All-Over-Prints, care-instructions, Coupon, Girls, Guys, High Times, Let's Rage, PreOrdered, Retail, shipping-21-days, size-One-Size, Socks, theme-drugs",FALSE,Size,"One Size",Color,"Light Sea Green",,,AOPAS0164UOS,0,,1,deny,manual,8.00,13.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPAS0164UOS_Oscar_The_Nug_Mockup.jpg?v=1438475222,,FALSE,AOPAS0164UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPAS0164UOS_Oscar_The_Nug_Mockup.jpg?v=1438475222,lb
pikachu-in-kandiland-ankle-socks,"Pikachu in Kandiland Ankle Socks","Pokemon shirt, YAY! This Pikachu in Kandiland Tank Top is every Kandi Ravers fantasy come true. Everyone will want to hug the shit out of you and PLUR all over you while you&#39;re wearing the ?Pikachu in Kandiland Ankle Socks.","Let's Rage",Socks,"All-Over-Prints, care-instructions, Coupon, Girls, Guys, Let's Rage, PreOrdered, Retail, shipping-21-days, size-One-Size, Socks, theme-pokemon",FALSE,Size,"One Size",Color,"Ghost White",,,AOPAS0174UOS,0,,1,deny,manual,8.00,13.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPAS0174UOS_Pikachu_in_Kandiland_Mockup.jpg?v=1438475234,,FALSE,AOPAS0174UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPAS0174UOS_Pikachu_in_Kandiland_Mockup.jpg?v=1438475234,lb
