Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
3d-transformers-bandana,"3D Transformers Bandana","This one-sided print 3D Transformers Bandana design is more than meets the eye! This sexy Optimus Prime design screams new school swag! Get it today! Only from RageOn.com!","Let's Rage",Bandanas,"All-Over-Prints, Apartment, Bandanas, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, shipping-21-days, size-One-Size",TRUE,Size,"One Size",Color,Cyan,,,AOPBA0000UOSAPT,0,,-2,deny,manual,14.84,20.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBA0000UAPT_3D_Transformers_Mockup.jpg?v=1438481578,,FALSE,AOPBA0000UOSAPT,unisex,adult,"apparel & accessories > clothing accessories > bandanas & headties",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBA0000UAPT_3D_Transformers_Mockup.jpg?v=1438481578&var_sku=AOPBA0000UOSAPT,lb
activated-turtle-cap-bandana,"Activated Turtle Cap Bandana","This positive little guy wearing a turtle cap is here to brighten up your day! Get your one-sided Activated Turtle Cap Bandana at Rageon.com! ","Positive Creations",Bandanas,"All-Over-Prints, Apartment, Artist Made, Bandanas, care-instructions, Chris Dyer, Coupon, Girls, Guys, Positive Creations, Retail, shipping-10-days, size-One-Size, theme-art, theme-psychedelic",TRUE,Size,"One Size",Color,"Midnight Blue",,,CPCBA0008UOSAPT,0,,-3,deny,manual,14.84,20.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCBA0008UOS_ActivatedTurtleCap_MockupFile.jpg?v=1438482405,,FALSE,CPCBA0008UOSAPT,unisex,adult,"apparel & accessories > clothing accessories > bandanas & headties",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCBA0008UOS_ActivatedTurtleCap_MockupFile.jpg?v=1438482405&var_sku=CPCBA0008UOSAPT,lb
admiral-ackbar-trap-bandana,"Admiral Ackbar TRAP Bandana","
Get this one-sided Admiral Ackbar TRAP Bandana from Let&#39;s Rage! Admiral Ackbar, also known as Admiral Gial Ackbar is a famous character from one of our favorite movies, Star Wars: Return of the Jedi, has had his body replaced with that of the previous dictator of North Korea, Kim-Jun-Un. With the Millenium Falcon flying in the background, hopefully being flown by Han Solo and Chewbacca, what better time to Run the Trap ! Get your Admiral Ackbar TRAP Bandana design while you can, only on Rage On! ","Let's Rage",Bandanas,"All-Over-Prints, Apartment, Bandanas, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-One-Size",TRUE,Size,"One Size",Color,"Dark Cyan",,,AOPBA0005UOSAPT,0,,-9,deny,manual,14.84,20.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBA0005UOS_AdmiralAckbar_MockupFile.jpg?v=1438482457,,FALSE,AOPBA0005UOSAPT,unisex,adult,"apparel & accessories > clothing accessories > bandanas & headties",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBA0005UOS_AdmiralAckbar_MockupFile.jpg?v=1438482457&var_sku=AOPBA0005UOSAPT,lb
adventure-fun-bandana,"Adventure Fun Bandana","
Thisone-sidedprintAdventureFun Bandana design is an original Adventure Time and Regular Show mash up! Get this exclusive bandana today, only on RageOn.com!","Let's Rage",Bandanas,"All-Over-Prints, Apartment, Bandanas, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-One-Size",TRUE,Size,"One Size",Color,"Saddle Brown",,,AOPBA0006UOSAPT,0,,-1,deny,manual,14.84,20.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBA0006UAPT_Adventure_Fun_Mockup_fc5fc0a9-9372-42a5-ac09-7c8fa03788a2.jpg?v=1438499853,,FALSE,AOPBA0006UOSAPT,unisex,adult,"apparel & accessories > clothing accessories > bandanas & headties",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBA0006UAPT_Adventure_Fun_Mockup_fc5fc0a9-9372-42a5-ac09-7c8fa03788a2.jpg?v=1438499853&var_sku=AOPBA0006UOSAPT,lb
adventure-time-party-god-bandana,"Adventure Time Party God Bandana","This Adventure Time Party God Bandana is inspired by the &#34;Power Animal&#34; episode of popular fantasy cartoon Adventure Time. The Party God is, as his name implies, the god of partying! Get this one-sided print bandana from Let&#39;s Rage now, exclusively on Rage On! ","Let's Rage",Bandanas,"All-Over-Prints, Apartment, Bandanas, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-One-Size, theme-cartoons",TRUE,Size,"One Size",Color,"Olive Drab",,,AOPBA0340UOSAPT,0,,-2,deny,manual,14.84,20.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBA0340UOS_AdventureTimePartyGod_MockupFile.jpg?v=1438482498,,FALSE,AOPBA0340UOSAPT,unisex,adult,"apparel & accessories > clothing accessories > bandanas & headties",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBA0340UOS_AdventureTimePartyGod_MockupFile.jpg?v=1438482498&var_sku=AOPBA0340UOSAPT,lb
adventure-waves-bandana,"Adventure Waves Bandana","Check out this all-over print Adventure Waves Bandanadesign! This headwearfeatures Jake the Dog from Adventure Time with Fin andJake. Thishandkerchiefdesignreplaced the original cat smoking weed from the King of the Beach cover by our favorite American rock band, Wavves! This vibrant hankydesign is quite thethe perfect combination of rock &#39;n&#39; roll meets cartoons! Getit today, only on RageOn!","Let's Rage",Bandanas,"All-Over-Prints, Apartment, Bandanas, care-instructions, Coupon, Girls, Guys, High Times, Retail, shipping-10-days, size-One-Size, theme-cartoons, theme-drugs, theme-pop-culture, theme-psychedelic",TRUE,Size,"One Size",Color,"Dark Salmon",,,AOPBA0007UOSAPT,0,,-1,deny,manual,14.84,20.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBA0007UAPT_Adventure_Waves_Mockup.jpg?v=1438501155,,FALSE,AOPBA0007UOSAPT,unisex,adult,"apparel & accessories > clothing accessories > bandanas & headties",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBA0007UAPT_Adventure_Waves_Mockup.jpg?v=1438501155&var_sku=AOPBA0007UOSAPT,lb
american-psycho-bandana,"American Psycho Bandana","Who wouldn&#39;t want to chill out with Patrick Bateman in this super-comfy one-sided American Psycho Bandana, go get yours today!!! Only from RageOn.com!!! ","Let's Rage",Bandanas,"All-Over-Prints, Apartment, Bandanas, care-instructions, Coupon, Girls, Guys, Retail, shipping-10-days, size-One-Size",TRUE,Size,"One Size",Color,"Fire Brick",,,AOPBA0015UOSAPT,0,,-9,deny,manual,14.84,20.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBA0015UAPT_American_Psycho_Mockup_d87ad141-4eec-4265-aef4-a114cd6762fa.jpg?v=1438479844,,FALSE,AOPBA0015UOSAPT,unisex,adult,"apparel & accessories > clothing accessories > bandanas & headties",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBA0015UAPT_American_Psycho_Mockup_d87ad141-4eec-4265-aef4-a114cd6762fa.jpg?v=1438479844&var_sku=AOPBA0015UOSAPT,lb
americana-badana,"Americana Bandana","
Get this rad one-sided print Americana Bandana today! Show off your edgy patriot side, only from RageOn.com!","Let's Rage",Bandanas,"All-Over-Prints, Apartment, Bandanas, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-One-Size",TRUE,Size,"One Size",Color,Cyan,,,AOPBA0016UOSAPT,0,,-21,deny,manual,14.84,20.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBA0016UOS_AmericanPsycho_MockupFile.jpg?v=1438482567,,FALSE,AOPBA0016UOSAPT,unisex,adult,"apparel & accessories > clothing accessories > bandanas & headties",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBA0016UOS_AmericanPsycho_MockupFile.jpg?v=1438482567&var_sku=AOPBA0016UOSAPT,lb
anchor-of-light-bandana,"Anchor of Light Bandana","This gorgeous lady with a baby is going to be the light of your life in this one-sided print Anchor of Light Bandana design! Get yours today, only from RageOn.com!","Positive Creations",Bandanas,"All-Over-Prints, Apartment, Artist Made, Bandanas, care-instructions, Chris Dyer, Coupon, Girls, Guys, Positive Creations, Retail, shipping-10-days, size-One-Size, theme-art, theme-psychedelic",TRUE,Size,"One Size",Color,"Lime Green",,,CPCBA0001UOSAPT,0,,-2,deny,manual,14.84,20.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCBA0001UAPT_Anchor_of_Light_Mockup.jpg?v=1438482197,,FALSE,CPCBA0001UOSAPT,unisex,adult,"apparel & accessories > clothing accessories > bandanas & headties",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCBA0001UAPT_Anchor_of_Light_Mockup.jpg?v=1438482197&var_sku=CPCBA0001UOSAPT,lb
ancient-mew-bandana,"Ancient Mew Bandana","Remember the original Pokemon movie? Well, you aren&#39;t a true Pokemon fan unless you own this legendary one-sided print Ancient Mew Bandana design! Celebrate this legendary Pokemon that grabbed our childhood by the Pokeballs and show the world you&#39;re out to catch em all!!! Only from RageOn.com!","Let's Rage",Bandanas,"All-Over-Prints, Apartment, Bandanas, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-One-Size, theme-pokemon",FALSE,Size,"One Size",Color,"Light Gray",,,AOPBA0017UOSAPT,0,,-13,deny,manual,14.84,20.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBA0017UAPT_Ancient_Mew_Mockup.jpg?v=1438481847,,FALSE,AOPBA0017UOSAPT,unisex,adult,"apparel & accessories > clothing accessories > bandanas & headties",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBA0017UAPT_Ancient_Mew_Mockup.jpg?v=1438481847&var_sku=AOPBA0017UOSAPT,lb
