Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
ancient-mew-board-shorts,"Ancient Mew Board Shorts","<meta charset=""utf-8""><span>These all-over print </span><span>Ancient Mew Board Shorts celebrate the legendary Pokemon that grabbed our childhood by the Pokeballs! Get this vibrant, fully sublimated design from Let's Rage, only at Rage On!</span>","Let's Rage",Swimwear,"All-Over-Prints, care-instructions, Coupon, Guys, Let's Rage, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, Swimwear, theme-anime, theme-cartoons, theme-pokemon",0,Size,S,,"Thistle, Indigo, Yellow Green",,,AOPBD0017USM,0,,1,deny,manual,50,60,0,0,,https://cdn.shopify.com/s/files/1/0228/8535/products/23.jpg?v=1438502217,,0,,unisex,adult,"apparel & accessories > clothing > pants",,,,,,0,,,,,,,lb
ancient-mew-board-shorts,,,,,,0,Size,L,Color,"Thistle, Indigo, Yellow Green",,,AOPBD0017ULG,0,,-1,deny,manual,50,60,0,0,,,,0,,,,,,,,,,0,,,,,,,lb
ancient-mew-board-shorts,,,,,,0,Size,M,Color,"Thistle, Indigo, Yellow Green",,,AOPBD0017UMD,0,,0,deny,manual,50,60,0,0,,,,0,,,,,,,,,,0,,,,,,,lb
ancient-mew-board-shorts,,,,,,0,Size,XL,Color,"Thistle, Indigo, Yellow Green",,,AOPBD0017UXL,0,,-1,deny,manual,50,60,0,0,,,,0,,,,,,,,,,0,,,,,,,lb
archi-building-boardshorts,"Archi Building Boardshorts","<p><span>Take on the waves in these Archi Building Boardshorts from Gugu!?</span></p><p>Printed swim shorts</p><p><span>sewn in Bielsko-Biala, Poland</span></p><div><span>?</span></div>","Mr. GuGu",Swimwear,"Coupon, Guys, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, Swimwear",0,Size,S,Color,"Medium Sea Green, Light Gray, Forest Green",,,GUGBD0014USM,0,,1,deny,manual,60,70,0,0,,https://cdn.shopify.com/s/files/1/0228/8535/products/Archi_Building_Boardshorts.jpg?v=1438475706,,0,,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,0,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Archi_Building_Boardshorts.jpg?v=1438475706,lb
archi-building-boardshorts,,,,,,0,Size,L,Color,"Medium Sea Green, Light Gray, Forest Green",,,GUGBD0014ULG,0,,1,deny,manual,60,70,0,0,,,,0,,,,,,,,,,0,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Archi_Building_Boardshorts.jpg?v=1438475706,lb
archi-building-boardshorts,,,,,,0,Size,M,Color,"Medium Sea Green, Light Gray, Forest Green",,,GUGBD0014UMD,0,,1,deny,manual,60,70,0,0,,,,0,,,,,,,,,,0,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Archi_Building_Boardshorts.jpg?v=1438475706,lb
archi-building-boardshorts,,,,,,0,Size,XL,Color,"Medium Sea Green, Light Gray, Forest Green",,,GUGBD0014UXL,0,,1,deny,manual,60,70,0,0,,,,0,,,,,,,,,,0,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Archi_Building_Boardshorts.jpg?v=1438475706,lb
bananas-boardshorts,"Bananas Boardshorts","<p><span>When you buy these Bananas Boardshorts, you'll make everyone go- you guessed it, BANANAS!</span></p>
<p><span>Printed swim shorts</span><br><span>sewn in Bielsko-Biala, Poland</span></p>
<div></div>","Mr. GuGu",Swimwear,"Coupon, Guys, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, Swimwear",0,Size,S,Color,"Silver, Medium Slate Blue, Lime Green",,,GUGBD0015USM,0,,0,deny,manual,60,70,0,0,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bananas_Boardshorts_1.jpg?v=1438475728,,0,,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,0,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bananas_Boardshorts_1.jpg?v=1438475728,lb
bananas-boardshorts,,,,,,0,Size,L,Color,"Silver, Medium Slate Blue, Lime Green",,,GUGBD0015ULG,0,,-1,deny,manual,60,70,0,0,,,,0,,,,,,,,,,0,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bananas_Boardshorts_1.jpg?v=1438475728,lb
