Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
bananas-swim-briefs,"Bananas Swim Briefs","<span>Printed swim briefs</span><br><span>sewn in Bielsko-Biala, Poland</span>","Mr. GuGu",Swimwear,"Coupon, Guys, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, Swimwear",TRUE,Size,Small,Color,"Light Gray",,,GUGBF0000USM,0,,-1,deny,manual,44.95,54.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bananas_Swim_Briefs.jpg?v=1438475731,,FALSE,GUGBF0000USM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bananas_Swim_Briefs.jpg?v=1438475731&var_sku=GUGBF0000USM,lb
bananas-swim-briefs,,,,,,TRUE,Size,Large,Color,"Light Gray",,,GUGBF0000ULG,0,,-1,deny,manual,44.95,54.95,TRUE,TRUE,,,,TRUE,GUGBF0000ULG,unisex,adult,"apparel & accessories > clothing > swimwear",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bananas_Swim_Briefs.jpg?v=1438475731&var_sku=GUGBF0000ULG,lb
bananas-swim-briefs,,,,,,TRUE,Size,Medium,Color,"Light Gray",,,GUGBF0000UMD,0,,1,deny,manual,44.95,54.95,TRUE,TRUE,,,,TRUE,GUGBF0000UMD,unisex,adult,"apparel & accessories > clothing > swimwear",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bananas_Swim_Briefs.jpg?v=1438475731&var_sku=GUGBF0000UMD,lb
bananas-swim-briefs,,,,,,TRUE,Size,X-Large,Color,"Light Gray",,,GUGBF0000UXL,0,,0,deny,manual,44.95,54.95,TRUE,TRUE,,,,TRUE,GUGBF0000UXL,unisex,adult,"apparel & accessories > clothing > swimwear",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bananas_Swim_Briefs.jpg?v=1438475731&var_sku=GUGBF0000UXL,lb
clouds-swim-briefs,"Clouds Swim Briefs","<p>Printed swim briefs?</p>
<p>sewn in Bielsko-Biala, Poland</p>","Mr. GuGu",Swimwear,"Coupon, Guys, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, Swimwear",TRUE,Size,Small,Color,"Royal Blue",,,GUGBF0004USM,0,,1,deny,manual,44.95,54.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Clouds_Swim_Briefs_1.jpg?v=1438475732,,FALSE,GUGBF0004USM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Clouds_Swim_Briefs_1.jpg?v=1438475732&var_sku=GUGBF0004USM,lb
clouds-swim-briefs,,,,,,TRUE,Size,Large,Color,"Royal Blue",,,GUGBF0004ULG,0,,1,deny,manual,44.95,54.95,TRUE,TRUE,,,,TRUE,GUGBF0004ULG,unisex,adult,"apparel & accessories > clothing > swimwear",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Clouds_Swim_Briefs_1.jpg?v=1438475732&var_sku=GUGBF0004ULG,lb
clouds-swim-briefs,,,,,,TRUE,Size,Medium,Color,"Royal Blue",,,GUGBF0004UMD,0,,1,deny,manual,44.95,54.95,TRUE,TRUE,,,,TRUE,GUGBF0004UMD,unisex,adult,"apparel & accessories > clothing > swimwear",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Clouds_Swim_Briefs_1.jpg?v=1438475732&var_sku=GUGBF0004UMD,lb
clouds-swim-briefs,,,,,,TRUE,Size,X-Large,Color,"Royal Blue",,,GUGBF0004UXL,0,,1,deny,manual,44.95,54.95,TRUE,TRUE,,,,TRUE,GUGBF0004UXL,unisex,adult,"apparel & accessories > clothing > swimwear",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Clouds_Swim_Briefs_1.jpg?v=1438475732&var_sku=GUGBF0004UXL,lb
david-swim-briefs,"David Swim Briefs","Printed swim briefs<br>sewn in Bielsko-Biala, PolandX","Mr. GuGu",Swimwear,"Coupon, Guys, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, Swimwear",TRUE,Size,Small,Color,"Lime Green",,,GUGBF0001USM,0,,1,deny,manual,44.95,54.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/David_Swim_Briefs_1.jpg?v=1438475734,,FALSE,GUGBF0001USM,unisex,adult,"apparel & accessories > clothing > swimwear",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/David_Swim_Briefs_1.jpg?v=1438475734&var_sku=GUGBF0001USM,lb
david-swim-briefs,,,,,,TRUE,Size,Large,Color,"Lime Green",,,GUGBF0001ULG,0,,1,deny,manual,44.95,54.95,TRUE,TRUE,,,,TRUE,GUGBF0001ULG,unisex,adult,"apparel & accessories > clothing > swimwear",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/David_Swim_Briefs_1.jpg?v=1438475734&var_sku=GUGBF0001ULG,lb
david-swim-briefs,,,,,,TRUE,Size,Medium,Color,"Lime Green",,,GUGBF0001UMD,0,,1,deny,manual,44.95,54.95,TRUE,TRUE,,,,TRUE,GUGBF0001UMD,unisex,adult,"apparel & accessories > clothing > swimwear",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/David_Swim_Briefs_1.jpg?v=1438475734&var_sku=GUGBF0001UMD,lb
david-swim-briefs,,,,,,TRUE,Size,X-Large,Color,"Lime Green",,,GUGBF0001UXL,0,,1,deny,manual,44.95,54.95,TRUE,TRUE,,,,TRUE,GUGBF0001UXL,unisex,adult,"apparel & accessories > clothing > swimwear",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/David_Swim_Briefs_1.jpg?v=1438475734&var_sku=GUGBF0001UXL,lb
