Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
3d-transformers-duvet-cover,"3D Transformers Duvet Cover","<meta charset=""utf-8"">
<p><span>This all-over print 3D Transformers Duvet Cover design is more than meets the eye! This sexy Optimus Prime design screams new school swag!? _</span><span>Get it today! Only from RageOn.com!</span></p>","Let's Rage","Duvet Covers","All-Over-Prints, Apartment, care-instructions, Coupon, Duvet Cover, Duvet Covers, Girls, Guys, Let's Rage, Retail, size-King, size-Queen, size-Twin",TRUE,Size,"Twin Size",Color,"Midnight Blue",,,AOPBG0000UTWAPT,0,,0,deny,manual,99.99,99.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBG0000UAPT_3D_Transformers_Mockup.jpg?v=1438481601,,FALSE,AOPBG0000UTWAPT,unisex,adult,"home & garden > linens & bedding > bedding > duvet covers",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBG0000UAPT_3D_Transformers_Mockup.jpg?v=1438481601&var_sku=AOPBG0000UTWAPT,lb
3d-transformers-duvet-cover,,,,,,TRUE,Size,"King Size",Color,"Midnight Blue",,,AOPBG0000UKGAPT,0,,0,deny,manual,99.99,99.99,TRUE,TRUE,,,,TRUE,AOPBG0000UKGAPT,unisex,adult,"home & garden > linens & bedding > bedding > duvet covers",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBG0000UAPT_3D_Transformers_Mockup.jpg?v=1438481601&var_sku=AOPBG0000UKGAPT,lb
3d-transformers-duvet-cover,,,,,,TRUE,Size,"Queen Size",Color,"Midnight Blue",,,AOPBG0000UQNAPT,0,,1,deny,manual,99.99,99.99,TRUE,TRUE,,,,TRUE,AOPBG0000UQNAPT,unisex,adult,"home & garden > linens & bedding > bedding > duvet covers",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBG0000UAPT_3D_Transformers_Mockup.jpg?v=1438481601&var_sku=AOPBG0000UQNAPT,lb
420-pillow-fight-duvet-cover,"420 Pillow Fight Duvet Cover","<meta charset=""utf-8"">
<p><span>We&#39;ve got weed and blondes in their underwear having a pillow fight in this 420 Pillow Fight Duvet Cover all while leaves of the greenest ganja fall from the heavens. Yeah now, we know what else you dream about, too, you sick fuck.</span></p>","High Times","Duvet Covers","All-Over-Prints, Apartment, care-instructions, Coupon, Duvet Covers, Girls, Guys, High Times, Retail, size-King, size-Queen, size-Twin, theme-drugs",TRUE,Size,"Twin Size",Color,"Lime Green",,,AOPBG0001UTWAPT,0,,1,deny,manual,99.99,99.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBG0001UAPT_420_Pillow_Mockup_78a85357-d258-4d27-a9ab-93210cef580e.jpg?v=1438480462,,FALSE,AOPBG0001UTWAPT,unisex,adult,"home & garden > linens & bedding > bedding > duvet covers",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBG0001UAPT_420_Pillow_Mockup_78a85357-d258-4d27-a9ab-93210cef580e.jpg?v=1438480462&var_sku=AOPBG0001UTWAPT,lb
420-pillow-fight-duvet-cover,,,,,,TRUE,Size,"King Size",Color,"Lime Green",,,AOPBG0001UKGAPT,0,,-1,deny,manual,99.99,99.99,TRUE,TRUE,,,,TRUE,AOPBG0001UKGAPT,unisex,adult,"home & garden > linens & bedding > bedding > duvet covers",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBG0001UAPT_420_Pillow_Mockup_78a85357-d258-4d27-a9ab-93210cef580e.jpg?v=1438480462&var_sku=AOPBG0001UKGAPT,lb
420-pillow-fight-duvet-cover,,,,,,TRUE,Size,"Queen Size",Color,"Lime Green",,,AOPBG0001UQNAPT,0,,0,deny,manual,99.99,99.99,TRUE,TRUE,,,,TRUE,AOPBG0001UQNAPT,unisex,adult,"home & garden > linens & bedding > bedding > duvet covers",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBG0001UAPT_420_Pillow_Mockup_78a85357-d258-4d27-a9ab-93210cef580e.jpg?v=1438480462&var_sku=AOPBG0001UQNAPT,lb
activated-turtle-cap-duvet-cover,"Activated Turtle Cap Duvet Cover","<meta charset=""utf-8"">
<p><span>This positive little guy wearing a turtle cap is here to brighten up your day! Get your all-over print Activated Turtle Cap Duvet Cover design today! Only from RageOn.com!</span></p>","Positive Creations","Duvet Covers","All-Over-Prints, Apartment, Artist Made, care-instructions, Chris Dyer, Coupon, Duvet Covers, Girls, Guys, Positive Creations, Retail, size-King, size-Queen, size-Twin, theme-art, theme-psychedelic",TRUE,Size,"Twin Size",Color,Pink,,,CPCBG0008UTWAPT,0,,1,deny,manual,99.99,99.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCBG0008U_ActivatedTurtleCap_MockupFile.jpg?v=1438482440,,FALSE,CPCBG0008UTWAPT,unisex,adult,"home & garden > linens & bedding > bedding > duvet covers",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCBG0008U_ActivatedTurtleCap_MockupFile.jpg?v=1438482440&var_sku=CPCBG0008UTWAPT,lb
activated-turtle-cap-duvet-cover,,,,,,TRUE,Size,"King Size",Color,Pink,,,CPCBG0008UKGAPT,0,,1,deny,manual,99.99,99.99,TRUE,TRUE,,,,TRUE,CPCBG0008UKGAPT,unisex,adult,"home & garden > linens & bedding > bedding > duvet covers",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCBG0008U_ActivatedTurtleCap_MockupFile.jpg?v=1438482440&var_sku=CPCBG0008UKGAPT,lb
activated-turtle-cap-duvet-cover,,,,,,TRUE,Size,"Queen Size",Color,Pink,,,CPCBG0008UQNAPT,0,,1,deny,manual,99.99,99.99,TRUE,TRUE,,,,TRUE,CPCBG0008UQNAPT,unisex,adult,"home & garden > linens & bedding > bedding > duvet covers",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCBG0008U_ActivatedTurtleCap_MockupFile.jpg?v=1438482440&var_sku=CPCBG0008UQNAPT,lb
admiral-ackbar-trap-duvet-cover,"Admiral Ackbar TRAP Duvet Cover","<meta charset=""utf-8"">
<p><span>Get this Admiral Ackbar TRAP Duvet Cover from Let&#39;s Rage! </span><span>Admiral Ackbar, also known as Admiral Gial Ackbar is a famous character from one of our favorite movies, Star Wars: Return of the Jedi, has had his body replaced with that of the previous dictator of North Korea, Kim-Jun-Un. With the Millenium Falcon flying in the background, hopefully being flown by Han Solo and Chewbacca, what better time to Run the Trap !? _Get your Admiral Ackbar TRAP Duvet Cover design while you can, only on Rage On!? _</span></p>","Let's Rage","Duvet Covers","All-Over-Prints, Apartment, care-instructions, Coupon, Duvet Covers, Girls, Guys, Let's Rage, Retail, size-King, size-Queen, size-Twin",TRUE,Size,"Twin Size",Color,"Dark Cyan",,,AOPBG0005UTWAPT,0,,1,deny,manual,99.99,99.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBG0005U_AdmiralAckbar_MockupFile.jpg?v=1438482490,,FALSE,AOPBG0005UTWAPT,unisex,adult,"home & garden > linens & bedding > bedding > duvet covers",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBG0005U_AdmiralAckbar_MockupFile.jpg?v=1438482490&var_sku=AOPBG0005UTWAPT,lb
