Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
antlers-baseball-jacket,"Antlers Baseball Jacket","<p>This Antlers Baseball Jacket is from the Mr.GuGu collection! This deer is beautifully portrayed with a white silhouette, purple background and flowers to compliment each other. Get this beautiful jacket and more at RageOn.com!</p>","Mr. GuGu","Jackets & Ponchos","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Jackets, Jackets & Ponchos, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-baseball-jacket",TRUE,Size,Small,Color,Cyan,,,GUGBJ0000USM,0,,0,deny,manual,99.84,109.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/antlers_baseball_jacket_a42d5847-270f-4e6d-9207-7bca36308271.jpg?v=1438467510,,FALSE,GUGBJ0000USM,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,"Jackets & Ponchos","Jackets & Ponchos",new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/antlers_baseball_jacket_a42d5847-270f-4e6d-9207-7bca36308271.jpg?v=1438467510&var_sku=GUGBJ0000USM,lb
antlers-baseball-jacket,,,,,,,Size,Large,Color,Cyan,,,GUGBJ0000ULG,0,,0,deny,manual,99.84,109.95,TRUE,TRUE,,,,,GUGBJ0000ULG,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/antlers_baseball_jacket_a42d5847-270f-4e6d-9207-7bca36308271.jpg?v=1438467510&var_sku=GUGBJ0000ULG,lb
antlers-baseball-jacket,,,,,,,Size,Medium,Color,Cyan,,,GUGBJ0000UMD,0,,0,deny,manual,99.84,109.95,TRUE,TRUE,,,,,GUGBJ0000UMD,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/antlers_baseball_jacket_a42d5847-270f-4e6d-9207-7bca36308271.jpg?v=1438467510&var_sku=GUGBJ0000UMD,lb
antlers-baseball-jacket,,,,,,,Size,X-Large,Color,Cyan,,,GUGBJ0000UXL,0,,0,deny,manual,99.84,109.95,TRUE,TRUE,,,,,GUGBJ0000UXL,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/antlers_baseball_jacket_a42d5847-270f-4e6d-9207-7bca36308271.jpg?v=1438467510&var_sku=GUGBJ0000UXL,lb
birds-baseball-jacket-ready-to-ship,"Birds Baseball Jacket *Ready to Ship*","<meta charset=""utf-8""><span>Not available in your size? </span><span style=""color: #000000;""><strong><a href=""http://www.rageon.com/search?x=0&amp;y=0&amp;q=birds+baseball"" style=""color: #000000;"">Click here to order now!</a></strong></span>","Let's Rage","Ready to Ship","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Jackets, Jackets & Ponchos, Mr. GuGu, Ready to Ship, Retail, shipping-1-days, shipping-10-days, size-M, sizing-chart-baseball-jacket",TRUE,Size,Medium,Color,Cyan,,,GUGBJ0003UMDRTS,0,shopify,2,deny,manual,109.95,119.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/baseball_jacket-birds_grande_eca8d338-2671-4e08-8d98-a398b6435a40.jpg?v=1438490508,,FALSE,GUGBJ0003UMDRTS,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/baseball_jacket-birds_grande_eca8d338-2671-4e08-8d98-a398b6435a40.jpg?v=1438490508&var_sku=GUGBJ0003UMDRTS,lb
butterflies-baseball-jacket,"Birds Baseball Jacket","Birds Baseball Jacket","Mr. GuGu","Jackets & Ponchos","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Jackets, Jackets & Ponchos, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-baseball-jacket",TRUE,Size,Small,Color,Cyan,,,GUGBJ0003USM,0,,1,deny,manual,99.84,109.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/baseball_jacket-birds_041ab8a5-04f8-4dee-aad9-2b6bbd69cfaf.jpg?v=1438467610,,FALSE,GUGBJ0003USM,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/baseball_jacket-birds_041ab8a5-04f8-4dee-aad9-2b6bbd69cfaf.jpg?v=1438467610&var_sku=GUGBJ0003USM,lb
butterflies-baseball-jacket,,,,,,,Size,Large,Color,Cyan,,,GUGBJ0003ULG,0,,-1,deny,manual,99.84,109.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/birds_baseball_jacket.jpg?v=1438467610,,,GUGBJ0003ULG,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/baseball_jacket-birds_041ab8a5-04f8-4dee-aad9-2b6bbd69cfaf.jpg?v=1438467610&var_sku=GUGBJ0003ULG,lb
butterflies-baseball-jacket,,,,,,,Size,Medium,Color,Cyan,,,GUGBJ0003UMD,0,,-4,deny,manual,99.84,109.95,TRUE,TRUE,,,,,GUGBJ0003UMD,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/baseball_jacket-birds_041ab8a5-04f8-4dee-aad9-2b6bbd69cfaf.jpg?v=1438467610&var_sku=GUGBJ0003UMD,lb
butterflies-baseball-jacket,,,,,,,Size,X-Large,Color,Cyan,,,GUGBJ0003UXL,0,,1,deny,manual,99.84,109.95,TRUE,TRUE,,,,,GUGBJ0003UXL,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/baseball_jacket-birds_041ab8a5-04f8-4dee-aad9-2b6bbd69cfaf.jpg?v=1438467610&var_sku=GUGBJ0003UXL,lb
butterflies-baseball-jacket-1,"Butterflies Baseball Jacket","<p>Do you have butterflies in your stomach Because they will vanish the moment you&#39;re wearing this. Completely symmetrical, just like in nature, this design is both simple and stunning, bold enough for you to dare, but soft enough to make those butterflies disappear. Fantastic.</p>","Mr. GuGu","Jackets & Ponchos","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Jackets, Jackets & Ponchos, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-baseball-jacket",TRUE,Size,Small,Color,Cyan,,,GUGBJ0005USM,0,,1,deny,manual,99.84,109.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/baseball_jacket-butterflies.jpg?v=1438467612,,FALSE,GUGBJ0005USM,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,"Jackets & Ponchos","Jackets & Ponchos",new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/baseball_jacket-butterflies.jpg?v=1438467612&var_sku=GUGBJ0005USM,lb
