Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
butterflies-bottom,"Butterflies Bottom","Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)!<br />
They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements.<br />
Right now, the only shipping options are USPS 1-5 business days or International.<br />
Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts!","Mr. GuGu",Swimwear,"All-Over-Print, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-bikini-string, Swimwear",TRUE,Size,Small,Color,Cyan,,,GUGBK0047WSM,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG428_BUTTERFLIES_BOTTOM.jpeg?v=1438467157,,FALSE,GUGBK0047WSM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG428_BUTTERFLIES_BOTTOM.jpeg?v=1438467157&var_sku=GUGBK0047WSM,lb
butterflies-bottom,,,,,,,Size,Large,Color,Cyan,,,GUGBK0047WLG,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGBK0047WLG,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG428_BUTTERFLIES_BOTTOM.jpeg?v=1438467157&var_sku=GUGBK0047WLG,lb
butterflies-bottom,,,,,,,Size,Medium,Color,Cyan,,,GUGBK0047WMD,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGBK0047WMD,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG428_BUTTERFLIES_BOTTOM.jpeg?v=1438467157&var_sku=GUGBK0047WMD,lb
cheetah-bottom,"Cheetah Bottom","Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)!<br />
They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements.<br />
Right now, the only shipping options are USPS 1-5 business days or International.<br />
Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts!","Mr. GuGu",Swimwear,"All-Over-Print, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-bikini-string, Swimwear",TRUE,Size,Small,Color,"Dark Golden Rod",,,GUGBK0043WSM,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG407_CHEETAH-BOTTOM.jpeg?v=1438467115,,FALSE,GUGBK0043WSM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG407_CHEETAH-BOTTOM.jpeg?v=1438467115&var_sku=GUGBK0043WSM,lb
cheetah-bottom,,,,,,,Size,Large,Color,"Dark Golden Rod",,,GUGBK0043WLG,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGBK0043WLG,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG407_CHEETAH-BOTTOM.jpeg?v=1438467115&var_sku=GUGBK0043WLG,lb
cheetah-bottom,,,,,,,Size,Medium,Color,"Dark Golden Rod",,,GUGBK0043WMD,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGBK0043WMD,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG407_CHEETAH-BOTTOM.jpeg?v=1438467115&var_sku=GUGBK0043WMD,lb
crazy-cat-bottom,"Crazy Cat Bottom","Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)!<br />
They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements.<br />
Right now, the only shipping options are USPS 1-5 business days or International.<br />
Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts!","Mr. GuGu",Swimwear,"All-Over-Print, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-bikini-string, Swimwear",TRUE,Size,Small,Color,"Dark Blue",,,GUGBK0039WSM,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG439_CRAZYCAT_BOTTOM.jpeg?v=1438467179,,FALSE,GUGBK0039WSM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG439_CRAZYCAT_BOTTOM.jpeg?v=1438467179&var_sku=GUGBK0039WSM,lb
crazy-cat-bottom,,,,,,,Size,Large,Color,"Dark Blue",,,GUGBK0039WLG,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGBK0039WLG,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG439_CRAZYCAT_BOTTOM.jpeg?v=1438467179&var_sku=GUGBK0039WLG,lb
crazy-cat-bottom,,,,,,,Size,Medium,Color,"Dark Blue",,,GUGBK0039WMD,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGBK0039WMD,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG439_CRAZYCAT_BOTTOM.jpeg?v=1438467179&var_sku=GUGBK0039WMD,lb
giraffe-bottom,"Giraffe Bottom","Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)!<br />
They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements.<br />
Right now, the only shipping options are USPS 1-5 business days or International.<br />
Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts!","Mr. GuGu",Swimwear,"All-Over-Print, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-bikini-string, Swimwear",TRUE,Size,Small,Color,"Dark Salmon",,,GUGBK0033WSM,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG404_GIRAFFE_BOTTOM.jpeg?v=1438467108,,FALSE,GUGBK0033WSM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG404_GIRAFFE_BOTTOM.jpeg?v=1438467108&var_sku=GUGBK0033WSM,lb
