Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
bad-beanie-1,"Bad Beanie","<p>Show em how bad you REALLY are</p>","Mr. GuGu",Beanies/Hats,"All-Over-Prints, Beanies & Hats, Coupon, Girls, Guys, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-One-Size",TRUE,Size,"One Size",Color,Black,,,GUGBN0000UOS,0,,0,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/bad_beanie_3d7c8efb-20db-4421-b82b-845e4ea38951.jpg?v=1438468207,,FALSE,GUGBN0000UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,Beanies/Hats,Beanies/Hats,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/bad_beanie_3d7c8efb-20db-4421-b82b-845e4ea38951.jpg?v=1438468207&var_sku=GUGBN0000UOS,lb
blue-beanie,"Blue Beanie","<p>This icy blue beanie can be worn for warmth, style or both!</p>","Mr. GuGu",Beanies/Hats,"All-Over-Prints, Beanies, Beanies & Hats, Coupon, Girls, Guys, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-One-Size",TRUE,Size,"One Size",Color,"Icy Blue",,,GUGBN0001UOS,0,,0,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/blue_beanie.jpg?v=1438468208,,FALSE,GUGBN0001UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,Beanies/Hats,Beanies/Hats,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/blue_beanie.jpg?v=1438468208&var_sku=GUGBN0001UOS,lb
bokeh-beanie,"Bokeh Beanie","<p>Bokeh comes from the Japanese word boke, which means blur or haze. The blurry or hazy pattern on this beanie is very eye-appealing and the pom pom on top is the icing on the cake!</p>","Mr. GuGu",Beanies/Hats,"All-Over-Prints, Beanies, Beanies & Hats, Coupon, Girls, Guys, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-One-Size",TRUE,Size,"One Size",Color,"Light GoldenRod Yellow",,,GUGBN0002UOS,0,,1,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/bokeh_beanie.jpg?v=1438467668,,FALSE,GUGBN0002UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,Beanies/Hats,Beanies/Hats,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/bokeh_beanie.jpg?v=1438467668&var_sku=GUGBN0002UOS,lb
bokeh-kids-beanie,"Bokeh Kids Beanie","<p>Bokeh comes from the Japanese word boke, which means blur or haze. The blurry or hazy pattern on this beanie is very eye-appealing and the pom pom on top is the icing on the cake!</p>","Mr. GuGu",Beanies/Hats,"All-Over-Prints, Beanies, Beanies & Hats, Girls, Guys, Kids, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-One-Size",TRUE,Size,"One Size",Color,"Light GoldenRod Yellow",,,GUGBN0002KOS,0,,1,deny,manual,39.95,49.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/bokeh_kids.jpg?v=1438469199,,FALSE,GUGBN0002KOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,Beanies/Hats,Beanies/Hats,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/bokeh_kids.jpg?v=1438469199&var_sku=GUGBN0002KOS,lb
bullets-beanie,"Bullets Beanie","<p>Don&#39;t bite the bullet on this one, just rock the bullets as a beanie!</p>","Mr. GuGu",Beanies/Hats,"All-Over-Prints, Beanies, Beanies & Hats, Coupon, Girls, Guys, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-One-Size",TRUE,Size,"One Size",Color,Orchid,,,GUGBN0003UOS,0,,0,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/bullets_beanie.jpg?v=1438467666,,FALSE,GUGBN0003UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,Beanies/Hats,Beanies/Hats,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/bullets_beanie.jpg?v=1438467666&var_sku=GUGBN0003UOS,lb
butterflies-beanie,"Butterflies Beanie","<p>Butterfly yourself out with this beanie! Matches perfectly with all the other butterfly products we have. Go check them out!</p>","Mr. GuGu",Beanies/Hats,"All-Over-Prints, Beanies, Beanies & Hats, Coupon, Girls, Guys, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-One-Size",TRUE,Size,"One Size",Color,"Light Gray",,,GUGBN0004UOS,0,,1,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/butterflies_beanie.jpg?v=1438467649,,FALSE,GUGBN0004UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,Beanies/Hats,Beanies/Hats,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/butterflies_beanie.jpg?v=1438467649&var_sku=GUGBN0004UOS,lb
cupcake-v2-beanie,"Cupcake v1 Beanie","<p>Cupcakes are in style - eating them or wearing them!</p>","Mr. GuGu",Beanies/Hats,"All-Over-Prints, Beanies, Beanies & Hats, Coupon, Girls, Guys, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-One-Size",TRUE,Size,"One Size",Color,Chocolate,,,GUGBN0005UOS,0,,-5,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/cupcake_beanie.jpg?v=1438467647,,FALSE,GUGBN0005UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,Beanies/Hats,Beanies/Hats,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/cupcake_beanie.jpg?v=1438467647&var_sku=GUGBN0005UOS,lb
cupcakes-v1-beanie,"Cupcake v2 Beanie","<p>Cupcakes are in style - eating them or wearing them!</p>","Mr. GuGu",Beanies/Hats,"All-Over-Prints, Beanies, Beanies & Hats, Coupon, Girls, Guys, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-One-Size",TRUE,Size,"One Size",Color,"Medium Orchid",,,GUGBN0006UOS,0,,0,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/cupcakes_2_beanie.jpg?v=1438467644,,FALSE,GUGBN0006UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,Beanies/Hats,Beanies/Hats,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/cupcakes_2_beanie.jpg?v=1438467644&var_sku=GUGBN0006UOS,lb
dope-beanie,"Dope Beanie","<p>Be the dopest kid on the block with this beanie!</p>","Mr. GuGu",Beanies/Hats,"All-Over-Prints, Beanies, Beanies & Hats, Coupon, Girls, Guys, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-One-Size",FALSE,Size,"One Size",Color,"Medium Violet Red",,,GUGBN0007UOS,0,,-5,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/dope.jpg?v=1438469188,,FALSE,GUGBN0007UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/dope.jpg?v=1438469188&var_sku=GUGBN0007UOS,lb
hologram-beanie,"Hologram Beanie","<p>Houston, can you read us We have an exciting new design, based on space imagery and holographic patterns. In certain lights, you can find all kinds of images hidden in the many splashes of gold and silver dots covering the jet black background of landscape of this design. If you like this, check out our other hologram designs.</p>","Mr. GuGu",Beanies/Hats,"All-Over-Prints, Beanies, Beanies & Hats, Coupon, Electronic Dance Music, Girls, Guys, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-One-Size",FALSE,Size,"One Size",Color,"Fire Brick",,,GUGBN0009UOS,0,shopify,0,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/hologram_beanie.jpg?v=1438467664,,FALSE,GUGBN0009UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/hologram_beanie.jpg?v=1438467664&var_sku=GUGBN0009UOS,lb
