Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
designer-guns-backpack,"Designer Guns Backpack","<meta charset=""utf-8""><br />
<div class=""short-description""><br />
<div class=""std"">Stylish, durable and constructed with many compartments for ultimate organization, the ""Designer Guns"" Deluxe Backpack is the perfect choice for your carrying solution and will always hold its great shape. Individual slots and compartments for your laptop, tablet, wallet, sunglasses, and all your other accessories...we call it ""Superfunctionality.""</div><br />
</div>",Sprayground,Backpacks,"All-Over-Prints, Backpacks, care-instructions, Coupon, Girls, Guys, Ready to Ship, Retail, shipping-1-days, shipping-10-days, size-One-Size, Sprayground, theme-streetwear",FALSE,Size,"One Size",Color,Azure,,,SPGBP0022UOS,0,shopify,1,deny,manual,75.00,95.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/SPGBP0022UOS_Designer_Guns_Mockup.jpg?v=1438503624,,FALSE,SPGBP0022UOS,unisex,adult,"luggage & bags > backpacks",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/SPGBP0022UOS_Designer_Guns_Mockup.jpg?v=1438503624,lb
ice-cream-grillz-backpack,"ICE CREAM GRILLZ BACKPACK","<meta charset=""utf-8""><br />
<p><span>Sprayground is bringing back their original collaboration with the Atlanta-based female street wear brand, Cupcake Mafia, to re-release Sprayground&#39;s first female-oriented backpack. The ""Ice Cream Grillz"" backpack features an original ice cream cone design with pimped out lips and gold grillz, perfect for chicks looking to keep up with the new, hardcore trends.</span></p>",Sprayground,Backpacks,"All-Over-Prints, Backpacks, care-instructions, Coupon, Girls, Guys, Ready to Ship, Retail, shipping-1-days, shipping-10-days, size-One-Size, Sprayground, theme-streetwear",FALSE,Size,"One Size",Color,Chocolate,,,SPGBP0012UOS,0,shopify,0,deny,manual,70.00,90.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/icecream2_2.jpg?v=1438485074,,FALSE,SPGBP0012UOS,unisex,adult,"luggage & bags > backpacks",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/icecream2_2.jpg?v=1438485074&var_sku=SPGBP0012UOS,lb
jungle-beast-backpack,"Jungle Beast Backpack","<meta charset=""utf-8""><span>The most beautiful monkey in the jungle is arguably the Baboon because of its beautiful array of colors. Since we like color, it was time to release the beast!</span><br><br><span>Each Sprayground Backpack is made in Limited Runs and Never Produced again. Stylish, durable and constructed with many compartments for ultimate organization, our Deluxe Backpack is the perfect choice for your carrying solution and will always hold its great shape. Individual Slots and Compartments for your Laptop, Tablet, Wallet, Sunglass and all your other mini things and accessories?we call itSuperfunctionality?.</span>",Sprayground,Backpacks,"All-Over-Prints, Backpacks, care-instructions, Coupon, Girls, Guys, Ready to Ship, Retail, shipping-1-days, shipping-10-days, size-One-Size, theme-streetwear",TRUE,Size,"One Size",Color,"Cornflower Blue",,,SPGBP0025UOS,0,shopify,0,deny,manual,70.00,90.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/SPGBP0025UOS_Jungle_Beast_Mockup.jpg?v=1438503621,,FALSE,SPGBP0025UOS,unisex,adult,"luggage & bags > backpacks",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/SPGBP0025UOS_Jungle_Beast_Mockup.jpg?v=1438503621,lb
kitten-grillz-backpack,"Kitten Grillz Backpack","<meta charset=""utf-8""><br />
<div class=""short-description""><br />
<div class=""std"">By merging with the hot cupcake mafia brand, we came up with the swagged out Kitten Grillz..dont ask how it came to be?just pet and purrrrr.<br><br>Each Sprayground Backpack is made in Limited Runs and Never Produced again. Stylish, durable and constructed with many compartments for ultimate organization, our Deluxe Backpack is the perfect choice for your carrying solution and will always hold its great shape. Individual Slots and Compartments for your Laptop, Tablet, Wallet, Sunglass and all your other mini things and accessories?we call itSuperfunctionality?.</div><br />
</div>",Sprayground,Backpacks,"All-Over-Prints, Backpacks, care-instructions, Coupon, Girls, Guys, Ready to Ship, Retail, shipping-1-days, shipping-10-days, size-One-Size, Sprayground, theme-streetwear",FALSE,Size,"One Size",Color,"Medium Violet Red",,,SPGBP0018UOS,0,shopify,4,deny,manual,75.00,95.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/SPGBP0018UOS_Kitten_Grillz_Mockup.jpg?v=1438503630,,FALSE,SPGBP0018UOS,unisex,adult,"luggage & bags > backpacks",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/SPGBP0018UOS_Kitten_Grillz_Mockup.jpg?v=1438503630,lb
mayan-shark-mouth-calendar-backpack,"MAYAN SHARK MOUTH CALENDAR BACKPACK","<meta charset=""utf-8""><br />
<p><span>The Mayan Calendar Shark backpack is a new sleek design that has a unique Sprayground twist. This backpack features embroidered ancient Mayan symbols, and Sprayground?s classic SharkMouth stamped over the Mayan god on the center of the bag. We threw in a couple of trippy embroidered symbols as well.</span></p>",Sprayground,Backpacks,"All-Over-Prints, Backpacks, care-instructions, Coupon, Girls, Guys, Ready to Ship, Retail, shipping-1-days, shipping-10-days, size-One-Size, Sprayground, theme-streetwear",FALSE,Size,"One Size",Color,"Light GoldenRod Yellow",,,SPGBP0005UOS,0,shopify,0,deny,manual,70.00,90.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/whitemayan2.jpg?v=1438485075,,FALSE,SPGBP0005UOS,unisex,adult,"luggage & bags > backpacks",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/whitemayan2.jpg?v=1438485075&var_sku=SPGBP0005UOS,lb
money-rolled-backpack,"MONEY ROLLED BACKPACK","<meta charset=""utf-8""><br />
<div class=""short-description""><br />
<div class=""std"">Sprayground continues the money motif from Sprayground?s original ""Money Stack"" backpack by bringing you the ""Money Rolled"" backpack. The Money Rolled backpack features a crisp money roll print around the exterior base and a slick black backdrop.</div><br />
</div>",Sprayground,Backpacks,"Backpacks, Girls, Guys, Retail, shipping-1-days, size-One-Size, Sprayground, theme-streetwear",FALSE,Size,"One Size",Color,"Medium Violet Red",,,SPGBP0014UOS,0,shopify,0,deny,manual,70.00,90.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/moneyroll2.jpg?v=1438485077,,FALSE,SPGBP0014UOS,unisex,adult,"luggage & bags > backpacks",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/moneyroll2.jpg?v=1438485077&var_sku=SPGBP0014UOS,lb
mr-krabs-money-crabs,"Mr. Krabs Money Crabs","<meta charset=""utf-8""><br />
<div class=""short-description""><br />
<div class=""std"">This crab loves money...but then again, who doesn&#39;t. We are excited to present to you the latest collaboration in the world of Sprayground and Spongebob.<br><br>Each Sprayground Backpack is made in Limited Runs and Never Produced again. Stylish, durable and constructed with many compartments for ultimate organization, our Deluxe Backpack is the perfect choice for your carrying solution and will always hold its great shape. Individual Slots and Compartments for your Laptop, Tablet, Wallet, Sunglass and all your other mini things and accessories?we call itSuperfunctionality?.</div><br />
</div>",Sprayground,Backpacks,"All-Over-Prints, Backpacks, care-instructions, Coupon, Girls, Guys, Ready to Ship, Retail, shipping-1-days, shipping-10-days, size-One-Size, Sprayground, theme-streetwear",FALSE,Size,"One Size",Color,"Ghost White",,,SPGBP0020UOS,0,shopify,0,deny,manual,75.00,95.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/SPGBP0020UOS_Mr_Krabs_Money_Krabs_Mockup.jpg?v=1438503627,,FALSE,SPGBP0020UOS,unisex,adult,"luggage & bags > backpacks",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/SPGBP0020UOS_Mr_Krabs_Money_Krabs_Mockup.jpg?v=1438503627,lb
patrick-wings-backpack,"Patrick Wings Backpack","<meta charset=""utf-8""><br />
<div class=""short-description""><br />
<div class=""std"">This is probably wings down the funniest bag in the collection. It all just made sense. Thank you Patrick for being such a good friend. We are excited to present to you the latest collaboration in the world of Sprayground and Spongebob.<br><br>Each Sprayground Backpack is made in Limited Runs and Never Produced again. Stylish, durable and constructed with many compartments for ultimate organization, our Deluxe Backpack is the perfect choice for your carrying solution and will always hold its great shape. Individual Slots and Compartments for your Laptop, Tablet, Wallet, Sunglass and all your other mini things and accessories?we call itSuperfunctionality?.</div><br />
</div>",Sprayground,Backpacks,"All-Over-Prints, Backpacks, care-instructions, Coupon, Girls, Guys, Ready to Ship, Retail, shipping-1-days, shipping-10-days, size-One-Size, Sprayground, theme-streetwear",TRUE,Size,"One Size",Color,"Medium Violet Red",,,SPGBP0019UOS,0,shopify,1,deny,manual,90.00,110.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/SPGBP0019UOS_Patrick_Wings_Mockup.jpg?v=1438503628,,FALSE,SPGBP0019UOS,unisex,adult,"luggage & bags > backpacks",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/SPGBP0019UOS_Patrick_Wings_Mockup.jpg?v=1438503628,lb
platinum-mini-keychain-backpack,"Platinum Mini Keychain Backpack","<p>Minipouches are Sprayground&#39;s tiny versions of your favorite bags. Perfect for your keys, USB, coins and anything else you need to stash in a hurry!</p> <ul>PRODUCT DETAILS</ul> <ul> <li><span>Keychain for easy attachment</span></li> <li><br />
<span></span><span>Sizable main storage compartment</span><br />
</li> <li><span>Durable 900d Water-resistant polyester fabric</span></li> <li><span>Reinforced SBS Zippers</span></li> </ul> <p><em>Quantities are Limited for these Exclusive Backpacks.</em></p>",Sprayground,"Fannypacks & Accessories","$20 Holla, All-Over-Prints, care-instructions, Coupon, Fannypacks & Accessories, Girls, Guys, Keychains, Ready to Ship, Retail, shipping-1-days, shipping-10-days, size-One-Size, Sprayground, theme-streetwear",FALSE,Size,"One Size",Color,"Medium Orchid",,,SPGBP0010UOS,0,shopify,0,deny,manual,15.00,25.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/platinummini1.jpg?v=1438469161,,FALSE,SPGBP0010UOS,unisex,adult,"luggage & bags > backpacks",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/platinummini1.jpg?v=1438469161&var_sku=SPGBP0010UOS,lb
spongebob-ninja-pants,"SPONGEBOB NINJA PANTS BACKPACK","<meta charset=""utf-8""><br />
<div class=""short-description""><br />
<div class=""std"">Never before has SpongeBob&#39;s headquarters approved such a crazy design, but David Ben David blew their minds. SpongeBob returns for another season, this time with a sleek, Ninja design. Playing off Sprayground&#39;s original ""Ninja?s Got My Back"" backpack, the ""SpongeBob Ninja Pants"" features SpongeBob in a ninja mask, revealing his mischievous eyes and pointed noise on the front panel of the bag. This backpack suites anyone looking for a playful bag with the classic Sprayground spin, taking the childlike notions of today&#39;s generation and placing a candid edginess for those bold enough to pull it off.</div><br />
</div>",Sprayground,Backpacks,"All-Over-Prints, Backpacks, care-instructions, Coupon, Girls, Guys, Ready to Ship, Retail, shipping-1-days, shipping-10-days, size-One-Size, Sprayground, theme-cartoon, theme-pop-culture, theme-streetwear",FALSE,Size,"One Size",Color,"Light GoldenRod Yellow",,,SPGBP0016UOS,0,shopify,0,deny,manual,70.00,90.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/ninjabob1_1.jpg?v=1438485078,,FALSE,SPGBP0016UOS,unisex,adult,"luggage & bags > backpacks",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ninjabob1_1.jpg?v=1438485078&var_sku=SPGBP0016UOS,lb
