Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
3d-transformers-beach-towel,"3D Transformers Beach Towel","<meta charset=""utf-8""><br />
<p><span>This one-sided print 3D Transformers Beach Towel design is more than meets the eye! This sexy Optimus Prime design screams new school swag! </span><span>Get it today! Only from RageOn.com!</span></p>","Let's Rage",Towels,"All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, shipping-21-days, size-One-Size, Towels",TRUE,Size,"One Size",Color,Silver,,,AOPBT0000UOSAPT,0,,-1,deny,manual,34.84,55.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBT0000UAPT_3D_Transformers_Mockup.jpg?v=1438483848,,FALSE,AOPBT0000UOSAPT,unisex,adult,"home & garden > linens & bedding > towels > beach towels",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBT0000UAPT_3D_Transformers_Mockup.jpg?v=1438483848&var_sku=AOPBT0000UOSAPT,lb
activated-turtle-cap-beach-towel,"Activated Turtle Cap Beach Towel","<div><meta charset=""utf-8""></div><br />
<p><span>This positive little guy wearing a turtle cap is here to brighten up your day! Get your one-sided Activated Turtle Cap Beach Towel at Rageon.com!</span></p>","Positive Creations",Towels,"All-Over-Prints, Apartment, Artist Made, care-instructions, Coupon, Girls, Guys, Positive Creations, Retail, shipping-10-days, size-One-Size, theme-art, theme-psychedelic, Towels",TRUE,Size,"One Size",Color,"Midnight Blue",,,CPCBT0008UOSAPT,0,,1,deny,manual,44.84,65.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCBT0008UOS_ActivatedTurtleCap_MockupFile.jpg?v=1438482410,,FALSE,CPCBT0008UOSAPT,unisex,adult,"home & garden > linens & bedding > towels > beach towels",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCBT0008UOS_ActivatedTurtleCap_MockupFile.jpg?v=1438482410&var_sku=CPCBT0008UOSAPT,lb
admiral-ackbar-trap-beach-towel,"Admiral Ackbar TRAP Beach Towel","<meta charset=""utf-8""><br />
<p><span>Get this Admiral Ackbar TRAP Beach Towel from Let&#39;s Rage! </span><span>Admiral Ackbar, also known as Admiral Gial Ackbar is a famous character from one of our favorite movies, Star Wars: Return of the Jedi, has had his body replaced with that of the previous dictator of North Korea, Kim-Jun-Un. With the Millenium Falcon flying in the background, hopefully being flown by Han Solo and Chewbacca, what better time to Run the Trap ! Get your Admiral Ackbar TRAP Beach Towel design while you can, only on Rage On! </span></p>","Let's Rage",Towels,"All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-One-Size, Towels",TRUE,Size,"One Size",Color,"Dark Cyan",,,AOPBT0005UOSAPT,0,,1,deny,manual,34.84,55.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBT0005UOS_AdmiralAckbar_MockupFile.jpg?v=1438482463,,FALSE,AOPBT0005UOSAPT,unisex,adult,"home & garden > linens & bedding > towels > beach towels",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBT0005UOS_AdmiralAckbar_MockupFile.jpg?v=1438482463&var_sku=AOPBT0005UOSAPT,lb
adventure-fun-beach-towel,"Adventure Fun Beach Towel","<meta charset=""utf-8""><br />
<p><span>This </span><span>all-over print Adventure</span><span> Fun Beach Towel design is an original Adventure Time and Regular Show mash up! Get this exclusive beach towel, only on RageOn.com!</span></p>","Let's Rage",Towels,"All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-One-Size, Towels",TRUE,Size,"One Size",Color,Cyan,,,AOPBT0006UOSAPT,0,,1,deny,manual,34.84,55.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBT0006UAPT_Adventure_Fun_Mockup_74d0f39a-f745-4990-930e-43d990a0c2e0.jpg?v=1438499857,,FALSE,AOPBT0006UOSAPT,unisex,adult,"home & garden > linens & bedding > towels > beach towels",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBT0006UAPT_Adventure_Fun_Mockup_74d0f39a-f745-4990-930e-43d990a0c2e0.jpg?v=1438499857&var_sku=AOPBT0006UOSAPT,lb
adventure-time-party-god-beach-towel,"Adventure Time Party God Beach Towel","<meta charset=""utf-8""><p><span>This Adventure Time Party God one-sided Beach Towel is inspired by the ""Power Animal"" episode of popular fantasy cartoon Adventure Time. The Party God is, as his name implies, the god of partying! Get this all-over print design from Let&#39;s Rage now, exclusively on Rage On! </span></p>","Let's Rage",Towels,"All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-One-Size, theme-cartoons, Towels",TRUE,Size,"One Size",Color,"Medium Violet Red",,,AOPBT0340UOSAPT,0,,1,deny,manual,34.84,55.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBT0340UOS_AdventureTimePartyGod_MockupFile.jpg?v=1438482506,,FALSE,AOPBT0340UOSAPT,unisex,adult,"home & garden > linens & bedding > towels > beach towels",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBT0340UOS_AdventureTimePartyGod_MockupFile.jpg?v=1438482506&var_sku=AOPBT0340UOSAPT,lb
adventure-waves-beach-towel,"Adventure Waves Beach Towel","<meta charset=""utf-8""><span>Check out this all-over print Adventure Waves Beach Towel! This towel features the background from the King of the Beach cover by our favorite American rock band, Wavves! This vibrant towel design is quite the the perfect combination of rock &#39;n&#39; roll meets cartoons! Get it for the beach today, only on RageOn!</span>","Let's Rage",Towels,"All-Over-Prints, Apartment, Beach Towels, care-instructions, Coupon, Girls, Guys, High Times, Ready to Ship, Retail, shipping-10-days, size-One-Size, theme-cartoons, theme-drugs, theme-pop-culture, theme-psychedelic",TRUE,Size,"One Size",Color,Azure,,,AOPBT0007UOSAPT,0,,1,deny,manual,34.84,55.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBT0007UAPT_Adventure_Waves_Mockup.jpg?v=1438501150,,FALSE,AOPBT0007UOSAPT,unisex,adult,"home & garden > linens & bedding > towels > beach towels",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBT0007UAPT_Adventure_Waves_Mockup.jpg?v=1438501150&var_sku=AOPBT0007UOSAPT,lb
america-the-beautiful-beach-towel,"America the Beautiful Beach Towel","<meta charset=""utf-8""><span>Get this rad all-over print America the Beautiful Beach Towel design today! This towel features 11 stripes and a marijuana leaf to replace the stars, so show off your edgy patriot side, only from RageOn.com!</span>","Let's Rage",Towels,"All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-One-Size, theme-art, theme-drugs, Towels",TRUE,Size,"One Size",Color,Peru,,,AOPBT1545UOSAPT,0,,1,deny,manual,34.84,55.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBT1545UAPT_America_the_Beautiful_Mockup.jpg?v=1438501286,,FALSE,AOPBT1545UOSAPT,unisex,adult,"home & garden > linens & bedding > towels > beach towels",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBT1545UAPT_America_the_Beautiful_Mockup.jpg?v=1438501286&var_sku=AOPBT1545UOSAPT,lb
american-psycho-beach-towel,"American Psycho Beach Towel","<p>Be insane and dry off with this one-sided print American Psycho Beach Towel design today! Only from RageOn.com! </p>","Let's Rage",Towels,"All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-One-Size, Towels",TRUE,Size,"One Size",Color,"Yellow Green",,,AOPBT0015UOSAPT,0,,-3,deny,manual,34.84,55.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBT0015UOS_AmericanPsycho_MockupFile.jpg?v=1438482542,,FALSE,AOPBT0015UOSAPT,unisex,adult,"home & garden > linens & bedding > towels > beach towels",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBT0015UOS_AmericanPsycho_MockupFile.jpg?v=1438482542&var_sku=AOPBT0015UOSAPT,lb
americana-beach-towel,"Americana Beach Towel","<meta charset=""utf-8""><meta charset=""utf-8""><p><span>Get these rad one-sided print Americana Beach Towel design today! Show off your edgy patriot side, only from RageOn.com!</span></p>","Let's Rage",Towels,"All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-One-Size, Towels",TRUE,Size,"One Size",Color,Cyan,,,AOPBT0016UOSAPT,0,,1,deny,manual,34.84,55.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBT0016UOS_AmericanPsycho_MockupFile.jpg?v=1438482570,,FALSE,AOPBT0016UOSAPT,unisex,adult,"home & garden > linens & bedding > towels > beach towels",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBT0016UOS_AmericanPsycho_MockupFile.jpg?v=1438482570&var_sku=AOPBT0016UOSAPT,lb
anchor-of-light-beach-towel,"Anchor of Light Beach Towel","<meta charset=""utf-8""><p><span>This gorgeous lady with a baby is going to be the light of your life with this one-sided print Anchor of Light Beach Towel design! Get yours today, only from RageOn.com!</span></p>","Positive Creations",Towels,"All-Over-Prints, Apartment, Artist Made, care-instructions, Chris Dyer, Coupon, Girls, Guys, Positive Creations, Retail, shipping-10-days, size-One-Size, theme-art, theme-psychedelic, Towels",TRUE,Size,"One Size",Color,"Lime Green",,,CPCBT0001UOSAPT,0,,1,deny,manual,44.84,65.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCBT0001UAPT_Anchor_of_Light_Mockup.jpg?v=1438482182,,FALSE,CPCBT0001UOSAPT,unisex,adult,"home & garden > linens & bedding > towels > beach towels",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCBT0001UAPT_Anchor_of_Light_Mockup.jpg?v=1438482182&var_sku=CPCBT0001UOSAPT,lb
