Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
1up-pillow-case,"1UP Pillow Case","<p>Get one extra life like Mario did in Super Mario Bros. with this vibrant 1UP Pillow Case! Technodrome1 combines his colorful art with the 1up mushroom to create this fully sublimated design. Get this pillow case for your room today! Only at RageOn.com!</p>",Technodrome1,"Pillow Cases","All-Over-Prints, Apartment, Artist Made, care-instructions, Coupon, Girls, Guys, Pillow Cases, Retail, shipping-10-days, shipping-21-days, size-Double-Sided, size-One-Sided, Technodrome1, theme-art, theme-gaming, theme-pop-culture",TRUE,Size,"One Sided",Color,"Mint Cream",,,TECBW0073UOSAPT,0,,-3,deny,manual,18.84,30.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/TECBW0073UAPT_1UP_Mockup.jpg?v=1438503162,,FALSE,TECBW0073UOSAPT,unisex,adult,"home & garden > linens & bedding > bedding > pillowcases & shams",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/TECBW0073UAPT_1UP_Mockup.jpg?v=1438503162&var_sku=TECBW0073UOSAPT,lb
1up-pillow-case,,,,,,,Size,"Double Sided",Color,"Mint Cream",,,TECBW0073UDSAPT,0,,0,deny,manual,29.84,40.00,TRUE,TRUE,,,,,TECBW0073UDSAPT,unisex,adult,"home & garden > linens & bedding > bedding > pillowcases & shams",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/TECBW0073UAPT_1UP_Mockup.jpg?v=1438503162&var_sku=TECBW0073UDSAPT,lb
3d-transformers-pillow-case,"3D Transformers Pillow Case","<meta charset=""utf-8""><br />
<p><span>This all-over print 3D Transformers Pillow Case design is more than meets the eye! This sexy Optimus Prime design screams new school swag! </span><span>Get it today! Only from RageOn.com!</span></p>","Let's Rage","Pillow Cases","All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, Let's Rage, pillow cases, Retail, size-Double-Sided, size-One-Sided",TRUE,Size,"One Sided",Color,Cyan,,,AOPBW0000UOSAPT,0,,-3,deny,manual,15.50,25.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBW0000UAPT_3D_Transformers_Mockup.jpg?v=1438481608,,FALSE,AOPBW0000UOSAPT,unisex,adult,"home & garden > linens & bedding > bedding > pillowcases & shams",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBW0000UAPT_3D_Transformers_Mockup.jpg?v=1438481608&var_sku=AOPBW0000UOSAPT,lb
3d-transformers-pillow-case,,,,,,,Size,"Double Sided",Color,Cyan,,,AOPBW0000UDSAPT,0,,1,deny,manual,28.84,39.00,TRUE,TRUE,,,,,AOPBW0000UDSAPT,unisex,adult,"home & garden > linens & bedding > bedding > pillowcases & shams",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBW0000UAPT_3D_Transformers_Mockup.jpg?v=1438481608&var_sku=AOPBW0000UDSAPT,lb
420-pillow-fight-pillow-case,"420 Pillow Fight Pillow Case","<meta charset=""utf-8""><br />
<p><span>We&#39;ve got weed and blondes in their underwear having a pillow fight in this 420 Pillow Fight Pillow Case all while leaves of the greenest ganja fall from the heavens. Yeah now, we know what else you dream about, too, you sick fuck.</span></p>","High Times","Pillow Cases","All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, High Times, Pillow Cases, Retail, size-Double-Sided, size-One-Sided, theme-drugs",TRUE,Size,"One Sided",Color,"Forest Green",,,AOPBW0001UOSAPT,0,,-48,deny,manual,15.50,25.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBW0001UAPT_420_Pillow_Fight_Mockup_9c1dc53f-5d38-4177-900d-156f5d957faf.jpg?v=1438480368,,FALSE,AOPBW0001UOSAPT,unisex,adult,"home & garden > linens & bedding > bedding > pillowcases & shams",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBW0001UAPT_420_Pillow_Fight_Mockup_9c1dc53f-5d38-4177-900d-156f5d957faf.jpg?v=1438480368&var_sku=AOPBW0001UOSAPT,lb
420-pillow-fight-pillow-case,,,,,,,Size,"Double Sided",Color,"Forest Green",,,AOPBW0001UDSAPT,0,,-2,deny,manual,28.84,39.00,TRUE,TRUE,,,,,AOPBW0001UDSAPT,unisex,adult,"home & garden > linens & bedding > bedding > pillowcases & shams",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBW0001UAPT_420_Pillow_Fight_Mockup_9c1dc53f-5d38-4177-900d-156f5d957faf.jpg?v=1438480368&var_sku=AOPBW0001UDSAPT,lb
activated-turtle-cap-bed-pillow-case,"Activated Turtle Cap Pillow Case","<meta charset=""utf-8""><br />
<p><span>This positive little guy wearing a turtle cap is here to brighten up your day! Get your all-over print Activated Turtle Cap Pillow Case at Rageon.com!</span></p>","Positive Creations","Pillow Cases","All-Over-Prints, Apartment, Artist Made, care-instructions, Chris Dyer, Coupon, Girls, Guys, Pillow Cases, Positive Creations, Retail, size-Double-Sided, size-One-Sided, theme-art, theme-psychedelic",TRUE,Size,"One Sided",Color,Pink,,,CPCBW0008UOSAPT,0,,-3,deny,manual,18.84,30.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCBW0008UOS_ActivatedTurtleCap_MockupFile.jpg?v=1438482414,,FALSE,CPCBW0008UOSAPT,unisex,adult,"home & garden > linens & bedding > bedding > pillowcases & shams",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCBW0008UOS_ActivatedTurtleCap_MockupFile.jpg?v=1438482414&var_sku=CPCBW0008UOSAPT,lb
activated-turtle-cap-bed-pillow-case,,,,,,,Size,"Double Sided",Color,Pink,,,CPCBW0008UDSAPT,0,,-1,deny,manual,29.84,40.00,TRUE,TRUE,,,,,CPCBW0008UDSAPT,unisex,adult,"home & garden > linens & bedding > bedding > pillowcases & shams",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCBW0008UOS_ActivatedTurtleCap_MockupFile.jpg?v=1438482414&var_sku=CPCBW0008UDSAPT,lb
admiral-ackbar-bed-pillow-case,"Admiral Ackbar Pillow Case","<meta charset=""utf-8""><br />
<p><span>Get this Admiral Ackbar TRAP Bed Pillow Case from Let&#39;s Rage! </span><span>Admiral Ackbar, also known as Admiral Gial Ackbar is a famous character from one of our favorite movies, Star Wars: Return of the Jedi, has had his body replaced with that of the previous dictator of North Korea, Kim-Jun-Un. With the Millenium Falcon flying in the background, hopefully being flown by Han Solo and Chewbacca, what better time to Run the Trap !? _Get your Admiral Ackbar TRAP Pillow Case design while you can, only on Rage On!? _</span></p>","Let's Rage","Pillow Cases","All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, Let's Rage, Pillow Cases, Retail, size-Double-Sided, size-One-Sided",TRUE,Size,"One Sided",Color,"Dark Cyan",,,AOPBW0005UOSAPT,0,,1,deny,manual,15.50,25.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBW0005UOS_AdmiralAckbar_MockupFile.jpg?v=1438482467,,FALSE,AOPBW0005UOSAPT,unisex,adult,"home & garden > linens & bedding > bedding > pillowcases & shams",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBW0005UOS_AdmiralAckbar_MockupFile.jpg?v=1438482467&var_sku=AOPBW0005UOSAPT,lb
admiral-ackbar-bed-pillow-case,,,,,,,Size,"Double Sided",Color,"Dark Cyan",,,AOPBW0005UDSAPT,0,,1,deny,manual,28.84,39.00,TRUE,TRUE,,,,,AOPBW0005UDSAPT,unisex,adult,"home & garden > linens & bedding > bedding > pillowcases & shams",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBW0005UOS_AdmiralAckbar_MockupFile.jpg?v=1438482467&var_sku=AOPBW0005UDSAPT,lb
adventure-fun-pillow-case,"Adventure Fun Pillow Case","<meta charset=""utf-8""><br />
<p><span>This </span><span>all-over print Adventure</span><span> Fun Pillow Case design is an original Adventure Time and Regular Show mash up! Get this exclusive cozy pillow case, only on RageOn.com!</span></p>","Let's Rage","Pillow Cases","All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, Let's Rage, Pillow Cases, Retail, size-Double-Sided, size-One-Sided",TRUE,Size,"One Sided",Color,Gray,,,AOPBW0006UOSAPT,0,,-5,deny,manual,15.50,25.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBW0006UAPT_Adventure_Fun_Mockup_e62fb14a-9f0b-4851-9d50-528d909bfd2c.jpg?v=1438499879,,FALSE,AOPBW0006UOSAPT,unisex,adult,"home & garden > linens & bedding > bedding > pillowcases & shams",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBW0006UAPT_Adventure_Fun_Mockup_e62fb14a-9f0b-4851-9d50-528d909bfd2c.jpg?v=1438499879&var_sku=AOPBW0006UOSAPT,lb
adventure-fun-pillow-case,,,,,,,Size,"Double Sided",Color,Gray,,,AOPBW0006UDSAPT,0,,1,deny,manual,28.84,25.00,TRUE,TRUE,,,,,AOPBW0006UDSAPT,unisex,adult,"home & garden > linens & bedding > bedding > pillowcases & shams",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBW0006UAPT_Adventure_Fun_Mockup_e62fb14a-9f0b-4851-9d50-528d909bfd2c.jpg?v=1438499879&var_sku=AOPBW0006UDSAPT,lb
adventure-time-party-god-pillow-case,"Adventure Time Party God Pillow Case","<meta charset=""utf-8""><br />
<p><span><span>This Adventure Time Party God Bed Pillow Case is inspired by the ""Power Animal"" episode of popular fantasy cartoon Adventure Time. The Party God is, as his name implies, the god of partying! Get this all-over print </span></span></p><br />
<meta charset=""utf-8""><br />
<p><span><span>Adventure Time Party God Pillow Case</span> design from Let&#39;s Rage now, exclusively on Rage On! </span></p>","Let's Rage","Pillow Cases","All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, Let's Rage, Pillow Cases, Retail, size-Double-Sided, size-One-Sided, theme-cartoons",TRUE,Size,"One Sided",Color,"Light Gray",,,AOPBW0340UOSAPT,0,,-6,deny,manual,15.50,25.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBW0340UOS_AdventureTimePartyGod_MockupFile.jpg?v=1438482509,,FALSE,AOPBW0340UOSAPT,unisex,adult,"home & garden > linens & bedding > bedding > pillowcases & shams",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBW0340UOS_AdventureTimePartyGod_MockupFile.jpg?v=1438482509&var_sku=AOPBW0340UOSAPT,lb
adventure-time-party-god-pillow-case,,,,,,,Size,"Double Sided",Color,"Light Gray",,,AOPBW0340UDSAPT,0,,0,deny,manual,28.84,39.00,TRUE,TRUE,,,,,AOPBW0340UDSAPT,unisex,adult,"home & garden > linens & bedding > bedding > pillowcases & shams",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBW0340UOS_AdventureTimePartyGod_MockupFile.jpg?v=1438482509&var_sku=AOPBW0340UDSAPT,lb
adventure-waves-pillow-case,"Adventure Waves Pillow Case","<meta charset=""utf-8""><span>Check out this all-over print Adventure Waves Pillow Case! This pillow case features the background from the King of the Beach cover by our favorite American rock band, Wavves! This vibrant pillow case design is quite the the perfect combination of rock &#39;n&#39; roll meets cartoons! Get it for your bed today, only on RageOn!</span>","Let's Rage","Pillow Cases","All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, High Times, Let's Rage, Pillow Cases, shipping-10-days, size-Double-Sided, size-One-Sided, theme-cartoons, theme-drugs, theme-pop-culture, theme-psychedelic",TRUE,Size,"One Sided",Color,"Light Coral",,,AOPBW0007UOSAPT,0,,0,deny,manual,15.50,25.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBW0007UAPT_Adventure_Waves_Mockup.jpg?v=1438501203,,FALSE,AOPBW0007UOSAPT,unisex,adult,"home & garden > linens & bedding > bedding > pillowcases & shams",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBW0007UAPT_Adventure_Waves_Mockup.jpg?v=1438501203&var_sku=AOPBW0007UOSAPT,lb
adventure-waves-pillow-case,,,,,,,Size,"Double Sided",Color,"Light Coral",,,AOPBW0007UDSAPT,0,,1,deny,manual,28.84,39.00,TRUE,TRUE,,,,,AOPBW0007UDSAPT,unisex,adult,"home & garden > linens & bedding > bedding > pillowcases & shams",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPBW0007UAPT_Adventure_Waves_Mockup.jpg?v=1438501203&var_sku=AOPBW0007UDSAPT,lb
america-the-beautiful-pillow-case,"America the Beautiful Pillow Case","<meta charset=""utf-8""><br />
<p><span>Get this rad all-over print America the Beautiful Pillow Case design today! This pillow case features stripes and a marijuana leaf to replace the stars! Show off your edgy patriot side and get this today, only from RageOn.com!</span></p><br />
<p>Designed by: Ali Zoe</p>","Let's Rage","Pillow Cases","All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, High Times, Let's Rage, Pillow Cases, Retail, shipping-10-days, size-Double-Sided, size-One-Sided, theme-art, theme-drugs",TRUE,Size,"One Sided",Color,"Light Gray",,,AOPBW1545UOSAPT,0,,-1,deny,manual,15.50,25.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/14.jpg?v=1438501603,,FALSE,AOPBW1545UOSAPT,unisex,adult,"home & garden > linens & bedding > bedding > pillowcases & shams",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/14.jpg?v=1438501603&var_sku=AOPBW1545UOSAPT,lb
