Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
alpaca-cut-dress,"Alpaca Cut Dress","<meta charset=""utf-8""><span>Alpacas are like smaller versions of llamas. If you love animals then this dress is for you!</span>","Mr. GuGu",Dresses,"All-Over-Prints, care-instructions, Coupon, Dresses, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, sizing-chart-cut-dress",TRUE,Size,X-Small,Color,"Light GoldenRod Yellow",,,GUGCD0001WXS,0,,0,deny,manual,54.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_cut_dress.jpg?v=1438467712,,FALSE,GUGCD0001WXS,unisex,adult,"apparel & accessories > clothing > dresses",,,Dresses,Dresses,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_cut_dress.jpg?v=1438467712&var_sku=GUGCD0001WXS,lb
alpaca-cut-dress,,,,,,,Size,Large,Color,"Light GoldenRod Yellow",,,GUGCD0001WLG,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGCD0001WLG,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_cut_dress.jpg?v=1438467712&var_sku=GUGCD0001WLG,lb
alpaca-cut-dress,,,,,,,Size,Medium,Color,"Light GoldenRod Yellow",,,GUGCD0001WMD,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGCD0001WMD,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_cut_dress.jpg?v=1438467712&var_sku=GUGCD0001WMD,lb
alpaca-cut-dress,,,,,,,Size,Small,Color,"Light GoldenRod Yellow",,,GUGCD0001WSM,0,,0,deny,manual,54.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/cut-alpaca.jpg?v=1438467712,,,GUGCD0001WSM,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_cut_dress.jpg?v=1438467712&var_sku=GUGCD0001WSM,lb
ginger-cut-dress,"Ginger Cut Dress","Ginger Cut Dress","Mr. GuGu",Dresses,"All-Over-Prints, care-instructions, Coupon, Dresses, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, sizing-chart-cut-dress",TRUE,Size,X-Small,Color,"Lime Green",,,GUGCD0010WXS,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/ginger_circle_dress_1_b5325485-0755-49bf-bd0b-f5e49c5489a8.jpg?v=1438467696,,FALSE,GUGCD0010WXS,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ginger_circle_dress_1_b5325485-0755-49bf-bd0b-f5e49c5489a8.jpg?v=1438467696&var_sku=GUGCD0010WXS,lb
ginger-cut-dress,,,,,,,Size,Large,Color,"Lime Green",,,GUGCD0010WLG,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGCD0010WLG,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ginger_circle_dress_1_b5325485-0755-49bf-bd0b-f5e49c5489a8.jpg?v=1438467696&var_sku=GUGCD0010WLG,lb
ginger-cut-dress,,,,,,,Size,Medium,Color,"Lime Green",,,GUGCD0010WMD,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGCD0010WMD,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ginger_circle_dress_1_b5325485-0755-49bf-bd0b-f5e49c5489a8.jpg?v=1438467696&var_sku=GUGCD0010WMD,lb
ginger-cut-dress,,,,,,,Size,Small,Color,"Lime Green",,,GUGCD0010WSM,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGCD0010WSM,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ginger_circle_dress_1_b5325485-0755-49bf-bd0b-f5e49c5489a8.jpg?v=1438467696&var_sku=GUGCD0010WSM,lb
ophelia-cut-dress,"Ophelia Cut Dress","Ophelia Cut Dress","Mr. GuGu",Dresses,"All-Over-Prints, care-instructions, Coupon, Dresses, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, sizing-chart-cut-dress",TRUE,Size,X-Small,Color,Orange,,,GUGCD0022WXS,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/ophelia_cut_dress.jpg?v=1438467720,,FALSE,GUGCD0022WXS,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ophelia_cut_dress.jpg?v=1438467720&var_sku=GUGCD0022WXS,lb
ophelia-cut-dress,,,,,,,Size,Large,Color,Orange,,,GUGCD0022WLG,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGCD0022WLG,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ophelia_cut_dress.jpg?v=1438467720&var_sku=GUGCD0022WLG,lb
