Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
kitty-circle-skirt,"Kitty Circle Skirt","Kitty Circle Skirt","Mr. GuGu",Skirts,"All-Over-Prints, care-instructions, Coupon, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, Shorts & Skirts, size-L, size-M, size-S, size-XS, Skirts, theme-animals, theme-cats",TRUE,Size,X-Small,Color,Thistle,,,GUGCK0004WXS,0,,1,deny,manual,54.95,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/kitty_circle_skirt.jpg?v=1438467755,,FALSE,GUGCK0004WXS,unisex,adult,"apparel & accessories > clothing > skirts",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/kitty_circle_skirt.jpg?v=1438467755&var_sku=GUGCK0004WXS,lb
kitty-circle-skirt,,,,,,,Size,Large,Color,Thistle,,,GUGCK0004WLG,0,,1,deny,manual,54.95,64.95,TRUE,TRUE,,,,,GUGCK0004WLG,female,adult,"apparel & accessories > clothing > skirts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/kitty_circle_skirt.jpg?v=1438467755&var_sku=GUGCK0004WLG,lb
kitty-circle-skirt,,,,,,,Size,Medium,Color,Thistle,,,GUGCK0004WMD,0,,1,deny,manual,54.95,64.95,TRUE,TRUE,,,,,GUGCK0004WMD,female,adult,"apparel & accessories > clothing > skirts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/kitty_circle_skirt.jpg?v=1438467755&var_sku=GUGCK0004WMD,lb
kitty-circle-skirt,,,,,,,Size,Small,Color,Thistle,,,GUGCK0004WSM,0,,1,deny,manual,54.95,64.95,TRUE,TRUE,,,,,GUGCK0004WSM,female,adult,"apparel & accessories > clothing > skirts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/kitty_circle_skirt.jpg?v=1438467755&var_sku=GUGCK0004WSM,lb
mandala-circle-skirt,"Mandala Circle Skirt","Mandala Circle Skirt","Mr. GuGu",Skirts,"All-Over-Prints, care-instructions, Coupon, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, Shorts & Skirts, size-L, size-M, size-S, size-XS, Skirts",TRUE,Size,X-Small,Color,"Dark Violet",,,GUGCK0005WXS,0,,1,deny,manual,54.95,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/mandala_circle_skirt.jpg?v=1438467757,,FALSE,GUGCK0005WXS,unisex,adult,"apparel & accessories > clothing > skirts",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/mandala_circle_skirt.jpg?v=1438467757&var_sku=GUGCK0005WXS,lb
mandala-circle-skirt,,,,,,,Size,Large,Color,"Dark Violet",,,GUGCK0005WLG,0,,1,deny,manual,54.95,64.95,TRUE,TRUE,,,,,GUGCK0005WLG,female,adult,"apparel & accessories > clothing > skirts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/mandala_circle_skirt.jpg?v=1438467757&var_sku=GUGCK0005WLG,lb
mandala-circle-skirt,,,,,,,Size,Medium,Color,"Dark Violet",,,GUGCK0005WMD,0,,1,deny,manual,54.95,64.95,TRUE,TRUE,,,,,GUGCK0005WMD,female,adult,"apparel & accessories > clothing > skirts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/mandala_circle_skirt.jpg?v=1438467757&var_sku=GUGCK0005WMD,lb
mandala-circle-skirt,,,,,,,Size,Small,Color,"Dark Violet",,,GUGCK0005WSM,0,,1,deny,manual,54.95,64.95,TRUE,TRUE,,,,,GUGCK0005WSM,female,adult,"apparel & accessories > clothing > skirts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/mandala_circle_skirt.jpg?v=1438467757&var_sku=GUGCK0005WSM,lb
nebula-circle-skirt,"Nebula Circle Skirt","Nebula Circle Skirt","Mr. GuGu",Skirts,"All-Over-Prints, care-instructions, Coupon, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, Shorts & Skirts, size-L, size-M, size-S, size-XS, Skirts",TRUE,Size,X-Small,Color,"Light Cyan",,,GUGCK0007WXS,0,,1,deny,manual,54.95,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/nebula_circle_skirt.jpg?v=1438467761,,FALSE,GUGCK0007WXS,unisex,adult,"apparel & accessories > clothing > skirts",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/nebula_circle_skirt.jpg?v=1438467761&var_sku=GUGCK0007WXS,lb
nebula-circle-skirt,,,,,,,Size,Large,Color,"Light Cyan",,,GUGCK0007WLG,0,,-1,deny,manual,54.95,64.95,TRUE,TRUE,,,,,GUGCK0007WLG,female,adult,"apparel & accessories > clothing > skirts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/nebula_circle_skirt.jpg?v=1438467761&var_sku=GUGCK0007WLG,lb
nebula-circle-skirt,,,,,,,Size,Medium,Color,"Light Cyan",,,GUGCK0007WMD,0,,1,deny,manual,54.95,64.95,TRUE,TRUE,,,,,GUGCK0007WMD,female,adult,"apparel & accessories > clothing > skirts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/nebula_circle_skirt.jpg?v=1438467761&var_sku=GUGCK0007WMD,lb
nebula-circle-skirt,,,,,,,Size,Small,Color,"Light Cyan",,,GUGCK0007WSM,0,,1,deny,manual,54.95,64.95,TRUE,TRUE,,,,,GUGCK0007WSM,female,adult,"apparel & accessories > clothing > skirts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/nebula_circle_skirt.jpg?v=1438467761&var_sku=GUGCK0007WSM,lb
