Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
adventure-time-on-acid-t-shirt-2,"Adventure Time on Acid Crop Top","<meta charset=""utf-8"">
<p>Check out this psychedelic all-over print Adventure Time on Acid Crop Top from our Let&#39;s Rage brand! This vibrant top features Finn and Jake from Cartoon Network&#39;s Adventure Time melting away on their own acid trip! In typical Let&#39;s Rage Fashion this fully sublimated shirt goes above and beyond! Get yours today, only from RageOn!</p>
<p>Designed by: Kyle Wilson</p>","Let's Rage","Crop Tops","#adventure time, #crop top, #jake and finn, #trippy, All-Over Print, Coupon, Crop Tops, Girls, High Times, PreOrdered, Retail, shipping-21-days, size-4X, size-L, size-M, size-S, size-XS, size-XXL, size-XXXL, sizing-chart-crop-top, theme-cartoons, theme-drugs, theme-pop-culture, theme-psychedelic, theme-streetwear",TRUE,Size,X-Small,Color,"Medium Violet Red",,,AOPCT1333UXS,0,,1,deny,manual,38.84,48.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCT1333U_Adventure_Time_Mockup.jpg?v=1441733978,,FALSE,AOPCT1333UXS,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCT1333U_Adventure_Time_Mockup.jpg?v=1438881303&var_sku=AOPCT1333UXS,lb
adventure-time-on-acid-t-shirt-2,,,,,,,Size,XX-Large,Color,"Medium Violet Red",,,AOPCT1333U2X,0,,1,deny,manual,43.84,53.95,TRUE,TRUE,,,,,AOPCT1333U2X,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCT1333U_Adventure_Time_Mockup.jpg?v=1438881303&var_sku=AOPCT1333U2X,lb
adventure-time-on-acid-t-shirt-2,,,,,,,Size,XXX-Large,Color,"Medium Violet Red",,,AOPCT1333U3X,0,,1,deny,manual,45.84,55.95,TRUE,TRUE,,,,,AOPCT1333U3X,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCT1333U_Adventure_Time_Mockup.jpg?v=1438881303&var_sku=AOPCT1333U3X,lb
adventure-time-on-acid-t-shirt-2,,,,,,,Size,XXXX-Large,Color,"Medium Violet Red",,,AOPCT1333U4X,0,,1,deny,manual,47.84,57.95,TRUE,TRUE,,,,,AOPCT1333U4X,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCT1333U_Adventure_Time_Mockup.jpg?v=1438881303&var_sku=AOPCT1333U4X,lb
adventure-time-on-acid-t-shirt-2,,,,,,,Size,Large,Color,"Medium Violet Red",,,AOPCT1333ULG,0,,1,deny,manual,38.84,48.95,TRUE,TRUE,,,,,AOPCT1333ULG,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCT1333U_Adventure_Time_Mockup.jpg?v=1438881303&var_sku=AOPCT1333ULG,lb
adventure-time-on-acid-t-shirt-2,,,,,,,Size,Medium,Color,"Medium Violet Red",,,AOPCT1333UMD,0,,1,deny,manual,38.84,48.95,TRUE,TRUE,,,,,AOPCT1333UMD,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCT1333U_Adventure_Time_Mockup.jpg?v=1438881303&var_sku=AOPCT1333UMD,lb
adventure-time-on-acid-t-shirt-2,,,,,,,Size,Small,Color,"Medium Violet Red",,,AOPCT1333USM,0,,-1,deny,manual,38.84,48.95,TRUE,TRUE,,,,,AOPCT1333USM,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCT1333U_Adventure_Time_Mockup.jpg?v=1438881303&var_sku=AOPCT1333USM,lb
adventure-time-on-acid-t-shirt-2,,,,,,,Size,X-Large,Color,"Medium Violet Red",,,AOPCT1333UXL,0,,1,deny,manual,38.84,48.95,TRUE,TRUE,,,,,AOPCT1333UXL,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCT1333U_Adventure_Time_Mockup.jpg?v=1438881303&var_sku=AOPCT1333UXL,lb
ancient-mew-crop-top,"Ancient Mew Crop Top","<meta charset=""utf-8""><span>This </span><span>Ancient Mew Crop Top celebrates the legendary Pokemon that grabbed our childhood by the Pokeballs! Get this all-over print design from Let&#39;s Rage while supplies last, only on Rage On!</span>","Let's Rage","Crop Tops","All-Over-Prints, care-instructions, Coupon, Crop Tops, Girls, Let's Rage, PreOrdered, Retail, shipping-21-days, size-4X, size-L, size-M, size-S, size-XS, size-XXL, size-XXXL, sizing-chart-crop-top, theme-anime, theme-cartoons, theme-gaming, theme-pokemon, theme-pop-culture",FALSE,Size,X-Small,Color,"Medium Sea Green",,,AOPCT0017UXS,0,,1,deny,manual,38.84,48.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCT0017U_Ancient_Mew_Mockup.jpg?v=1441733978,,FALSE,AOPCT0017UXS,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCT0017U_Ancient_Mew_Mockup.jpg?v=1438502298&var_sku=AOPCT0017UXS,lb
ancient-mew-crop-top,,,,,,,Size,XX-Large,Color,"Medium Sea Green",,,AOPCT0017U2X,0,,1,deny,manual,43.84,53.95,TRUE,TRUE,,,,,AOPCT0017U2X,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCT0017U_Ancient_Mew_Mockup.jpg?v=1438502298&var_sku=AOPCT0017U2X,lb
