Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
american-psycho-canvas,"American Psycho Canvas","<meta charset=""utf-8"">
<p>Now your room can have killer looks just like Patrick Bateman when you get this American Psycho Canvas! This bloody all-over print design from Let&#39;s Rage is available exclusively on Rage On, so get it now! Just don&#39;t turn psycho ;)</p>
<p><br>""I have to return some videotapes.""</p>
<p><br>Designer: Anthony Arganti @anthonyiskilluh</p>","Let's Rage",Canvases,"#american psycho, #art, #art #paint #splatter, #blood, #cinema, #jared leto, #killer, #movies, #murder, #patrick bateman, #psycho, #serial killer, #yuppies, All-Over-Prints, Apartment, Canvases, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-L, size-M, size-S, size-XS, theme-pop-culture",TRUE,Size,X-Small,Color,"Medium Spring Green",Kind,8x10,AOPCV0015UXSAPT,0,,1,deny,manual,33.84,43.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCV0015UAPT_American_Psycho_Mockup.jpg?v=1439304903,,FALSE,AOPCV0015UXSAPT,unisex,adult,,,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCV0015UAPT_American_Psycho_Mockup.jpg?v=1439304903&var_sku=AOPCV0015UXSAPT,lb
american-psycho-canvas,,,,,,,Size,Large,Color,"Medium Spring Green",Kind,20x24,AOPCV0015ULGAPT,0,,1,deny,manual,60.84,70.95,TRUE,TRUE,,,,,AOPCV0015ULGAPT,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCV0015UAPT_American_Psycho_Mockup.jpg?v=1439304903&var_sku=AOPCV0015ULGAPT,lb
american-psycho-canvas,,,,,,,Size,Medium,Color,"Medium Spring Green",Kind,16x20,AOPCV0015UMDAPT,0,,1,deny,manual,48.84,58.95,TRUE,TRUE,,,,,AOPCV0015UMDAPT,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCV0015UAPT_American_Psycho_Mockup.jpg?v=1439304903&var_sku=AOPCV0015UMDAPT,lb
american-psycho-canvas,,,,,,,Size,Small,Color,"Medium Spring Green",Kind,10x12,AOPCV0015USMAPT,0,,1,deny,manual,39.84,49.95,TRUE,TRUE,,,,,AOPCV0015USMAPT,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCV0015UAPT_American_Psycho_Mockup.jpg?v=1439304903&var_sku=AOPCV0015USMAPT,lb
american-psycho-canvas,,,,,,,Size,X-Large,Color,"Medium Spring Green",Kind,24x30,AOPCV0015UXLAPT,0,,1,deny,manual,75.84,85.95,TRUE,TRUE,,,,,AOPCV0015UXLAPT,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCV0015UAPT_American_Psycho_Mockup.jpg?v=1439304903&var_sku=AOPCV0015UXLAPT,lb
ancient-mew-canvas,"Ancient Mew Canvas","<meta charset=""utf-8""><span>This </span><span>Ancient Mew Canvas celebrates the legendary Pokemon that grabbed our childhood by the Pokeballs! Get this all-over print piece only on Rage On!</span>","Let's Rage",Canvases,"#90s, #90skid, #amazing, #ancient, #art, #canvas, #mew, #nostalgia, #pokemon, #pokemonmerch, All-Over-Prints, Apartment, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, theme-art, theme-pokemon, theme-pop-culture",FALSE,Size,X-Large,Color,"Medium Blue",Kind,24x30,AOPCV0017UXLAPT,0,,1,deny,manual,75.84,85.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCV0017UXLAPT_Ancient_Mew_Mockup.jpg?v=1439386389,,FALSE,AOPCV0017UXLAPT,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCV0017UXLAPT_Ancient_Mew_Mockup.jpg?v=1439386389,lb
bespin-canvas,"Bespin Canvas","<meta charset=""utf-8""><span>Space has never looked so good in this all-over print Bespin Canvas! It is for sure one that will turn your home into quite the showstopper!!</span>",Classics,Canvases,"#amazing, #bespin, #cloudcity, #lando, #planet, #space, #starwars, All-Over-Prints, Canvases, Classics, Coupon, Girls, Guys, Retail, shipping-10-days, size-L, size-M, size-S, size-XS, theme-art, theme-space",TRUE,Size,X-Small,Color,"Medium Spring Green",Kind,8x10,AOPCV0028UXSAPT,0,,1,deny,manual,33.84,43.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCV0028UAPT_Bespin_Mockup.jpg?v=1439387649,,FALSE,AOPCV0028UXSAPT,unisex,adult,,,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCV0028UAPT_Bespin_Mockup.jpg?v=1439387649&var_sku=AOPCV0028UXSAPT,lb
bespin-canvas,,,,,,,Size,Large,Color,"Medium Spring Green",Kind,20x24,AOPCV0028ULGAPT,0,,1,deny,manual,60.84,70.95,TRUE,TRUE,,,,,AOPCV0028ULGAPT,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCV0028UAPT_Bespin_Mockup.jpg?v=1439387649&var_sku=AOPCV0028ULGAPT,lb
bespin-canvas,,,,,,,Size,Medium,Color,"Medium Spring Green",Kind,16x20,AOPCV0028UMDAPT,0,,1,deny,manual,48.84,58.95,TRUE,TRUE,,,,,AOPCV0028UMDAPT,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCV0028UAPT_Bespin_Mockup.jpg?v=1439387649&var_sku=AOPCV0028UMDAPT,lb
bespin-canvas,,,,,,,Size,Small,Color,"Medium Spring Green",Kind,10x12,AOPCV0028USMAPT,0,,1,deny,manual,39.84,49.95,TRUE,TRUE,,,,,AOPCV0028USMAPT,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPCV0028UAPT_Bespin_Mockup.jpg?v=1439387649&var_sku=AOPCV0028USMAPT,lb
