Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
adventure-waves-long-sleeve-dress,"Adventure Waves Long-Sleeve Dress","<meta charset=""utf-8""><span>Check out this all-over print Adventure Waves Long-Sleeve dress design! This sexy dress features Jake the Dog form Adventure Time with Fin and Jake has replaced the original cat smoking weed from the King of the Beach cover by our favorite American rock band, Wavves! This vibrant dress design is quite the the perfect combination of rock &#39;n&#39; roll meets cartoons! Get it exclusively from RageOn!</span>","Let's Rage",Dresses,"All-Over-Prints, care-instructions, Coupon, Dresses, Girls, High Times, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, sizing-chart-simple-dress, theme-cartoons, theme-drugs, theme-pop-culture, theme-psychedelic",TRUE,Size,X-Small,Color,Salmon,,,AOPDR0007UXS,0,,1,deny,manual,64.84,74.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPDR0007U_Adventure_Waves_Mockup.jpg?v=1438501191,,FALSE,AOPDR0007UXS,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPDR0007U_Adventure_Waves_Mockup.jpg?v=1438501191&var_sku=AOPDR0007UXS,lb
adventure-waves-long-sleeve-dress,,,,,,,Size,Large,Color,Salmon,,,AOPDR0007ULG,0,,1,deny,manual,64.84,74.95,TRUE,TRUE,,,,,AOPDR0007ULG,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPDR0007U_Adventure_Waves_Mockup.jpg?v=1438501191&var_sku=AOPDR0007ULG,lb
adventure-waves-long-sleeve-dress,,,,,,,Size,Medium,Color,Salmon,,,AOPDR0007UMD,0,,0,deny,manual,64.84,74.95,TRUE,TRUE,,,,,AOPDR0007UMD,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPDR0007U_Adventure_Waves_Mockup.jpg?v=1438501191&var_sku=AOPDR0007UMD,lb
adventure-waves-long-sleeve-dress,,,,,,,Size,Small,Color,Salmon,,,AOPDR0007USM,0,,1,deny,manual,64.84,74.95,TRUE,TRUE,,,,,AOPDR0007USM,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPDR0007U_Adventure_Waves_Mockup.jpg?v=1438501191&var_sku=AOPDR0007USM,lb
bespin-dress,"Bespin Dress","<p>This Bespin Dress will surely turn some heads! Get this comfy and stylish Bespin Dress only at RageOn.com!</p>",Classics,Dresses,"All-Over-Prints, care-instructions, Classics, Coupon, Dresses, Girls, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S",TRUE,Size,Small,Color,Thistle,,,AOPDR0028USM,0,,1,deny,manual,59.84,74.95,FALSE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPDR0028U_Bespin_MockupFile_263f3531-ad10-421f-a348-fb7c204594c8.jpg?v=1438490772,,FALSE,AOPDR0028USM,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPDR0028U_Bespin_MockupFile_263f3531-ad10-421f-a348-fb7c204594c8.jpg?v=1438490772&var_sku=AOPDR0028USM,lb
bespin-dress,,,,,,,Size,Large,Color,Thistle,,,AOPDR0028ULG,0,,1,deny,manual,59.84,74.95,FALSE,TRUE,,,,,AOPDR0028ULG,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPDR0028U_Bespin_MockupFile_263f3531-ad10-421f-a348-fb7c204594c8.jpg?v=1438490772&var_sku=AOPDR0028ULG,lb
bespin-dress,,,,,,,Size,Medium,Color,Thistle,,,AOPDR0028UMD,0,,-1,deny,manual,59.84,74.95,FALSE,TRUE,,,,,AOPDR0028UMD,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPDR0028U_Bespin_MockupFile_263f3531-ad10-421f-a348-fb7c204594c8.jpg?v=1438490772&var_sku=AOPDR0028UMD,lb
bespin-dress,,,,,,,Size,X-Large,Color,Thistle,,,AOPDR0028UXL,0,,0,deny,manual,59.84,74.95,FALSE,TRUE,,,,,AOPDR0028UXL,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPDR0028U_Bespin_MockupFile_263f3531-ad10-421f-a348-fb7c204594c8.jpg?v=1438490772&var_sku=AOPDR0028UXL,lb
big-mac-long-sleeve-dress,"Big Mac Long-Sleeve Dress","<meta charset=""utf-8""><span>Check out this vibrant Big Mac Long-Sleeve Dress inspired by the new McDonalds all-over print collection! This fully-sublimated dress from our Let&#39;s Rage brand featuring the famous fast food cheeseburger is available now, exclusively on RageOn! Get this rad cheese burger design today and make a tasteful statement at the bar!</span>","Big Mac Shop",Dresses,"All-Over Print, Artist Made, Coupon, Dresses, Girls, Let's Rage, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, theme-food",TRUE,Size,X-Small,Color,Azure,,,AOPDR1415UXS,0,,0,deny,manual,64.84,74.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPDR1415U_Big_Mac_Mockup.jpg?v=1438492367,,FALSE,AOPDR1415UXS,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPDR1415U_Big_Mac_Mockup.jpg?v=1438492367&var_sku=AOPDR1415UXS,lb
big-mac-long-sleeve-dress,,,,,,,Size,Large,Color,Azure,,,AOPDR1415ULG,0,,1,deny,manual,64.84,74.95,TRUE,TRUE,,,,,AOPDR1415ULG,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPDR1415U_Big_Mac_Mockup.jpg?v=1438492367&var_sku=AOPDR1415ULG,lb
