Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
100-emoji-hoodie,"100 Emoji Hoodie","<meta charset=""utf-8""><span>Keep it 100 with this All-Over-Print 100 Emoji Hoodie. Get this hoodie to show off how you really feel. Ain&#39;t nothing but a G thang Baby!</span>",ebae,Hoodies,"#100emoji, All-Over-Prints, care-instructions, Coupon, ebae, Girls, GOF, Guys, Hoodies, Retail, shipping-15-days, size-L, size-M, size-S, theme-pop-culture",TRUE,Size,Small,Color,"Orange Red",,,TSAEX0122USM,0,,1,deny,manual,48.95,63.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/TSAEX0122U_100EmojiHoodie_Mockup.jpg?v=1442517615,,FALSE,TSAEX0122USM,unisex,adult,,,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/TSAEX0122U_100EmojiHoodie_Mockup.jpg?v=1439488753&var_sku=TSAEX0122USM,lb
100-emoji-hoodie,,,,,,,Size,Large,Color,"Orange Red",,,TSAEX0122ULG,0,,0,deny,manual,48.95,63.95,TRUE,TRUE,,,,,TSAEX0122ULG,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/TSAEX0122U_100EmojiHoodie_Mockup.jpg?v=1439488753&var_sku=TSAEX0122ULG,lb
100-emoji-hoodie,,,,,,,Size,Medium,Color,"Orange Red",,,TSAEX0122UMD,0,,1,deny,manual,48.95,63.95,TRUE,TRUE,,,,,TSAEX0122UMD,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/TSAEX0122U_100EmojiHoodie_Mockup.jpg?v=1439488753&var_sku=TSAEX0122UMD,lb
100-emoji-t-shirt,"100 Emoji T-Shirt","<meta charset=""utf-8""><span>Keep it 100 with this All-Over-Print 100 Emoji T-Shirt. Get this tracksuit to show off how you really feel. Ain&#39;t nothing but a G thang Baby!</span>",ebae,T-Shirts,"#100emoji, #emojis, All-Over-Prints, care-instructions, Coupon, ebae, Girls, GOF, Guys, Retail, shipping-15-days, size-L, size-M, size-S, T-Shirts, theme-pop-culture",TRUE,Size,Small,Color,Black,,,TSAEX0115USM,0,,1,deny,manual,27.95,42.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/TSAEX0115U_Black100EmojiTshirt_Mockup.jpg?v=1443450123,,FALSE,TSAEX0115USM,unisex,adult,,,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/TSAEX0115U_Black100EmojiTshirt_Mockup.jpg?v=1439403518&var_sku=TSAEX0115USM,lb
100-emoji-t-shirt,,,,,,,Size,Large,Color,Black,,,TSAEX0115ULG,0,,1,deny,manual,27.95,42.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/TSAEX0116U_Blue100EmojiTshirt_Mockup.jpg?v=1443450123,,,TSAEX0115ULG,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/TSAEX0115U_Black100EmojiTshirt_Mockup.jpg?v=1439403518&var_sku=TSAEX0115ULG,lb
100-emoji-t-shirt,,,,,,,Size,Medium,Color,Black,,,TSAEX0115UMD,0,,1,deny,manual,27.95,42.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/TSAEX0117U_Red100EmojiTshirt_Mockup.jpg?v=1443450123,,,TSAEX0115UMD,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/TSAEX0115U_Black100EmojiTshirt_Mockup.jpg?v=1439403518&var_sku=TSAEX0115UMD,lb
100-emoji-t-shirt,,,,,,,Size,X-Large,Color,Black,,,TSAEX0115UXL,0,,1,deny,manual,27.95,42.95,TRUE,TRUE,,,,,TSAEX0115UXL,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/TSAEX0115U_Black100EmojiTshirt_Mockup.jpg?v=1439403518&var_sku=TSAEX0115UXL,lb
100-emoji-t-shirt,,,,,,,Size,Large,Color,Blue,,,TSAEX0116ULG,0,,1,deny,manual,27.95,42.95,TRUE,TRUE,,,,,TSAEX0116ULG,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/TSAEX0116U_Blue100EmojiTshirt_Mockup.jpg?v=1439403521&var_sku=TSAEX0116ULG,lb
100-emoji-t-shirt,,,,,,,Size,Medium,Color,Blue,,,TSAEX0116UMD,0,,1,deny,manual,27.95,42.95,TRUE,TRUE,,,,,TSAEX0116UMD,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/TSAEX0116U_Blue100EmojiTshirt_Mockup.jpg?v=1439403521&var_sku=TSAEX0116UMD,lb
100-emoji-t-shirt,,,,,,,Size,Small,Color,Blue,,,TSAEX0116USM,0,,1,deny,manual,27.95,42.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/TSAEX0116U_Blue100EmojiTshirt_Mockup.jpg?v=1439403521,,,TSAEX0116USM,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/TSAEX0116U_Blue100EmojiTshirt_Mockup.jpg?v=1439403521&var_sku=TSAEX0116USM,lb
