Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
ancient-mew-fleece-blanket,"Ancient Mew Fleece Blanket","<meta charset=""utf-8"">
<p><span>This Ancient Mew Fleece Blanket</span><span> celebrates the legendary Pokemon that grabbed our childhood by the Pokeballs! Get this all-over print design from Let&#39;s Rage, only on RageOn!</span></p>
<p>Designer: Nick Sanchez</p>","Let's Rage",Blankets,"All-Over-Prints, Apartment, Bedding, Blankets, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-L, size-S, sizing-chart-fleece-blankets, theme-anime, theme-pokemon, theme-pop-culture",FALSE,Size,50x60,Color,Purple,,,AOPFB0017USMAPT,0,,0,deny,manual,54.84,79.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFB0017UAPT_Ancient_Mew_Mockup.jpg?v=1438500500,,FALSE,AOPFB0017USMAPT,unisex,adult,"home & garden > linens & bedding > bedding > blankets",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFB0017UAPT_Ancient_Mew_Mockup.jpg?v=1438500500&var_sku=AOPFB0017USMAPT,lb
ancient-mew-fleece-blanket,,,,,,,Size,60x80,Color,Purple,,,AOPFB0017ULGAPT,0,,-1,deny,manual,68.84,99.95,TRUE,TRUE,,,,,AOPFB0017ULGAPT,unisex,adult,"home & garden > linens & bedding > bedding > blankets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFB0017UAPT_Ancient_Mew_Mockup.jpg?v=1438500500&var_sku=AOPFB0017ULGAPT,lb
ariel-fleece-blanket,"Ariel Fleece Blanket","<meta charset=""utf-8""><span>Life underwater is hard, but when Ariel meets Ursula the Evil Sea Witch, the young Sea Princesses dreams of having legs becomes a reality, but at the cost of loosing her speech. In this all-over print Ariel Fleece Blanket design created by artist Evviart, turns these Disney Princess from the cartoon icons they are into beautiful Princess Hipsters. Go get yours today!!</span>",Evviart,Blankets,"All-Over-Prints, Apartment, Artist Made, Bedding, Blankets, care-instructions, Coupon, Evviart, Girls, Guys, Retail, shipping-10-days, size-L, size-S, sizing-chart-fleece-blankets, theme-cartoons, theme-pop-culture",TRUE,Size,50x60,Color,"Deep Pink",,,EVVFB0000USMAPT,0,,0,deny,manual,54.84,79.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/EVVFB0000UAPT_Ariel_Mockup.jpg?v=1438500465,,FALSE,EVVFB0000USMAPT,unisex,adult,"home & garden > linens & bedding > bedding > blankets",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/EVVFB0000UAPT_Ariel_Mockup.jpg?v=1438500465&var_sku=EVVFB0000USMAPT,lb
ariel-fleece-blanket,,,,,,,Size,60x80,Color,"Deep Pink",,,EVVFB0000ULGAPT,0,,0,deny,manual,68.84,99.95,TRUE,TRUE,,,,,EVVFB0000ULGAPT,unisex,adult,"home & garden > linens & bedding > bedding > blankets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/EVVFB0000UAPT_Ariel_Mockup.jpg?v=1438500465&var_sku=EVVFB0000ULGAPT,lb
batik-galaxy-fleece-blanket,"Batik Galaxy Fleece Blanket","<meta charset=""utf-8"">
<p>Take yourself to the stars in this all-over print Batik Galaxy Fleece Blanket design today! Get yours now, only from RageOn.com!</p>
<p>Designed by: Caleb Troy</p>","Let's Rage",Blankets,"All-Over-Prints, Apartment, Bedding, Blankets, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-L, size-S, sizing-chart-fleece-blankets, theme-art, theme-space",TRUE,Size,50x60,Color,"Burly Wood",,,AOPFB0883USMAPT,0,,1,deny,manual,54.84,79.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFB0883UAPT_Batik_Galaxy_Mockup.jpg?v=1438500595,,FALSE,AOPFB0883USMAPT,unisex,adult,"home & garden > linens & bedding > bedding > blankets",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFB0883UAPT_Batik_Galaxy_Mockup.jpg?v=1438500595&var_sku=AOPFB0883USMAPT,lb
batik-galaxy-fleece-blanket,,,,,,,Size,60x80,Color,"Burly Wood",,,AOPFB0883ULGAPT,0,,-2,deny,manual,68.84,99.95,TRUE,TRUE,,,,,AOPFB0883ULGAPT,unisex,adult,"home & garden > linens & bedding > bedding > blankets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFB0883UAPT_Batik_Galaxy_Mockup.jpg?v=1438500595&var_sku=AOPFB0883ULGAPT,lb
bespin-fleece-blanket,"Bespin Fleece Blanket","<meta charset=""utf-8""><span>How about a game of Where&#39;s Lando with this all-over-print Bespin Fleece Blanket?</span><br>
<p>Designer: Nick Sanchez</p>",Classics,Blankets,"All-Over-Prints, Apartment, Bedding, Blankets, care-instructions, Classics, Coupon, Girls, Guys, Retail, shipping-10-days, size-L, size-S, sizing-chart-fleece-blankets, theme-space",TRUE,Size,50x60,Color,"Sandy Brown",,,AOPFB0028USMAPT,0,,0,deny,manual,54.84,79.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFB0028UAPT_Bespin_Mockup.jpg?v=1438500519,,FALSE,AOPFB0028USMAPT,unisex,adult,"home & garden > linens & bedding > bedding > blankets",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFB0028UAPT_Bespin_Mockup.jpg?v=1438500519&var_sku=AOPFB0028USMAPT,lb
bespin-fleece-blanket,,,,,,,Size,60x80,Color,"Sandy Brown",,,AOPFB0028ULGAPT,0,,0,deny,manual,68.84,99.95,TRUE,TRUE,,,,,AOPFB0028ULGAPT,unisex,adult,"home & garden > linens & bedding > bedding > blankets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFB0028UAPT_Bespin_Mockup.jpg?v=1438500519&var_sku=AOPFB0028ULGAPT,lb
blastoise-fleece-blanket,"Blastoise Fleece Blanket","<meta charset=""utf-8"">
<p>This all-over print Blastoise Fleece Blanket from our Let&#39;s Rage brand is exactly what you need to evolve your water-type Pokemon collection!! This sick depiction features both Squirtle and fully evolved Blastoise in all his glory! Get this fully sublimated vibrant blanket today, only from Rage On!</p>
<p>Designed by: Derek Brennan</p>","Let's Rage",Blankets,"All-Over-Prints, Apartment, Bedding, Blankets, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-L, size-S, sizing-chart-fleece-blankets, theme-anime, theme-art, theme-pokemon, theme-pop-culture",FALSE,Size,50x60,Color,Lavender,,,AOPFB1303USMAPT,0,,1,deny,manual,54.84,79.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFB1303UAPT_Blastoise_Mockup.jpg?v=1438500494,,FALSE,AOPFB1303USMAPT,unisex,adult,"home & garden > linens & bedding > bedding > blankets",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFB1303UAPT_Blastoise_Mockup.jpg?v=1438500494&var_sku=AOPFB1303USMAPT,lb
blastoise-fleece-blanket,,,,,,,Size,60x80,Color,Lavender,,,AOPFB1303ULGAPT,0,,1,deny,manual,68.84,99.95,TRUE,TRUE,,,,,AOPFB1303ULGAPT,unisex,adult,"home & garden > linens & bedding > bedding > blankets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFB1303UAPT_Blastoise_Mockup.jpg?v=1438500494&var_sku=AOPFB1303ULGAPT,lb
