Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
3d-transformers-flip-flops,"3D Transformers Flip Flops","<meta charset=""utf-8"">
<p><span>This all-over print 3D Transformers Flip Flops design is more than meets the eye! This sexy Optimus Prime design screams new school swag! </span><span>Get it today! Only from RageOn.com!</span></p>","Let's Rage",Sandals,"All-Over-Prints, Apartment, Coupon, Girls, Guys, Let's Rage, Retail, Sandals, shipping-10-days, shipping-21-days, size-L, size-M, size-S, sizing-chart-flip-flops",TRUE,Size,"Child Size",Color,"Forest Green",Kind,Child,AOPFF0000UCHAPT,0,,1,deny,manual,19.84,30.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFF0000UAPT_3D_Transformers_Mockup.jpg?v=1438481571,,FALSE,AOPFF0000UCHAPT,unisex,adult,"apparel & accessories > shoes",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFF0000UAPT_3D_Transformers_Mockup.jpg?v=1438481571&var_sku=AOPFF0000UCHAPT,lb
3d-transformers-flip-flops,,,,,,,Size,Large,Color,"Forest Green",Kind,Adult,AOPFF0000ULGAPT,0,,0,deny,manual,24.84,35.00,TRUE,TRUE,,,,,AOPFF0000ULGAPT,unisex,adult,"apparel & accessories > shoes",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFF0000UAPT_3D_Transformers_Mockup.jpg?v=1438481571&var_sku=AOPFF0000ULGAPT,lb
3d-transformers-flip-flops,,,,,,,Size,Medium,Color,"Forest Green",Kind,Adult,AOPFF0000UMDAPT,0,,1,deny,manual,24.84,35.00,TRUE,TRUE,,,,,AOPFF0000UMDAPT,unisex,adult,"apparel & accessories > shoes",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFF0000UAPT_3D_Transformers_Mockup.jpg?v=1438481571&var_sku=AOPFF0000UMDAPT,lb
3d-transformers-flip-flops,,,,,,,Size,Small,Color,"Forest Green",Kind,Adult,AOPFF0000USMAPT,0,,1,deny,manual,24.84,35.00,TRUE,TRUE,,,,,AOPFF0000USMAPT,unisex,adult,"apparel & accessories > shoes",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFF0000UAPT_3D_Transformers_Mockup.jpg?v=1438481571&var_sku=AOPFF0000USMAPT,lb
activated-turtle-cap-flip-flops,"Activated Turtle Cap Flip Flops","<meta charset=""utf-8"">
<p><span>This positive little guy wearing a turtle cap is here to brighten up your day! Get your all-over print Activated Turtle Cap Flip Flop design today! Only at RageOn.com! </span></p>","Positive Creations",Sandals,"All-Over-Prints, Apartment, Artist Made, Chris Dyer, Coupon, Girls, Guys, Positive Creations, Retail, Sandals, shipping-10-days, size-L, size-M, size-S, sizing-chart-flip-flops, theme-art, theme-psychedelic",TRUE,Size,"Child Size",Color,Silver,Kind,Child,CPCFF0008UCHAPT,0,,0,deny,manual,21.84,32.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCFF0008U_ActivatedTurtleCap_MockupFile.jpg?v=1438482445,,FALSE,CPCFF0008UCHAPT,unisex,adult,"apparel & accessories > shoes",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCFF0008U_ActivatedTurtleCap_MockupFile.jpg?v=1438482445&var_sku=CPCFF0008UCHAPT,lb
activated-turtle-cap-flip-flops,,,,,,,Size,Large,Color,Silver,,,CPCFF0008ULGAPT,0,,1,deny,manual,26.84,37.00,TRUE,TRUE,,,,,CPCFF0008ULGAPT,unisex,adult,"apparel & accessories > shoes",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCFF0008U_ActivatedTurtleCap_MockupFile.jpg?v=1438482445&var_sku=CPCFF0008ULGAPT,lb
activated-turtle-cap-flip-flops,,,,,,,Size,Medium,Color,Silver,,,CPCFF0008UMDAPT,0,,0,deny,manual,24.84,36.00,TRUE,TRUE,,,,,CPCFF0008UMDAPT,unisex,adult,"apparel & accessories > shoes",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCFF0008U_ActivatedTurtleCap_MockupFile.jpg?v=1438482445&var_sku=CPCFF0008UMDAPT,lb
activated-turtle-cap-flip-flops,,,,,,,Size,Small,Color,Silver,,,CPCFF0008USMAPT,0,,1,deny,manual,24.84,36.00,TRUE,TRUE,,,,,CPCFF0008USMAPT,unisex,adult,"apparel & accessories > shoes",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCFF0008U_ActivatedTurtleCap_MockupFile.jpg?v=1438482445&var_sku=CPCFF0008USMAPT,lb
admiral-ackbar-trap-flip-flops,"Admiral Ackbar TRAP Flip Flops","<meta charset=""utf-8""><p><span>Get these Admiral Ackbar TRAP Flip Flops from Let&#39;s Rage! </span><span>Admiral Ackbar, also known as Admiral Gial Ackbar is a famous character from one of our favorite movies, Star Wars: Return of the Jedi, has had his body replaced with that of the previous dictator of North Korea, Kim-Jun-Un. With the Millenium Falcon flying in the background, hopefully being flown by Han Solo and Chewbacca, what better time to Run the Trap ! Get your Admiral Ackbar TRAP Flip Flops design while you can, only on Rage On! </span></p>","Let's Rage",Sandals,"All-Over-Prints, Apartment, Coupon, Girls, Guys, Let's Rage, Retail, Sandals, shipping-10-days, size-L, size-M, size-S, sizing-chart-flip-flops",TRUE,Size,"Child Size",Color,"Dark Cyan",Kind,Child,AOPFF0005UCHAPT,0,,1,deny,manual,19.84,30.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFF0005U_AdmiralAckbar_MockupFile.jpg?v=1438482494,,FALSE,AOPFF0005UCHAPT,unisex,adult,"apparel & accessories > shoes",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFF0005U_AdmiralAckbar_MockupFile.jpg?v=1438482494&var_sku=AOPFF0005UCHAPT,lb
admiral-ackbar-trap-flip-flops,,,,,,,Size,Large,Color,"Dark Cyan",Kind,Adult,AOPFF0005ULGAPT,0,,1,deny,manual,24.84,35.00,TRUE,TRUE,,,,,AOPFF0005ULGAPT,unisex,adult,"apparel & accessories > shoes",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPFF0005U_AdmiralAckbar_MockupFile.jpg?v=1438482494&var_sku=AOPFF0005ULGAPT,lb
