Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
butterflies-string-bottom,"Butterflies String Bottom","Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)! They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements. Right now, the only shipping options are USPS 1-5 business days or International. Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts!","Mr. GuGu",Swimwear,"All-Over-Print, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-bikini-string, Swimwear",TRUE,Size,Small,Color,Cyan,,,GUGGB0045WSM,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG426_BUTTERFLIES_STRINGBOTTOM.jpeg?v=1438467153,,FALSE,GUGGB0045WSM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG426_BUTTERFLIES_STRINGBOTTOM.jpeg?v=1438467153&var_sku=GUGGB0045WSM,lb
butterflies-string-bottom,,,,,,,Size,Large,Color,Cyan,,,GUGGB0045WLG,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGGB0045WLG,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG426_BUTTERFLIES_STRINGBOTTOM.jpeg?v=1438467153&var_sku=GUGGB0045WLG,lb
butterflies-string-bottom,,,,,,,Size,Medium,Color,Cyan,,,GUGGB0045WMD,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGGB0045WMD,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG426_BUTTERFLIES_STRINGBOTTOM.jpeg?v=1438467153&var_sku=GUGGB0045WMD,lb
butterflies-string-bottom-ready-to-ship,"Butterflies String Bottom *Ready to Ship*","<meta charset=""utf-8"">
<p><span>Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)! They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements. Right now, the only shipping options are USPS 1-5 business days or International. Attention: Instagram and Twitter lovers! </span><br><span>Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts! </span></p>
<meta charset=""utf-8"">
<p><span><span>Not available in your size? </span><span style=""color: #000000;""><a href=""http://www.rageon.com/products/butterflies-string-bottom"" style=""color: #000000;""><strong><em>Click here to order now! </em></strong></a></span></span></p>","Mr. GuGu","Ready to Ship","All-Over-Prints, care-instructions, Coupon, Girls, Mr. GuGu, Ready to Ship, Retail, shipping-1-days, shipping-10-days, size-L, size-M, size-S, Swimwear",TRUE,Size,Small,Color,Cyan,,,GUGGB0045WSMRTS,0,shopify,1,deny,manual,59.95,69.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG426_BUTTERFLIES_STRINGBOTTOM_grande_70e166ed-860d-4a46-bfe5-bad6ab6930c9.jpeg?v=1438488397,,FALSE,GUGGB0045WSMRTS,unisex,adult,"apparel & accessories > clothing > swimwear",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG426_BUTTERFLIES_STRINGBOTTOM_grande_70e166ed-860d-4a46-bfe5-bad6ab6930c9.jpeg?v=1438488397&var_sku=GUGGB0045WSMRTS,lb
butterflies-string-bottom-ready-to-ship,,,,,,,Size,Large,Color,Cyan,,,GUGGB0045WLGRTS,0,shopify,1,deny,manual,59.95,69.95,TRUE,TRUE,,,,,GUGGB0045WLGRTS,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG426_BUTTERFLIES_STRINGBOTTOM_grande_70e166ed-860d-4a46-bfe5-bad6ab6930c9.jpeg?v=1438488397&var_sku=GUGGB0045WLGRTS,lb
butterflies-string-bottom-ready-to-ship,,,,,,,Size,Medium,Color,Cyan,,,GUGGB0045WMDRTS,0,shopify,1,deny,manual,59.95,69.95,TRUE,TRUE,,,,,GUGGB0045WMDRTS,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG426_BUTTERFLIES_STRINGBOTTOM_grande_70e166ed-860d-4a46-bfe5-bad6ab6930c9.jpeg?v=1438488397&var_sku=GUGGB0045WMDRTS,lb
cheetah-string-bottom,"Cheetah String Bottom","Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)! They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements. Right now, the only shipping options are USPS 1-5 business days or International. Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts!","Mr. GuGu",Swimwear,"All-Over-Print, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-bikini-string, Swimwear",TRUE,Size,Small,Color,"Dark Khaki",,,GUGGB0041WSM,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG408_CHEETAH_STRINGBOTTOM.jpeg?v=1438467116,,FALSE,GUGGB0041WSM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG408_CHEETAH_STRINGBOTTOM.jpeg?v=1438467116&var_sku=GUGGB0041WSM,lb
cheetah-string-bottom,,,,,,,Size,Large,Color,"Dark Khaki",,,GUGGB0041WLG,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGGB0041WLG,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG408_CHEETAH_STRINGBOTTOM.jpeg?v=1438467116&var_sku=GUGGB0041WLG,lb
cheetah-string-bottom,,,,,,,Size,Medium,Color,"Dark Khaki",,,GUGGB0041WMD,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGGB0041WMD,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG408_CHEETAH_STRINGBOTTOM.jpeg?v=1438467116&var_sku=GUGGB0041WMD,lb
crazy-cat-string-bottom,"Crazy Cat String Bottom","Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)! They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements. Right now, the only shipping options are USPS 1-5 business days or International. Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts!","Mr. GuGu",Swimwear,"All-Over-Print, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-bikini-string, Swimwear",TRUE,Size,Small,Color,"Midnight Blue",,,GUGGB0037WSM,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG437_CRAZYCAT_STRINGBOTTOM.jpeg?v=1438467174,,FALSE,GUGGB0037WSM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG437_CRAZYCAT_STRINGBOTTOM.jpeg?v=1438467174&var_sku=GUGGB0037WSM,lb
