Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
2-stupid-dogs-zip-up-hoodie,"2 Stupid Dogs Zip-Up Hoodie","<meta charset=""utf-8"">
<p><span>2 Stupid Dogs is the american cartoon series shown on Cartoon Network and Boomerang that introduced us to the misadventures of Little Dog and Big Dog! Get your all-over print 2 Stupid Dogs Zip-up Hoodie from Totally 90s! </span></p>","Totally 90s",Hoodies,"All-Over-Prints, care-instructions, Coupon, Girls, Guys, Hoodies, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, size-XXL, size-XXXL, sizing-chart-hoodies, theme-cartoons, Totally 90s",TRUE,Size,X-Small,Color,Red,,,AOPHD0273UXS,0,,1,deny,manual,69.84,99.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPHD0273U_2_Stupid_Dogs_Mockup_53179ba6-7476-4c86-9335-a92519c35041.jpg?v=1438477181,,FALSE,AOPHD0273UXS,unisex,adult,"apparel & accessories > clothing > shirts & tops","2 Stupid Dogs All Over Print Zip-Up Hoodie","Our 2 Stupid Dogs zip up hoodie is from the television series, featured on Cartoon Network, which has The Little Dog and The Big Dog on a psychedelic background print. ",Hoodies,Hoodies,new,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPHD0273U_2_Stupid_Dogs_Mockup_53179ba6-7476-4c86-9335-a92519c35041.jpg?v=1438477181&var_sku=AOPHD0273UXS,lb
2-stupid-dogs-zip-up-hoodie,,,,,,,Size,XX-Large,Color,Red,,,AOPHD0273U2X,0,,1,deny,manual,74.84,104.99,TRUE,TRUE,,,,,AOPHD0273U2X,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPHD0273U_2_Stupid_Dogs_Mockup_53179ba6-7476-4c86-9335-a92519c35041.jpg?v=1438477181&var_sku=AOPHD0273U2X,lb
2-stupid-dogs-zip-up-hoodie,,,,,,,Size,XXX-Large,Color,Red,,,AOPHD0273U3X,0,,1,deny,manual,78.84,109.99,TRUE,TRUE,,,,,AOPHD0273U3X,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPHD0273U_2_Stupid_Dogs_Mockup_53179ba6-7476-4c86-9335-a92519c35041.jpg?v=1438477181&var_sku=AOPHD0273U3X,lb
2-stupid-dogs-zip-up-hoodie,,,,,,,Size,Large,Color,Red,,,AOPHD0273ULG,0,,1,deny,manual,69.84,99.99,TRUE,TRUE,,,,,AOPHD0273ULG,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPHD0273U_2_Stupid_Dogs_Mockup_53179ba6-7476-4c86-9335-a92519c35041.jpg?v=1438477181&var_sku=AOPHD0273ULG,lb
2-stupid-dogs-zip-up-hoodie,,,,,,,Size,Medium,Color,Red,,,AOPHD0273UMD,0,,1,deny,manual,69.84,99.99,TRUE,TRUE,,,,,AOPHD0273UMD,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPHD0273U_2_Stupid_Dogs_Mockup_53179ba6-7476-4c86-9335-a92519c35041.jpg?v=1438477181&var_sku=AOPHD0273UMD,lb
2-stupid-dogs-zip-up-hoodie,,,,,,,Size,Small,Color,Red,,,AOPHD0273USM,0,,1,deny,manual,69.84,99.99,TRUE,TRUE,,,,,AOPHD0273USM,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPHD0273U_2_Stupid_Dogs_Mockup_53179ba6-7476-4c86-9335-a92519c35041.jpg?v=1438477181&var_sku=AOPHD0273USM,lb
2-stupid-dogs-zip-up-hoodie,,,,,,,Size,X-Large,Color,Red,,,AOPHD0273UXL,0,,0,deny,manual,69.84,99.99,TRUE,TRUE,,,,,AOPHD0273UXL,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPHD0273U_2_Stupid_Dogs_Mockup_53179ba6-7476-4c86-9335-a92519c35041.jpg?v=1438477181&var_sku=AOPHD0273UXL,lb
3d-transformers-zip-up-hoodie,"3D Transformers Zip-Up Hoodie","<meta charset=""utf-8"">
<p><span>This all-over print 3D Transformers Zip-Up Hoodie design is more than meets the eye! This sexy Optimus Prime design screams new school swag! </span><span>Get it today! Only from RageOn.com!</span></p>","Let's Rage",Hoodies,"All-Over-Prints, care-instructions, Coupon, Girls, Guys, Hoodies, Let's Rage, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, size-XXL, size-XXXL, sizing-chart-hoodies",TRUE,Size,X-Small,Color,"Cornflower Blue",,,AOPHD0000UXS,0,,1,deny,manual,69.84,99.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPHD0000U_3D_Transformers_MockupFront.jpg?v=1438481613,,FALSE,AOPHD0000UXS,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPHD0000U_3D_Transformers_MockupFront.jpg?v=1438481613&var_sku=AOPHD0000UXS,lb
3d-transformers-zip-up-hoodie,,,,,,,Size,XX-Large,Color,"Cornflower Blue",,,AOPHD0000U2X,0,,1,deny,manual,74.84,104.99,TRUE,TRUE,,,,,AOPHD0000U2X,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPHD0000U_3D_Transformers_MockupFront.jpg?v=1438481613&var_sku=AOPHD0000U2X,lb
3d-transformers-zip-up-hoodie,,,,,,,Size,XXX-Large,Color,"Cornflower Blue",,,AOPHD0000U3X,0,,0,deny,manual,78.84,109.99,TRUE,TRUE,,,,,AOPHD0000U3X,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPHD0000U_3D_Transformers_MockupFront.jpg?v=1438481613&var_sku=AOPHD0000U3X,lb
