Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
617-hat,"617 Hat","<p>Do you love where you are from? Do you love to Rage? Well, Lets Rage has brought you the best of both worlds with the addition of our new 617 trucker hat!</p>","Let's Rage",Beanies/Hats,"$20 Holla, Beanies & Hats, Girls, Guys, Hats, Let's Rage, Ready to Ship, Retail, sale, shipping-1-days, shipping-10-days, size-One-Size, warehouse",TRUE,Size,"One Size",Color,Red,,,LRCHT0000UOS,45,shopify,10,deny,manual,9.84,24.84,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/617red.jpg?v=1438469197,,FALSE,LRCHT0000UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,"Get this awesome 617 party hat from Let's Rage and make the rave go crazy!",,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/617red.jpg?v=1438469197&var_sku=LRCHT0000UOS,lb
617-hat,,,,,,,Size,"One Size",Color,Green,,,LRCHT0001UOS,45,shopify,12,deny,manual,9.84,24.84,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/617neon_grande.jpg?v=1438469197,,,LRCHT0001UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/617neon_grande.jpg?v=1438469197&var_sku=LRCHT0001UOS,lb
abra-snapback-1,"Abra Snapback","<p>Check out this sick Abra Snapback! This dope hat features Abra, the stage 1 version of Alakazam, one of the strongest psychic Pokemon from the first generation era! The vibrant name colors match those of the Pokemon and are complimented with a teal blue on the rim! Get yours today from Rage On!</p>","Let's Rage",Beanies/Hats,"Beanies & Hats, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-One-Size, snapback, snapbacks, theme-anime, theme-cartoons, theme-pokemon",FALSE,Size,"One Size",Color,"Dark Salmon",,,SNPHT0000UOS,0,,-2,deny,manual,44.84,54.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/1_86070fc9-3a47-477b-bae1-1c68d5f9119f.jpg?v=1438501869,,FALSE,SNPHT0000UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/1_86070fc9-3a47-477b-bae1-1c68d5f9119f.jpg?v=1438501869&var_sku=SNPHT0000UOS,lb
bae-snapback,"BAE Snapback","This BAE Snapback design is sure to let the world know you&#39;re <span>BAE: Before Anyone Else or Better than All Else! </span>Grab this dope red and gold hat for your wardrobe today, only from RageOn!","Let's Rage",Beanies/Hats,"Beanies & Hats, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-One-Size, snapback, snapbacks, theme-pop-culture, theme-streetwear",FALSE,Size,"One Size",Color,Peru,,,SNPHT0006UOS,0,,1,deny,manual,44.84,54.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/SNPHT0006U_BAE_Mockup.jpg?v=1438501861,,FALSE,SNPHT0006UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/SNPHT0006U_BAE_Mockup.jpg?v=1438501861&var_sku=SNPHT0006UOS,lb
bass-neon-hat,"Bass Neon Hat","You love that deep, low, dirty bass. You love to rage? Let the world know your style! UV reactive, hat glows under black light-Panel, 3.75"" Structured Crowolyester Foam Fronesh Bacnap Closuro Braid Free shipping on all orders over $70!!<p>Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for #letsrage and #letsrageclothing fohance to get reposted and discounts!</p>","Let's Rage",Beanies/Hats,"$20 Holla, Beanies & Hats, Girls, Guys, Let's Rage, Ready to Ship, Retail, sale, shipping-1-days, shipping-10-days, size-One-Size, warehouse",TRUE,Size,"One Size",Color,"Neon Pink",,,LRCHT0003UOS,45,shopify,7,deny,manual,9.84,24.84,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/LRC546.jpeg?v=1438466961,,FALSE,LRCHT0003UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/LRC548.jpeg?v=1438466961&var_sku=LRCHT0003UOS,lb
bass-neon-hat,,,,,,,Size,"One Size",Color,"Neon Green",,,LRCHT0004UOS,45,shopify,1,deny,manual,9.84,24.84,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/LRC548.jpeg?v=1438466961,,,LRCHT0004UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/LRC546.jpeg?v=1438466961&var_sku=LRCHT0004UOS,lb
boston-hat,"Boston Hat","<p>Do you love your city? Do you want to represent it while you are raging?! Get the Boston Trucker hat today!</p>","I Heart Boston",Beanies/Hats,"$20 Holla, Artist Made, Beanies & Hats, Girls, Guys, Hats, Let's Rage, Ready to Ship, Retail, sale, shipping-1-days, shipping-10-days, size-One-Size, warehouse",TRUE,Size,"One Size",Color,Green,,,LRCHT0006UOS,45,shopify,10,deny,manual,9.84,20.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/bostongreen.jpg?v=1438467846,,FALSE,LRCHT0006UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/bostongreen.jpg?v=1438467846&var_sku=LRCHT0006UOS,lb
boston-hat,,,,,,,Size,"One Size",Color,Red,,,LRCHT0007UOS,45,shopify,13,deny,manual,9.84,20.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/boston.jpg?v=1438467846,,,LRCHT0007UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/boston.jpg?v=1438467846&var_sku=LRCHT0007UOS,lb
bulbasaur-snapback,"Bulbasaur Snapback","<p>Check out this sick Bulbasaur Snapback featuring a blue, green, and grey colorway! This sexy hat features the original grass type starter from the Pokemon video game series, exclusively on RageOn! Get yours now!</p>","Let's Rage",Beanies/Hats,"Beanies & Hats, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-One-Size, snapback, snapbacks, theme-anime, theme-cartoons, theme-pokemon",FALSE,Size,"One Size",Color,Cyan,,,SNPHT0001UOS,0,,1,deny,manual,44.84,54.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/SNPHT0001U_Bulbasaur_Mockup.jpg?v=1438501837,,FALSE,SNPHT0001UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/SNPHT0001U_Bulbasaur_Mockup.jpg?v=1438501837&var_sku=SNPHT0001UOS,lb
butterflies-snap-back,"Butterflies Snap Back","<p>Printed snap back cap.</p>","Mr. GuGu",Beanies/Hats,"All-Over-Prints, Beanies & Hats, Girls, Guys, Hats, Let's Rage, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-One-Size",TRUE,Size,"One Size",Color,"Medium Turquoise",,,GUGHT0001UOS,0,,-3,deny,manual,59.95,69.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/butterflies.jpg?v=1438469206,,FALSE,GUGHT0001UOS,unisex,adult,"apparel & accessories > clothing accessories > hats",,,Beanies/Hats,Beanies/Hats,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/butterflies.jpg?v=1438469206&var_sku=GUGHT0001UOS,lb
