Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
alpaca-circle-dress,"Alpaca Circle Dress","<p>Alpacas are like smaller versions of llamas. If you love animals then this dress is for you!</p>","Mr. GuGu",Dresses,"All-Over-Prints, care-instructions, Coupon, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, sizing-chart-circle-dress, theme-animals",TRUE,Size,X-Small,Color,"Light Pink",,,GUGID0000WXS,0,,0,deny,manual,54.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_circle_dress.jpg?v=1438467710,,FALSE,GUGID0000WXS,unisex,adult,"apparel & accessories > clothing > dresses",,,Dresses,Dresses,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_circle_dress.jpg?v=1438467710&var_sku=GUGID0000WXS,lb
alpaca-circle-dress,,,,,,,Size,Large,Color,"Light Pink",,,GUGID0000WLG,0,,-2,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGID0000WLG,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_circle_dress.jpg?v=1438467710&var_sku=GUGID0000WLG,lb
alpaca-circle-dress,,,,,,,Size,Medium,Color,"Light Pink",,,GUGID0000WMD,0,,-2,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGID0000WMD,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_circle_dress.jpg?v=1438467710&var_sku=GUGID0000WMD,lb
alpaca-circle-dress,,,,,,,Size,Small,Color,"Light Pink",,,GUGID0000WSM,0,,0,deny,manual,54.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/circle-alpaca.jpg?v=1438467710,,,GUGID0000WSM,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_circle_dress.jpg?v=1438467710&var_sku=GUGID0000WSM,lb
ginger-circle-dress,"Ginger Circle Dress","Ginger Circle Dress","Mr. GuGu",Dresses,"All-Over-Prints, care-instructions, Coupon, Dresses, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, sizing-chart-circle-dress",TRUE,Size,X-Small,Color,"Lime Green",,,GUGID0009WXS,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/ginger_circle_dress_1.jpg?v=1438467694,,FALSE,GUGID0009WXS,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ginger_circle_dress_1.jpg?v=1438467694&var_sku=GUGID0009WXS,lb
ginger-circle-dress,,,,,,,Size,Large,Color,"Lime Green",,,GUGID0009WLG,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGID0009WLG,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ginger_circle_dress_1.jpg?v=1438467694&var_sku=GUGID0009WLG,lb
ginger-circle-dress,,,,,,,Size,Medium,Color,"Lime Green",,,GUGID0009WMD,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGID0009WMD,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ginger_circle_dress_1.jpg?v=1438467694&var_sku=GUGID0009WMD,lb
ginger-circle-dress,,,,,,,Size,Small,Color,"Lime Green",,,GUGID0009WSM,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGID0009WSM,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ginger_circle_dress_1.jpg?v=1438467694&var_sku=GUGID0009WSM,lb
green-nebula-circle-dress,"Green Nebula Circle Dress","Green Nebula Circle Dress","Mr. GuGu",Dresses,"All-Over-Prints, care-instructions, Coupon, Dresses, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, sizing-chart-circle-dress",TRUE,Size,X-Small,Color,"Medium Sea Green",,,GUGID0015WXS,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/green_nebula_circle_dress.jpg?v=1438467677,,FALSE,GUGID0015WXS,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/green_nebula_circle_dress.jpg?v=1438467677&var_sku=GUGID0015WXS,lb
green-nebula-circle-dress,,,,,,,Size,Large,Color,"Medium Sea Green",,,GUGID0015WLG,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGID0015WLG,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/green_nebula_circle_dress.jpg?v=1438467677&var_sku=GUGID0015WLG,lb
