Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
beetle-jacket,"Beetle Jacket","<p>This creepy crawly Beetle Jacket is from Mr.GuGu!</p>","Mr. GuGu","Jackets & Ponchos","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Jackets, Jackets & Ponchos, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS",TRUE,Size,X-Small,Color,"Cornflower Blue",,,GUGJK0001UXS,0,,1,deny,manual,99.84,109.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/basic_beetle_jacket.jpg?v=1438468107,,FALSE,GUGJK0001UXS,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,"Jackets & Ponchos","Jackets & Ponchos",new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/basic_beetle_jacket.jpg?v=1438468107&var_sku=GUGJK0001UXS,lb
beetle-jacket,,,,,,,Size,Large,Color,"Cornflower Blue",,,GUGJK0001ULG,0,,1,deny,manual,99.84,109.95,TRUE,TRUE,,,,,GUGJK0001ULG,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/basic_beetle_jacket.jpg?v=1438468107&var_sku=GUGJK0001ULG,lb
beetle-jacket,,,,,,,Size,Medium,Color,"Cornflower Blue",,,GUGJK0001UMD,0,,1,deny,manual,99.84,109.95,TRUE,TRUE,,,,,GUGJK0001UMD,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/basic_beetle_jacket.jpg?v=1438468107&var_sku=GUGJK0001UMD,lb
beetle-jacket,,,,,,,Size,Small,Color,"Cornflower Blue",,,GUGJK0001USM,0,,1,deny,manual,99.84,109.95,TRUE,TRUE,,,,,GUGJK0001USM,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/basic_beetle_jacket.jpg?v=1438468107&var_sku=GUGJK0001USM,lb
beetle-jacket,,,,,,,Size,X-Large,Color,"Cornflower Blue",,,GUGJK0001UXL,0,,1,deny,manual,99.84,109.95,TRUE,TRUE,,,,,GUGJK0001UXL,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/basic_beetle_jacket.jpg?v=1438468107&var_sku=GUGJK0001UXL,lb
deer-jacket,"Astrodeer Jacket","Astrodeer Jacket","Mr. GuGu","Jackets & Ponchos","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Jackets, Jackets & Ponchos, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS",TRUE,Size,X-Small,Color,"Forest Green",,,GUGJK0011UXS,0,,1,deny,manual,99.84,109.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/basic_deer_jacket.jpg?v=1438468109,,FALSE,GUGJK0011UXS,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/basic_deer_jacket.jpg?v=1438468109&var_sku=GUGJK0011UXS,lb
deer-jacket,,,,,,,Size,Large,Color,"Forest Green",,,GUGJK0011ULG,0,,1,deny,manual,99.84,109.95,TRUE,TRUE,,,,,GUGJK0011ULG,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/basic_deer_jacket.jpg?v=1438468109&var_sku=GUGJK0011ULG,lb
deer-jacket,,,,,,,Size,Medium,Color,"Forest Green",,,GUGJK0011UMD,0,,-3,deny,manual,99.84,109.95,TRUE,TRUE,,,,,GUGJK0011UMD,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/basic_deer_jacket.jpg?v=1438468109&var_sku=GUGJK0011UMD,lb
deer-jacket,,,,,,,Size,Small,Color,"Forest Green",,,GUGJK0011USM,0,,1,deny,manual,99.84,109.95,TRUE,TRUE,,,,,GUGJK0011USM,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/basic_deer_jacket.jpg?v=1438468109&var_sku=GUGJK0011USM,lb
deer-jacket,,,,,,,Size,X-Large,Color,"Forest Green",,,GUGJK0011UXL,0,,0,deny,manual,99.84,109.95,TRUE,TRUE,,,,,GUGJK0011UXL,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/basic_deer_jacket.jpg?v=1438468109&var_sku=GUGJK0011UXL,lb
