Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
dangerous-mind-jersey,"Dangerous Mind Jersey","<p>You think you have a dangerous mind Show the world</p>","Mr. GuGu","Tank Tops","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Jerseys, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-tank-tops, Tank Tops",FALSE,Size,Small,Color,Cyan,,,GUGJR0000USM,250,,0,deny,manual,54.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/dangerous_mind_basketball_jersey.jpg?v=1438467561,,FALSE,GUGJR0000USM,unisex,adult,"apparel & accessories > clothing > activewear",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/dangerous_mind_basketball_jersey.jpg?v=1438467561&var_sku=GUGJR0000USM,lb
dangerous-mind-jersey,,,,,,,Size,Large,Color,Cyan,,,GUGJR0000ULG,0,,0,deny,manual,54.84,64.95,TRUE,,,,,,GUGJR0000ULG,unisex,adult,"apparel & accessories > clothing > activewear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/dangerous_mind_basketball_jersey.jpg?v=1438467561&var_sku=GUGJR0000ULG,lb
dangerous-mind-jersey,,,,,,,Size,Medium,Color,Cyan,,,GUGJR0000UMD,0,,0,deny,manual,54.84,64.95,TRUE,,,,,,GUGJR0000UMD,unisex,adult,"apparel & accessories > clothing > activewear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/dangerous_mind_basketball_jersey.jpg?v=1438467561&var_sku=GUGJR0000UMD,lb
gold-digger-jersey,"Gold Digger Jersey","<p>Now we aren&#39;t saying you&#39;re a gold digger, but you ain&#39;t messin&#39; with no broke, broke..</p>","Mr. GuGu","Tank Tops","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Jerseys, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-tank-tops, Tank Tops",FALSE,Size,Small,Color,"Rosy Brown",,,GUGJR0009USM,250,,0,deny,manual,54.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/gold_digger_basketball_jersey.jpg?v=1438467559,,FALSE,GUGJR0009USM,unisex,adult,"apparel & accessories > clothing > activewear",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/gold_digger_basketball_jersey.jpg?v=1438467559&var_sku=GUGJR0009USM,lb
gold-digger-jersey,,,,,,,Size,Large,Color,"Rosy Brown",,,GUGJR0009ULG,0,,0,deny,manual,54.84,64.95,TRUE,,,,,,GUGJR0009ULG,unisex,adult,"apparel & accessories > clothing > activewear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/gold_digger_basketball_jersey.jpg?v=1438467559&var_sku=GUGJR0009ULG,lb
gold-digger-jersey,,,,,,,Size,Medium,Color,"Rosy Brown",,,GUGJR0009UMD,0,,0,deny,manual,54.84,64.95,TRUE,,,,,,GUGJR0009UMD,unisex,adult,"apparel & accessories > clothing > activewear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/gold_digger_basketball_jersey.jpg?v=1438467559&var_sku=GUGJR0009UMD,lb
mafia-jersey,"Mafia Jersey","Mafia Jersey","Mr. GuGu","Tank Tops","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Jerseys, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-tank-tops, Tank Tops",FALSE,Size,Small,Color,"Orange Red",,,GUGJR0002USM,250,,0,deny,manual,54.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/mafia_basketball_jersey.jpg?v=1438467557,,FALSE,GUGJR0002USM,unisex,adult,"apparel & accessories > clothing > activewear",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/mafia_basketball_jersey.jpg?v=1438467557&var_sku=GUGJR0002USM,lb
mafia-jersey,,,,,,,Size,Large,Color,"Orange Red",,,GUGJR0002ULG,0,,0,deny,manual,54.84,64.95,TRUE,,,,,,GUGJR0002ULG,unisex,adult,"apparel & accessories > clothing > activewear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/mafia_basketball_jersey.jpg?v=1438467557&var_sku=GUGJR0002ULG,lb
mafia-jersey,,,,,,,Size,Medium,Color,"Orange Red",,,GUGJR0002UMD,0,,0,deny,manual,54.84,64.95,TRUE,,,,,,GUGJR0002UMD,unisex,adult,"apparel & accessories > clothing > activewear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/mafia_basketball_jersey.jpg?v=1438467557&var_sku=GUGJR0002UMD,lb
you-know-jersey,"You Know Jersey","You Know Jersey","Mr. GuGu","Tank Tops","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Jerseys, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-tank-tops, Tank Tops",FALSE,Size,Small,Color,"Old Lace",,,GUGJR0003USM,250,,-1,deny,manual,54.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/you_know_im_no_good_basketball_jersey.jpg?v=1438467556,,FALSE,GUGJR0003USM,unisex,adult,"apparel & accessories > clothing > activewear",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/you_know_im_no_good_basketball_jersey.jpg?v=1438467556&var_sku=GUGJR0003USM,lb
you-know-jersey,,,,,,,Size,Large,Color,"Old Lace",,,GUGJR0003ULG,0,,0,deny,manual,54.84,64.95,TRUE,,,,,,GUGJR0003ULG,unisex,adult,"apparel & accessories > clothing > activewear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/you_know_im_no_good_basketball_jersey.jpg?v=1438467556&var_sku=GUGJR0003ULG,lb
you-know-jersey,,,,,,,Size,Medium,Color,"Old Lace",,,GUGJR0003UMD,0,,0,deny,manual,54.84,64.95,TRUE,,,,,,GUGJR0003UMD,unisex,adult,"apparel & accessories > clothing > activewear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/you_know_im_no_good_basketball_jersey.jpg?v=1438467556&var_sku=GUGJR0003UMD,lb
