Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
avocado-knee-high-socks,"Avocado Knee High Socks","Avocado Knee High Socks","Let's Rage",Socks,"All-Over-Prints, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, size-One-Size, Socks",FALSE,Size,"One Size",Color,Snow,,,AOPKH0341UOS,0,,1,deny,manual,15.00,25.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPKH0341UOS_Avocado_Mockup.jpg?v=1438475342,,FALSE,AOPKH0341UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPKH0341UOS_Avocado_Mockup.jpg?v=1438475342,lb
bacon-pizza-space-cat-knee-high-socks,"Bacon Pizza Space Cat Knee-High Socks","<p>All over print UFO bacon pizza cats in space! Our Bacon Pizza Space Cat Ankle socks have it all! This cat is floating on a piece of pepperoni pizza, trying to get away from the bacon rays of the oncoming UFOs!</p>","Let's Rage",Socks,"All-Over-Prints, care-instructions, Coupon, Electronic Dance Music, Girls, Guys, Let's Rage, Retail, size-One-Size, Socks, theme-animals, theme-cats, theme-space",FALSE,Size,"One Size",Color,"Dark Salmon",,,AOPKH0024UOS,0,,1,deny,manual,15.00,25.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bacon_Pizza_Space_Cat_Knee_High_Socks_Mockup.jpg?v=1438474718,,FALSE,AOPKH0024UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bacon_Pizza_Space_Cat_Knee_High_Socks_Mockup.jpg?v=1438474718&var_sku=AOPKH0024UOS,lb
banana-knee-high-socks,"Banana Knee High Socks","<p>Go Bananas with these awesome all over print Banana Knee High socks by Let&#39;s Rage.</p>","Let's Rage",Socks,"$20 Holla, All-Over-Prints, care-instructions, Coupon, Girls, Guys, Knee-High, Let's Rage, PreOrdered, Retail, shipping-21-days, size-One-Size, Socks",FALSE,Size,"One Size",Color,"Dark Orchid",,,AOPKH0342UOS,0,,1,deny,manual,15.00,25.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPKH0342UOS_Banana_Mockup.jpg?v=1438475348,,FALSE,AOPKH0342UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPKH0342UOS_Banana_Mockup.jpg?v=1438475348,lb
blunt-knee-highs,"Blunt Knee-High Socks","<p>Check out these sweet Blunt Knee Highs by Let&#39;s Rage!</p>","High Times",Socks,"All-Over-Prints, care-instructions, Coupon, Disclaimer, Girls, Guys, High Times, Let's Rage, Retail, shipping-10-days, size-One-Size, Socks, theme-drugs",FALSE,Size,"One Size",Color,"Dark Violet",,,AOPKH0382UOS,0,,1,deny,manual,15.00,25.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPKH0382UOS_Blunt_Mockup.jpg?v=1438475802,,FALSE,AOPKH0382UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPKH0382UOS_Blunt_Mockup.jpg?v=1438475802,lb
bursting-star-knee-high-socks,"Bursting Star Knee High Socks","<p><span>Stars are just bursting balls of gas, and this Psychedelia has the bursting effect going on for sure. Grab your eye catching Bursting Star knee high socks while you can.</span></p>",Psychedelia,Socks,"All-Over-Prints, care-instructions, Coupon, Girls, Guys, Knee-High, PreOrdered, Psychedelia, Retail, shipping-21-days, size-One-Size, Socks, theme-psychedelic",FALSE,Size,"One Size",Color,"Sandy Brown",,,PSYKH0002UOS,0,,1,deny,manual,15.00,25.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/PSYKH0002UOS_Bursting_Star_T-Shirt_Mockup.jpg?v=1438475361,,FALSE,PSYKH0002UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/PSYKH0002UOS_Bursting_Star_T-Shirt_Mockup.jpg?v=1438475361,lb
cap-n-crunch-knee-high-socks,"Cap'n Crunch Knee High Socks","<p><span>Crunch-A-Tize me Cap n! Everyone knows that Cap n Crunch was the all time favorite cereal of every child. Don t lose sight of the yummiest cereal around with this Cap n Crunch all over print T-Shirt.</span></p>","Cereal Killers",Socks,"All-Over-Prints, care-instructions, Cereal Killers, Coupon, Girls, Guys, Knee-High, PreOrdered, Retail, shipping-21-days, theme-food",FALSE,Size,"One Size",Color,Yellow,,,CKSKH0001U,0,,1,deny,manual,25.00,35.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/CKSKH0001U_Capn_Crunch_Mockup.jpg?v=1438475314,,FALSE,CKSKH0001UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CKSKH0001U_Capn_Crunch_Mockup.jpg?v=1438475314&var_sku=CKSKH0001UOS,lb
carlton-knee-high-socks,"Carlton Knee-High Socks","<p>Sport these ankle socks featuring the gentleman of Bel-air, Carlton Banks!</p>
Designer: Laura Jackman","Let's Rage",Socks,"All-Over-Prints, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, size-One-Size, Socks",FALSE,Size,"One Size",Color,"Ghost White",,,AOPKH0044UOS,0,,1,deny,manual,15.00,25.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPKH0044UOS_Carlton_Mockup.jpg?v=1438475280,,FALSE,AOPKH0044UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPKH0044UOS_Carlton_Mockup.jpg?v=1438475280,lb
cinnamon-toast-crunch-knee-high-socks,"Cinnamon Toast Crunch Knee High Socks","<p>Cinnamon sugar in every bite! Bite into your favorite cereal with this great Cinnamon Toast Crunch all over print knee-high socks!</p>","Cereal Killers",Socks,"All-Over-Print, Cereal Killers, Coupon, Girls, Guys, Knee-High, PreOrdered, Retail, shipping-21-days, Socks, theme-food",FALSE,Size,"One Size",Color,"Dark Golden Rod",,,CKSKH0003U,0,,1,deny,manual,25.00,35.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/CKSKH0003U_Cinnamon_Toast_Crunch_Mockup.jpg?v=1438475320,,FALSE,CKSKH0003UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CKSKH0003U_Cinnamon_Toast_Crunch_Mockup.jpg?v=1438475320&var_sku=CKSKH0003UOS,lb
custom-all-over-print-knee-high-socks,"Custom, All-Over-Print Knee-High Socks","<meta charset=""utf-8""><p><span>CUSTOM, ALL-OVER-PRINT KNEE-HIGH SOCKS ARE HERE!<br><br><b><a href=""https://snapshirt.com""><span color=""#D23641"" style=""color: #d23641;"">Want to create your own custom t-shirt, tank top, sweatshirt, or pretty much anything else? Click here to get in the know!</span></a></b></span></p>
<p><span>These custom shirts, as well as your favorite Rage On designs, are marked at our lowest prices ever for a LIMITED TIME ONLY exclusively through this Kickstarter! SnapShirt promises to change the way the world does all-over-print and more, so take advantage of these great savings to get the garment you&#39;ve always wanted, courtesy of the people who&#39;ve brought you RageOn!</span></p>","Let's Rage",Socks,"Custom, Girls, Guys, Let's Rage, PreOrdered, Retail, shipping-21-days, size-One-Size",FALSE,Size,"One Size",Color,Cyan,,,CUSKH0000UOS,0,shopify,1,deny,manual,15.00,25.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/ProductKneeHighSocks.jpg?v=1438478880,,FALSE,CUSKH0000UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ProductKneeHighSocks.jpg?v=1438478880&var_sku=CUSKH0000UOS,lb
dino-knee-high-socks,"Dino Knee High Socks","<p>Check out these rad Dino Knee High Socks from Let&#39;s Rage. You can wear these all the time and they won&#39;t go extinct.</p>","Let's Rage",Socks,"All-Over-Prints, care-instructions, Coupon, Girls, Guys, Knee-High, Let's Rage, PreOrdered, Retail, shipping-21-days, size-One-Size, Socks",FALSE,Size,"One Size",Color,"Slate Gray",,,AOPKH0067UOS,0,,1,deny,manual,15.00,25.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPKH0067UOS_Dino_Mockup.jpg?v=1438475323,,FALSE,AOPKH0067UOS,unisex,adult,"apparel & accessories > clothing > underwear & socks > socks",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPKH0067UOS_Dino_Mockup.jpg?v=1438475323,lb
