Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
1960s-suit-long-sleeve-shirt,"1960's Suit Long Sleeve Shirt","<p>Mad Men might be over, but you can still rock this 1960&#39;s Suit Long Sleeve Shirt! This hilarious, all-over print long-sleeve tee is sure to be a conversation piece at every costume party, festival, or even everyday wear. If you&#39;re a well-dressed man (or woman!) you need to get this long sleeve t-shirt today from RageOn!</p>","Costume Party","Long Sleeve Shirts","All-Over-Prints, care-instructions, Costume Party, Coupon, Girls, Guys, Long Sleeve Shirts, Retail, shipping-1-days, size-L, size-M, size-S, size-XXL, theme-cosplay",TRUE,Size,Small,Color,"Forest Green",,,FXRLS0000USM,0,shopify,2,deny,manual,37.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/F111659_Model.jpg?v=1438500622,,FALSE,FXRLS0000USM,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/F111659_Model.jpg?v=1438500622&var_sku=FXRLS0000USM,lb
1960s-suit-long-sleeve-shirt,,,,,,,Size,XX-Large,Color,"Forest Green",,,FXRLS0000U2X,0,shopify,2,deny,manual,37.84,64.95,TRUE,TRUE,,,,,FXRLS0000U2X,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/F111659_BK.jpg?v=1438500622&var_sku=FXRLS0000U2X,lb
1960s-suit-long-sleeve-shirt,,,,,,,Size,Large,Color,"Forest Green",,,FXRLS0000ULG,0,shopify,1,deny,manual,37.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/F111659_BK.jpg?v=1438500622,,,FXRLS0000ULG,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/F111659_BK.jpg?v=1438500622&var_sku=FXRLS0000ULG,lb
1960s-suit-long-sleeve-shirt,,,,,,,Size,Medium,Color,"Forest Green",,,FXRLS0000UMD,0,shopify,2,deny,manual,37.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/F111659_FT.jpg?v=1438500622,,,FXRLS0000UMD,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/F111659_FT.jpg?v=1438500622&var_sku=FXRLS0000UMD,lb
1960s-suit-long-sleeve-shirt,,,,,,,Size,X-Large,Color,"Forest Green",,,FXRLS0000UXL,0,shopify,2,deny,manual,37.84,64.95,TRUE,TRUE,,,,,FXRLS0000UXL,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/F111659_BK.jpg?v=1438500622&var_sku=FXRLS0000UXL,lb
big-pimpin-long-sleeve-shirt,"Big Pimpin Long Sleeve Shirt","<p>Don&#39;t smack a bitch, just get this Big Pimpin Long Sleeve Shirt! This hilarious, vibrant, all-over print long-sleeve tee is sure to make the ladies come running. This long sleeve t-shirt is perfect for costume parties, festivals, and everyday wear! Turn up your wardrobe and get yours today from RageOn!</p>","Costume Party","Long Sleeve Shirts","All-Over-Prints, care-instructions, Costume Party, Coupon, Girls, Guys, Long Sleeve Shirts, Retail, shipping-1-days, size-L, size-M, size-S, size-XXL, theme-cosplay",TRUE,Size,Small,Color,"Medium Aqua Marine",,,FXRLS0006USM,0,shopify,2,deny,manual,37.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/F118483_Model.jpg?v=1438500629,,FALSE,FXRLS0006USM,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/F118483_Model.jpg?v=1438500629&var_sku=FXRLS0006USM,lb
big-pimpin-long-sleeve-shirt,,,,,,,Size,XX-Large,Color,"Medium Aqua Marine",,,FXRLS0006U2X,0,shopify,2,deny,manual,37.84,64.95,TRUE,TRUE,,,,,FXRLS0006U2X,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/F118483_BK.jpg?v=1438500629&var_sku=FXRLS0006U2X,lb
big-pimpin-long-sleeve-shirt,,,,,,,Size,Large,Color,"Medium Aqua Marine",,,FXRLS0006ULG,0,shopify,2,deny,manual,37.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/F118483_BK.jpg?v=1438500629,,,FXRLS0006ULG,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/F118483_BK.jpg?v=1438500629&var_sku=FXRLS0006ULG,lb
big-pimpin-long-sleeve-shirt,,,,,,,Size,Medium,Color,"Medium Aqua Marine",,,FXRLS0006UMD,0,shopify,2,deny,manual,37.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/F118483_FT.jpg?v=1438500629,,,FXRLS0006UMD,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/F118483_FT.jpg?v=1438500629&var_sku=FXRLS0006UMD,lb
big-pimpin-long-sleeve-shirt,,,,,,,Size,X-Large,Color,"Medium Aqua Marine",,,FXRLS0006UXL,0,shopify,2,deny,manual,37.84,64.95,TRUE,TRUE,,,,,FXRLS0006UXL,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/F118483_BK.jpg?v=1438500629&var_sku=FXRLS0006UXL,lb
