Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
1-random-hooded-sweatshirt-for-only-25-thats-over-50-off,"1 Random Hooded Sweatshirt for Only $25 - That's Over 50% Off!","<p>This is the best deal you&#39;ll find today. Get one, randomly picked, Let&#39;s Rage screen-printed hooded sweatshirt by our lovely staff for the low price of $25! This is a very limited deal and quantities are limited as well. Get yours while supplies last!</p>
<p>Please note, due to the AWESOME discount we&#39;re giving you, we&#39;re not allowing coupons for this particular product. Sorry!</p>","Let's Rage",Hoodies,"Girls, Guys, Hoodies, Let's Rage, Ready to Ship, Retail, sale, shipping-1-days, shipping-10-days, shipping-21-days, size-M, sizing-chart-hoodies, warehouse",FALSE,Size,Medium,Color,Blue,,,LRCMP0060UMD,0,shopify,0,deny,manual,25.00,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/mysterysweat.png?v=1438478630,,FALSE,LRCMP0060UMD,unisex,adult,"apparel & accessories > clothing > outfit sets",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/mysterysweat.png?v=1438478630&var_sku=LRCMP0060UMD,lb
spring-break-mystery-shirts-pack-3-shirts-bracelet-and-sticker,"SPRING BREAK MYSTERY SHIRTS PACK: 3 shirts, bracelet, and sticker","<p>Our best deal yet!<br><br>You will receive <strong>TWO</strong> all-over-print tees, <strong>ONE</strong> screen printed tee, <strong>ONE</strong> bracelet, and <strong>ONE</strong> big sticker. a $163.07 value for ONLY $69.99!<span style=""line-height: 1.5;""><br></span></p>
<p><strong>HOW IT WORKS</strong>: All you have to do is select your size, then WE choose the shirts, bracelet, and sticker at random from our huge selection of amazing designs and then we ship them out to you! <strong>SAME BUSINESS DAY</strong>! No wait time!</p>
<p><span style=""line-height: 1.5;"">Get your Spring Break T-Shirt Mystery Pack while supplies last!</span></p>
<p>Because of the huge discount, we are unable to accept coupons with this product.</p>
<p>Please <strong><span style=""color: #000000;"" color=""000000""><a href=""http://www.rageon.com/pages/refunds-and-exchanges""><span style=""color: #000000;"">click here</span></a></span></strong> before ordering!</p>","Let's Rage",T-Shirts,"All-Over-Prints, care-instructions, Girls, Guys, Let's Rage, Retail, size-L, size-S, sizing-chart-unisex-t-shirts, T-Shirts",FALSE,Size,Small,Color,Red,,,AOPMP0000USM,0,shopify,10,deny,manual,69.99,163.07,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Mystery_T_Mockup_black2.jpg?v=1438491802,,FALSE,AOPMP0000USM,unisex,adult,"apparel & accessories > clothing > outfit sets",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Mystery_T_Mockup_black.jpg?v=1438472330&var_sku=AOPMP0000USM,lb
spring-break-mystery-shirts-pack-3-shirts-bracelet-and-sticker,,,,,,,Size,Large,Color,Red,,,AOPMP0000ULG,0,shopify,10,deny,manual,69.99,163.07,TRUE,TRUE,,,,,AOPMP0000ULG,unisex,adult,"apparel & accessories > clothing > outfit sets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Mystery_T_Mockup_black2.jpg?v=1438491802&var_sku=AOPMP0000ULG,lb
3-t-shirt-mystery-pack-all-over-print,,,,,,,Size,Medium,Color,Red,,,AOPMP0000UMD,0,shopify,10,deny,manual,69.99,163.07,TRUE,TRUE,,,,,AOPMP0000UMD,unisex,adult,"apparel & accessories > clothing > outfit sets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Mystery_T_Mockup_black2.jpg?v=1438491802&var_sku=AOPMP0000UMD,lb
spring-break-mystery-shirts-pack-3-shirts-bracelet-and-sticker,,,,,,,Size,X-Large,Color,Red,,,AOPMP0000UXL,0,shopify,10,deny,manual,69.99,163.07,TRUE,TRUE,,,,,AOPMP0000UXL,unisex,adult,"apparel & accessories > clothing > outfit sets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Mystery_T_Mockup_black2.jpg?v=1438491802&var_sku=AOPMP0000UXL,lb
back-to-school-mystery-pack,"BACK TO SCHOOL MYSTERY PACK","<p>Wow all your friends with this BACK TO SCHOOL MYSTERY PACK! Includes 1 all-over-print sweatshirt, 1 all-over-print T-Shirt, 1 neon trucker hat, 1 ""nice"" sticker pack, and a bracelet!</p>","Let's Rage","Ready to Ship","#backtoschool, #schoolswag, #swag, All-Over-Prints, care-instructions, Disclaimer, Girls, Guys, Let's Rage, Ready to Ship, Retail, shipping-1-days, size-L, size-M, size-S, size-XS, size-XXL, size-XXXL, sizing-chart-crewneck-sweatshirts, sizing-chart-unisex-t-shirts, Sweatshirts, T-Shirts",TRUE,Size,X-Small,Color,Red,,,AOPMP0422UXS,0,shopify,2,deny,manual,79.99,142.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/600x600_back_to_school.jpg?v=1439560732,,FALSE,AOPMP0422UXS,unisex,adult,"apparel & accessories > clothing > outfit sets",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/600x600_back_to_school.jpg?v=1439560732&var_sku=AOPMP0422UXS,lb
back-to-school-mystery-pack,"T-Shirt Mystery Package: 2 T-Shirts, 2 Neon Hats,1 Wristband, 1 Sticker!","<p class=""p1""><span class=""s1"">Look sick in our awesome T-Shirt Mystery Package!! You'll receive <b>TWO</b> All-Over-Print T-Shirts, <b>TWO</b> Neon Colored Hats, <b>ONE</b> wristband AND<strong> ONE</strong> sticker! For ONLY $69.99!</span></p>
<p class=""p1""><span class=""s1""><b>HOW IT WORKS</b>: You select your size and we select the designs from our massive amazing stock of great designs and ship your T-Shirt Mystery Pack out to you within 1-2 business days! That means <b>NO WAIT TIME</b>!</span></p>
<p class=""p1""><span class=""s1"">You're getting a $163.07 value for only <strong>$69.99</strong>!! Thats up to <strong>60% OFF!!</strong> Get them while supplies last! </span></p>
<p class=""p1""><span class=""s1"">Because of the extreme discount on this pack, we are unable to accept coupons for this item. </span></p>","Let's Rage","Ready to Ship","All-Over-Prints, care-instructions, Girls, Guys, Let's Rage, Ready to Ship, Retail, shipping-1-days, shipping-10-days, size-L, size-M, size-S, size-XXL, size-XXXL, sizing-chart-unisex-t-shirts, T-Shirts",,Size,Small,Color,Red,,,AOPMP0422USM,0,shopify,5,deny,manual,79.99,142.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Mystery_Tee_pack_Mockup.jpg?v=1439405961,,,AOPMP0422USM,unisex,adult,"apparel & accessories > clothing > outfit sets",,,"Ready to Ship","Ready to Ship",new,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Mystery_Tee_pack_Mockup.jpg?v=1439405961&var_sku=AOPMP0422USM,lb
back-to-school-mystery-pack,,,,,,,Size,XX-Large,Color,Red,,,AOPMP0422U2X,0,shopify,2,deny,manual,79.99,142.95,TRUE,TRUE,,,,,AOPMP0422U2X,unisex,adult,"apparel & accessories > clothing > outfit sets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/600x600_back_to_school.jpg?v=1439560732&var_sku=AOPMP0422U2X,lb
back-to-school-mystery-pack,,,,,,,Size,XXX-Large,Color,Red,,,AOPMP0422U3X,0,shopify,1,deny,manual,79.99,142.95,TRUE,TRUE,,,,,AOPMP0422U3X,unisex,adult,"apparel & accessories > clothing > outfit sets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/600x600_back_to_school.jpg?v=1439560732&var_sku=AOPMP0422U3X,lb
back-to-school-mystery-pack,,,,,,,Size,Large,Color,Red,,,AOPMP0422ULG,0,shopify,4,deny,manual,79.99,142.95,TRUE,TRUE,,,,,AOPMP0422ULG,unisex,adult,"apparel & accessories > clothing > outfit sets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/600x600_back_to_school.jpg?v=1439560732&var_sku=AOPMP0422ULG,lb
