Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
alpaca-off-dress,"Alpaca Off Dress","<meta charset=""utf-8""><span>Alpacas are like smaller versions of llamas. If you love animals then this dress is for you!</span>","Mr. GuGu",Dresses,"All-Over-Prints, care-instructions, Coupon, Dresses, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, sizing-chart-off-dress",TRUE,Size,X-Small,Color,"Light Pink",,,GUGOD0002WXS,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_off_dress.jpg?v=1438467714,,FALSE,GUGOD0002WXS,unisex,adult,"apparel & accessories > clothing > dresses",,,Dresses,Dresses,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_off_dress.jpg?v=1438467714&var_sku=GUGOD0002WXS,lb
alpaca-off-dress,,,,,,,Size,Large,Color,"Light Pink",,,GUGOD0002WLG,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGOD0002WLG,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_off_dress.jpg?v=1438467714&var_sku=GUGOD0002WLG,lb
alpaca-off-dress,,,,,,,Size,Medium,Color,"Light Pink",,,GUGOD0002WMD,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGOD0002WMD,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_off_dress.jpg?v=1438467714&var_sku=GUGOD0002WMD,lb
alpaca-off-dress,,,,,,,Size,Small,Color,"Light Pink",,,GUGOD0002WSM,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/off-alpaca.jpg?v=1438467714,,,GUGOD0002WSM,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_off_dress.jpg?v=1438467714&var_sku=GUGOD0002WSM,lb
ginger-off-dress,"Ginger Off Dress","Ginger Off Dress","Mr. GuGu",Dresses,"All-Over-Prints, care-instructions, Coupon, Dresses, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-off-dress",TRUE,Size,X-Small,Color,"Dark Violet",,,GUGOD0011WSM,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/ginger_off_dress_1.jpg?v=1438467698,,FALSE,GUGOD0011WSM,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ginger_off_dress_1.jpg?v=1438467698&var_sku=GUGOD0011WSM,lb
ginger-off-dress,,,,,,,Size,Medium,Color,"Dark Violet",,,GUGOD0011WLG,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGOD0011WLG,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ginger_off_dress_1.jpg?v=1438467698&var_sku=GUGOD0011WLG,lb
ginger-off-dress,,,,,,,Size,Small,Color,"Dark Violet",,,GUGOD0011WMD,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGOD0011WMD,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ginger_off_dress_1.jpg?v=1438467698&var_sku=GUGOD0011WMD,lb
ginger-off-dress,,,,,,,Size,Large,Color,"Dark Violet",,,GUGOD0011WXL,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGOD0011WXL,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ginger_off_dress_1.jpg?v=1438467698&var_sku=GUGOD0011WXL,lb
green-nebula-off-dress,"Green Nebula Off Dress","<meta charset=""utf-8""><span>Check out this sexy all-over-print </span><span>Green Nebula Off Dress! This fully sublimated design features a green nebula on a high quality and comfy long sleeved dress! Get yours today on RageOn! </span>","Mr. GuGu",Dresses,"All-Over-Prints, care-instructions, Coupon, Dresses, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, sizing-chart-off-dress",TRUE,Size,X-Small,Color,"Medium Turquoise",,,GUGOD0016WXS,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/green_nebula_off_dress_1.jpg?v=1438467702,,FALSE,GUGOD0016WXS,unisex,adult,"apparel & accessories > clothing > dresses",,,Dresses,Dresses,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/green_nebula_off_dress_1.jpg?v=1438467702&var_sku=GUGOD0016WXS,lb
green-nebula-off-dress,,,,,,,Size,Large,Color,"Medium Turquoise",,,GUGOD0016WLG,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGOD0016WLG,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/green_nebula_off_dress_1.jpg?v=1438467702&var_sku=GUGOD0016WLG,lb
green-nebula-off-dress,,,,,,,Size,Medium,Color,"Medium Turquoise",,,GUGOD0016WMD,0,,0,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGOD0016WMD,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/green_nebula_off_dress_1.jpg?v=1438467702&var_sku=GUGOD0016WMD,lb
green-nebula-off-dress,,,,,,,Size,Small,Color,"Medium Turquoise",,,GUGOD0016WSM,0,,-3,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGOD0016WSM,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/green_nebula_off_dress_1.jpg?v=1438467702&var_sku=GUGOD0016WSM,lb
