Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
butterflies-padded-bandeau-top,"Butterflies Padded Bandeau Top","Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)! They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements. Right now, the only shipping options are USPS 1-5 business days or International. Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts!","Mr. GuGu",Swimwear,"All-Over-Print, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-bikini-padded-bandeau, Swimwear",TRUE,Size,Small,Color,Aqua,,,GUGPB0046WSM,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG427_BUTTERFLIES_BANDEAU.jpeg?v=1438467155,,FALSE,GUGPB0046WSM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG427_BUTTERFLIES_BANDEAU.jpeg?v=1438467155&var_sku=GUGPB0046WSM,lb
butterflies-padded-bandeau-top,,,,,,,Size,Large,Color,Aqua,,,GUGPB0046WLG,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGPB0046WLG,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG427_BUTTERFLIES_BANDEAU.jpeg?v=1438467155&var_sku=GUGPB0046WLG,lb
butterflies-padded-bandeau-top,,,,,,,Size,Medium,Color,Aqua,,,GUGPB0046WMD,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGPB0046WMD,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG427_BUTTERFLIES_BANDEAU.jpeg?v=1438467155&var_sku=GUGPB0046WMD,lb
cheetah-padded-bandeau-top,"Cheetah Padded Bandeau Top","Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)! They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements. Right now, the only shipping options are USPS 1-5 business days or International. Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts!","Mr. GuGu",Swimwear,"All-Over-Print, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-bikini-padded-bandeau, Swimwear",TRUE,Size,Small,Color,Pink,,,GUGPB0042WSM,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG405_CHEETAH_BANDEAU.jpeg?v=1438467111,,FALSE,GUGPB0042WSM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG405_CHEETAH_BANDEAU.jpeg?v=1438467111&var_sku=GUGPB0042WSM,lb
cheetah-padded-bandeau-top,,,,,,,Size,Large,Color,Pink,,,GUGPB0042WLG,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGPB0042WLG,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG405_CHEETAH_BANDEAU.jpeg?v=1438467111&var_sku=GUGPB0042WLG,lb
cheetah-padded-bandeau-top,,,,,,,Size,Medium,Color,Pink,,,GUGPB0042WMD,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGPB0042WMD,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG405_CHEETAH_BANDEAU.jpeg?v=1438467111&var_sku=GUGPB0042WMD,lb
crazy-cat-padded-bandeau-top,"Crazy Cat Padded Bandeau Top","Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)! They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements. Right now, the only shipping options are USPS 1-5 business days or International. Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts!","Mr. GuGu",Swimwear,"All-Over-Print, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-bikini-padded-bandeau, Swimwear",TRUE,Size,Small,Color,"Dark Blue",,,GUGPB0038WSM,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG438_CRAZYCAT_BANDEAU.jpeg?v=1438467176,,FALSE,GUGPB0038WSM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG438_CRAZYCAT_BANDEAU.jpeg?v=1438467176&var_sku=GUGPB0038WSM,lb
crazy-cat-padded-bandeau-top,,,,,,,Size,Large,Color,"Dark Blue",,,GUGPB0038WLG,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGPB0038WLG,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG438_CRAZYCAT_BANDEAU.jpeg?v=1438467176&var_sku=GUGPB0038WLG,lb
crazy-cat-padded-bandeau-top,,,,,,,Size,Medium,Color,"Dark Blue",,,GUGPB0038WMD,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGPB0038WMD,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG438_CRAZYCAT_BANDEAU.jpeg?v=1438467176&var_sku=GUGPB0038WMD,lb
giraffe-padded-bandeau-top,"Giraffe Padded Bandeau Top","Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)! They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements. Right now, the only shipping options are USPS 1-5 business days or International. Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts!","Mr. GuGu",Swimwear,"All-Over-Print, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-bikini-padded-bandeau, Swimwear",TRUE,Size,Small,Color,"Pale Golden Rod",,,GUGPB0032WSM,249,,0,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG401_GIRAFFE_BANDEAU.jpeg?v=1438467101,,FALSE,GUGPB0032WSM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG401_GIRAFFE_BANDEAU.jpeg?v=1438467101&var_sku=GUGPB0032WSM,lb
