Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
cloud-pants,"Cloud Pants","Cloud Pants","Mr. GuGu",Sweatpants,"All-Over-Prints, care-instructions, Coupon, Guys, Mr. GuGu, Pants, PreOrdered, shipping-21-days, size-L, size-M, size-S, sizing-chart-pants, Sweatpants",TRUE,Size,Small,Color,"Light Cyan",,,GUGPT0000USM,0,,0,deny,manual,79.84,99.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/cloud_pants.jpg?v=1438467726,,FALSE,GUGPT0000USM,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/cloud_pants.jpg?v=1438467726&var_sku=GUGPT0000USM,lb
cloud-pants,,,,,,,Size,Large,Color,"Light Cyan",,,GUGPT0000ULG,0,,-1,deny,manual,79.84,99.99,TRUE,TRUE,,,,,GUGPT0000ULG,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/cloud_pants.jpg?v=1438467726&var_sku=GUGPT0000ULG,lb
cloud-pants,,,,,,,Size,Medium,Color,"Light Cyan",,,GUGPT0000UMD,0,,-1,deny,manual,79.84,99.99,TRUE,TRUE,,,,,GUGPT0000UMD,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/cloud_pants.jpg?v=1438467726&var_sku=GUGPT0000UMD,lb
cloud-pants,,,,,,,Size,X-Large,Color,"Light Cyan",,,GUGPT0000UXL,0,,1,deny,manual,79.84,99.99,TRUE,TRUE,,,,,GUGPT0000UXL,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/cloud_pants.jpg?v=1438467726&var_sku=GUGPT0000UXL,lb
colorful-nebula-pants,"Colorful Nebula Pants","Colorful Nebula Pants","Mr. GuGu",Sweatpants,"All-Over-Prints, care-instructions, Coupon, Guys, Mr. GuGu, Pants, PreOrdered, shipping-21-days, size-L, size-M, size-S, sizing-chart-pants, Sweatpants",TRUE,Size,Small,Color,"Light Cyan",,,GUGPT0001USM,0,,1,deny,manual,79.84,99.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/colorful_nebula_pants.jpg?v=1438467728,,FALSE,GUGPT0001USM,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/colorful_nebula_pants.jpg?v=1438467728&var_sku=GUGPT0001USM,lb
colorful-nebula-pants,,,,,,,Size,Large,Color,"Light Cyan",,,GUGPT0001ULG,0,,1,deny,manual,79.84,99.99,TRUE,TRUE,,,,,GUGPT0001ULG,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/colorful_nebula_pants.jpg?v=1438467728&var_sku=GUGPT0001ULG,lb
colorful-nebula-pants,,,,,,,Size,Medium,Color,"Light Cyan",,,GUGPT0001UMD,0,,1,deny,manual,79.84,99.99,TRUE,TRUE,,,,,GUGPT0001UMD,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/colorful_nebula_pants.jpg?v=1438467728&var_sku=GUGPT0001UMD,lb
colorful-nebula-pants,,,,,,,Size,X-Large,Color,"Light Cyan",,,GUGPT0001UXL,0,,1,deny,manual,79.84,99.99,TRUE,TRUE,,,,,GUGPT0001UXL,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/colorful_nebula_pants.jpg?v=1438467728&var_sku=GUGPT0001UXL,lb
gameboy-pants,"Gameboy Pants","Gameboy Pants","Mr. GuGu",Sweatpants,"All-Over-Prints, care-instructions, Coupon, Guys, Mr. GuGu, Pants, PreOrdered, shipping-21-days, size-L, size-M, size-S, sizing-chart-pants, Sweatpants",TRUE,Size,Small,Color,Pink,,,GUGPT0002USM,0,,1,deny,manual,79.84,99.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/gameboy_pants.jpg?v=1438467730,,FALSE,GUGPT0002USM,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/gameboy_pants.jpg?v=1438467730&var_sku=GUGPT0002USM,lb
gameboy-pants,,,,,,,Size,Large,Color,Pink,,,GUGPT0002ULG,0,,1,deny,manual,79.84,99.99,TRUE,TRUE,,,,,GUGPT0002ULG,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/gameboy_pants.jpg?v=1438467730&var_sku=GUGPT0002ULG,lb
gameboy-pants,,,,,,,Size,Medium,Color,Pink,,,GUGPT0002UMD,0,,1,deny,manual,79.84,99.99,TRUE,TRUE,,,,,GUGPT0002UMD,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/gameboy_pants.jpg?v=1438467730&var_sku=GUGPT0002UMD,lb
gameboy-pants,,,,,,,Size,X-Large,Color,Pink,,,GUGPT0002UXL,0,,1,deny,manual,79.84,99.99,TRUE,TRUE,,,,,GUGPT0002UXL,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/gameboy_pants.jpg?v=1438467730&var_sku=GUGPT0002UXL,lb
hologram-pants,"Hologram Pants","Hologram Pants","Mr. GuGu",Sweatpants,"All-Over-Prints, care-instructions, Coupon, Guys, Mr. GuGu, Pants, PreOrdered, shipping-21-days, size-L, size-M, size-S, sizing-chart-pants, Sweatpants",TRUE,Size,Small,Color,Azure,,,GUGPT0003USM,0,,0,deny,manual,79.84,99.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/hologram_pants.jpg?v=1438467732,,FALSE,GUGPT0003USM,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/hologram_pants.jpg?v=1438467732&var_sku=GUGPT0003USM,lb
hologram-pants,,,,,,,Size,Large,Color,Azure,,,GUGPT0003ULG,0,,-2,deny,manual,79.84,99.99,TRUE,TRUE,,,,,GUGPT0003ULG,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/hologram_pants.jpg?v=1438467732&var_sku=GUGPT0003ULG,lb
