Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
3d-transformers-shower-curtain,"3D Transformers Shower Curtain","<meta charset=""utf-8"">
<p><span>This all-over print 3D Transformers Shower Curtain design is more than meets the eye! This sexy Optimus Prime design screams new school swag! </span><span>Get it today! Only from RageOn.com!</span></p>","Let's Rage","Shower Curtains","All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, shipping-21-days, Shower Curtains, size-One-Size",TRUE,Size,"One Size",Color,Aqua,,,AOPSC0000UOSAPT,0,,0,deny,manual,64.84,100.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSC0000UAPT_3D_Transformers_Mockup.jpg?v=1438481564,,FALSE,AOPSC0000UOSAPT,unisex,adult,"home & garden > bathroom accessories > shower curtains",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSC0000UAPT_3D_Transformers_Mockup.jpg?v=1438481564&var_sku=AOPSC0000UOSAPT,lb
420-pillow-fight-shower-curtain,"420 Pillow Fight Shower Curtain","<meta charset=""utf-8"">
<p><span>We&#39;ve got weed and blondes in their underwear having a pillow fight in this 420 Pillow Fight Shower Curtain all while leaves of the greenest ganja fall from the heavens. Yeah now, we know what else you dream about, too, you sick fuck.</span></p>","High Times","Shower Curtains","All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, High Times, Retail, shipping-10-days, shipping-21-days, Shower Curtains, size-One-Size, theme-drugs",TRUE,Size,"One Size",Color,"Dark Slate Gray",,,AOPSC0001UOSAPT,0,,0,deny,manual,64.84,100.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSC0001UAPT_420_Pillow_Fight_Mockup_da6bf0d5-a035-45eb-bbe4-c64bf6347164.jpg?v=1438480607,,FALSE,AOPSC0001UOSAPT,unisex,adult,"home & garden > bathroom accessories > shower curtains",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSC0001UAPT_420_Pillow_Fight_Mockup_da6bf0d5-a035-45eb-bbe4-c64bf6347164.jpg?v=1438480607&var_sku=AOPSC0001UOSAPT,lb
activated-turtle-cap-shower-curtain,"Activated Turtle Cap Shower Curtain","<meta charset=""utf-8"">
<p><span>This positive little guy wearing a turtle cap is here to brighten up your day! Get your all-over print Activated Turtle Cap Shower Curtain design today! Only at RageOn.com! </span></p>","Positive Creations","Shower Curtains","All-Over-Prints, Apartment, Artist Made, care-instructions, Chris Dyer, Coupon, Girls, Guys, Positive Creations, Retail, shipping-10-days, Shower Curtains, size-One-Size, theme-art, theme-psychedelic",TRUE,Size,"One Size",Color,"Midnight Blue",,,CPCSC0008UOSAPT,0,,1,deny,manual,79.84,115.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCSC0008U_ActivatedTurtleCap_MockupFile.jpg?v=1438482452,,FALSE,CPCSC0008UOSAPT,unisex,adult,"home & garden > bathroom accessories > shower curtains",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CPCSC0008U_ActivatedTurtleCap_MockupFile.jpg?v=1438482452&var_sku=CPCSC0008UOSAPT,lb
admiral-ackbar-trap-shower-curtain,"Admiral Ackbar TRAP Shower Curtain","<meta charset=""utf-8"">
<p><span>Get this Admiral Ackbar TRAP Shower Curtain from Let&#39;s Rage! </span><span>Admiral Ackbar, also known as Admiral Gial Ackbar is a famous character from one of our favorite movies, Star Wars: Return of the Jedi, has had his body replaced with that of the previous dictator of North Korea, Kim-Jun-Un. With the Millenium Falcon flying in the background, hopefully being flown by Han Solo and Chewbacca, what better time to Run the Trap ! Get your Admiral Ackbar TRAP Shower Curtain design while you can, only on Rage On! </span></p>","Let's Rage","Shower Curtains","All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, Shower Curtains, size-One-Size",TRUE,Size,"One Size",Color,"Dark Cyan",,,AOPSC0005UOSAPT,0,,1,deny,manual,64.84,100.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSC0005UOS_AdmiralAckbar_MockupFile.jpg?v=1438483130,,FALSE,AOPSC0005UOSAPT,unisex,adult,"home & garden > bathroom accessories > shower curtains",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSC0005UOS_AdmiralAckbar_MockupFile.jpg?v=1438483130&var_sku=AOPSC0005UOSAPT,lb
adventure-fun-shower-curtain,"Adventure Fun Shower Curtain","<meta charset=""utf-8"">
<p><span>This </span><span>all-over print Adventure</span><span> Fun Pillow Case design is an original Adventure Time and Regular Show mash up! Get this exclusive cozy pillow case, only on RageOn.com!</span></p>","Let's Rage","Shower Curtains","All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, Shower Curtains, size-One-Size",TRUE,Size,"One Size",Color,"Light Green",,,AOPSC0006UOSAPT,0,,0,deny,manual,64.84,100.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSC0006UAPT_Adventure_Fun_Mockup_38cbe093-6319-415a-baf0-ba1fcb13a3c8.jpg?v=1438499898,,FALSE,AOPSC0006UOSAPT,unisex,adult,"home & garden > bathroom accessories > shower curtains",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSC0006UAPT_Adventure_Fun_Mockup_38cbe093-6319-415a-baf0-ba1fcb13a3c8.jpg?v=1438499898&var_sku=AOPSC0006UOSAPT,lb
adventure-time-party-god-shower-curtain,"Adventure Time Party God Shower Curtain","<meta charset=""utf-8""><p><span>This Adventure Time Party God Shower Curtain is inspired by the ""Power Animal"" episode of popular fantasy cartoon Adventure Time. The Party God is, as his name implies, the god of partying! Get this all-over print </span><span>Adventure Time Party God</span> design from Let&#39;s Rage today! Only from RageOn.com!</p>","Let's Rage","Shower Curtains","All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, Shower Curtains, size-One-Size, theme-cartoons",TRUE,Size,"One Size",Color,Chocolate,,,AOPSC0340UOSAPT,0,,1,deny,manual,64.84,100.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSC0340UOS_AdventureTimePartyGod_MockupFile.jpg?v=1438482530,,FALSE,AOPSC0340UOSAPT,unisex,adult,"home & garden > bathroom accessories > shower curtains",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSC0340UOS_AdventureTimePartyGod_MockupFile.jpg?v=1438482530&var_sku=AOPSC0340UOSAPT,lb
adventure-waves-shower-curtain,"Adventure Waves Shower Curtain","<meta charset=""utf-8""><span>Check out this all-over print Adventure Waves shower curtain! This curtain features the background from the King of the Beach cover by our favorite American rock band, Wavves! This vibrant shower curtain design is quite the the perfect combination of rock &#39;n&#39; roll meets cartoons! Get it for your shower today, only on RageOn!</span>","Let's Rage","Shower Curtains","All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, High Times, PreOrdered, Retail, shipping-10-days, Shower Curtains, size-One-Size, theme-cartoons, theme-drugs, theme-pop-culture, theme-psychedelic",TRUE,Size,"One Size",Color,Azure,,,AOPSC0007UOSAPT,0,,1,deny,manual,64.84,100.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSC0007UAPT_Adventure_Waves_Mockup.jpg?v=1438501142,,FALSE,AOPSC0007UOSAPT,unisex,adult,"home & garden > bathroom accessories > shower curtains",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSC0007UAPT_Adventure_Waves_Mockup.jpg?v=1438501142&var_sku=AOPSC0007UOSAPT,lb
american-dream-shower-curtain,"American Dream Shower Curtain","<meta charset=""utf-8""><p>Pin-up girls were all the rave in the 1950s it was when real women had the chance to show off those curves in this festive all-over print American Dream Shower Curtain design those curves are back! Get this holiday filled shower curtain design today, only from RageOn.com!!!</p>
<p>Designed by: Madison O</p>","Christmas Presents","Shower Curtains","All-Over-Prints, Apartment, Artist Made, care-instructions, Christmas Presents, Coupon, Girls, Guys, Retail, shipping-10-days, Shower Curtains, size-One-Size, theme-drugs, theme-pop-culture",TRUE,Size,"One Size",Color,"Forest Green",,,AOPSC0833UOSAPT,0,,1,deny,manual,64.84,100.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSC0833UAPT_American_Dream_Mockup_7b39ef2d-b4fe-4541-908b-af99723775ca.jpg?v=1438480613,,FALSE,AOPSC0833UOSAPT,unisex,adult,"home & garden > bathroom accessories > shower curtains",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSC0833UAPT_American_Dream_Mockup_7b39ef2d-b4fe-4541-908b-af99723775ca.jpg?v=1438480613&var_sku=AOPSC0833UOSAPT,lb
american-psycho-shower-curtain,"American Psycho Shower Curtain","<p>Be insane and scare your friends with this all-over print American Psycho Shower Curtain available only at Rageon.com!</p>","Let's Rage","Shower Curtains","All-Over-Prints, Apartment, care-instructions, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, Shower Curtains, size-One-Size",TRUE,Size,"One Size",Color,Brown,,,AOPSC0015UOSAPT,0,,-1,deny,manual,64.84,100.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSC0015UOS_AmericanPsycho_MockupFile.jpg?v=1438482559,,FALSE,AOPSC0015UOSAPT,unisex,adult,"home & garden > bathroom accessories > shower curtains",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSC0015UOS_AmericanPsycho_MockupFile.jpg?v=1438482559&var_sku=AOPSC0015UOSAPT,lb
american-psycho-shower-curtain-1,"American Psycho Technodrome1 Shower Curtain","<meta charset=""utf-8""> <p><span>Be crazy and scare your friends with this insanely colorful </span><span>pop art depiction of</span> American Psycho Shower Curtain. Get this <span>all-over print bath curtain if perfect for any college dorm or bathroom, so get yours today, </span>only available at RageOn!</p> <meta charset=""utf-8""> ",Technodrome1,"Shower Curtains","All-Over-Prints, Apartment, Artist Made, care-instructions, Coupon, Girls, Guys, Retail, shipping-10-days, Shower Curtains, size-One-Size, Technodrome1, theme-art, theme-pop-culture",TRUE,Size,"One Size",Color,"Light Cyan",,,TECSC0040UOSAPT,0,,-1,deny,manual,79.84,115.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/TECSC0040UAPT_American_Psycho_Mockup.jpg?v=1438486698,,FALSE,TECSC0040UOSAPT,unisex,adult,"home & garden > bathroom accessories > shower curtains",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/TECSC0040UAPT_American_Psycho_Mockup.jpg?v=1438486698&var_sku=TECSC0040UOSAPT,lb
