Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
alpaca-simple-dress,"Alpaca Simple Dress","<meta charset=""utf-8""><span>Alpacas are like smaller versions of llamas. If you love animals then this dress is for you!</span>","Mr. GuGu",Dresses,"All-Over-Prints, care-instructions, Coupon, Dresses, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, sizing-chart-simple-dress",TRUE,Size,X-Small,Color,Aqua,,,GUGSD0003WXS,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_simple_dress.jpg?v=1438467716,,FALSE,GUGSD0003WXS,unisex,adult,"apparel & accessories > clothing > dresses",,,Dresses,Dresses,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_simple_dress.jpg?v=1438467716&var_sku=GUGSD0003WXS,lb
alpaca-simple-dress,,,,,,,Size,Large,Color,Aqua,,,GUGSD0003WLG,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGSD0003WLG,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_simple_dress.jpg?v=1438467716&var_sku=GUGSD0003WLG,lb
alpaca-simple-dress,,,,,,,Size,Medium,Color,Aqua,,,GUGSD0003WMD,0,,0,deny,manual,54.84,64.95,TRUE,TRUE,,,,,GUGSD0003WMD,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_simple_dress.jpg?v=1438467716&var_sku=GUGSD0003WMD,lb
alpaca-simple-dress,,,,,,,Size,Small,Color,Aqua,,,GUGSD0003WSM,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/simple-alpaca.jpg?v=1438467716,,,GUGSD0003WSM,female,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/alpaca_simple_dress.jpg?v=1438467716&var_sku=GUGSD0003WSM,lb
bespin-simple-dress,"Bespin Simple Dress","<meta charset=""utf-8""><span>Space has never looked so good in this all-over print Bespin Simple Dress it is for sure one that will turn you into quite the showstopper!!</span>",Classics,Dresses,"All-Over-Prints, care-instructions, Classics, Coupon, Dresses, Girls, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, sizing-chart-simple-dress, theme-space, theme-streetwear",TRUE,Size,X-Small,Color,"Ghost White",,,AOPSD0028UXS,0,,1,deny,manual,54.84,65.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSD0028U_Bespin_Mockup.jpg?v=1438503072,,FALSE,AOPSD0028UXS,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSD0028U_Bespin_Mockup.jpg?v=1438503072&var_sku=AOPSD0028UXS,lb
bespin-simple-dress,,,,,,,Size,Large,Color,"Ghost White",,,AOPSD0028ULG,0,,1,deny,manual,54.84,65.00,TRUE,TRUE,,,,,AOPSD0028ULG,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSD0028U_Bespin_Mockup.jpg?v=1438503072&var_sku=AOPSD0028ULG,lb
bespin-simple-dress,,,,,,,Size,Medium,Color,"Ghost White",,,AOPSD0028UMD,0,,1,deny,manual,54.84,65.00,TRUE,TRUE,,,,,AOPSD0028UMD,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSD0028U_Bespin_Mockup.jpg?v=1438503072&var_sku=AOPSD0028UMD,lb
bespin-simple-dress,,,,,,,Size,Small,Color,"Ghost White",,,AOPSD0028USM,0,,1,deny,manual,54.84,65.00,TRUE,TRUE,,,,,AOPSD0028USM,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSD0028U_Bespin_Mockup.jpg?v=1438503072&var_sku=AOPSD0028USM,lb
cinema-killers-simple-dress,"Cinema Killers Simple Dress","<meta charset=""utf-8""><span>Check out this Cinema Killers Simple Dress design featuring a collage of your favorite classic horror movie killers, like Michael Myers, Leatherface, Hellraiser, Hannibal Lecter</span><span>, It the Clown and many more! Scare your friends with design today! Only from RageOn.com!</span>","Let's Rage",Dresses,"All-Over-Print, Coupon, Dresses, Girls, Let's Rage, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, sizing-chart-simple-dress, theme-pop-culture, theme-streetwear",FALSE,Size,X-Small,Color,Aqua,,,AOPSD0522UXS,0,,1,deny,manual,54.84,65.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSD0522U_Cinema_Killers_Mockup.jpg?v=1438503043,,FALSE,AOPSD0522UXS,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSD0522U_Cinema_Killers_Mockup.jpg?v=1438503043&var_sku=AOPSD0522UXS,lb
cinema-killers-simple-dress,,,,,,,Size,Large,Color,Aqua,,,AOPSD0522ULG,0,,1,deny,manual,54.84,65.00,TRUE,TRUE,,,,,AOPSD0522ULG,unisex,adult,"apparel & accessories > clothing > dresses",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSD0522U_Cinema_Killers_Mockup.jpg?v=1438503043&var_sku=AOPSD0522ULG,lb
