Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
cloud-shorts,"Cloud Shorts","Cloud Shorts","Mr. GuGu",Shorts,"All-Over-Prints, care-instructions, Coupon, Guys, Mr. GuGu, PreOrdered, shipping-21-days, Shorts, size-L, size-M, size-S, size-XS",TRUE,Size,X-Small,Color,"Slate Gray",,,GUGSH0000UXS,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/clouds_shorts.jpg?v=1438467802,,FALSE,GUGSH0000UXS,unisex,adult,"apparel & accessories > clothing > shorts",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/clouds_shorts.jpg?v=1438467802&var_sku=GUGSH0000UXS,lb
cloud-shorts,,,,,,,Size,Large,Color,"Slate Gray",,,GUGSH0000ULG,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,,GUGSH0000ULG,unisex,adult,"apparel & accessories > clothing > shorts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/clouds_shorts.jpg?v=1438467802&var_sku=GUGSH0000ULG,lb
cloud-shorts,,,,,,,Size,Medium,Color,"Slate Gray",,,GUGSH0000UMD,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,,GUGSH0000UMD,unisex,adult,"apparel & accessories > clothing > shorts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/clouds_shorts.jpg?v=1438467802&var_sku=GUGSH0000UMD,lb
cloud-shorts,,,,,,,Size,Small,Color,"Slate Gray",,,GUGSH0000USM,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,,GUGSH0000USM,unisex,adult,"apparel & accessories > clothing > shorts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/clouds_shorts.jpg?v=1438467802&var_sku=GUGSH0000USM,lb
cloud-shorts-ready-to-ship,"Cloud Shorts *Ready to Ship*","<meta charset=""utf-8""><span>Not available in your size? </span><span style=""color: #000000;""><a href=""http://www.rageon.com/products/cloud-shorts"" style=""color: #000000;""><strong><em>Click here to order now! </em></strong></a></span>","Mr. GuGu","Ready to Ship","All-Over-Prints, care-instructions, Coupon, Guys, Mr. GuGu, Ready to Ship, Retail, shipping-1-days, shipping-10-days, Shorts, size-XS",FALSE,Size,X-Small,Color,"Slate Gray",,,GUGSH0000UXSRTS,0,shopify,0,deny,manual,59.84,69.84,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/clouds_shorts_grande_ee8ff9d9-01ea-4f9b-81e4-5e0b45e295ab.jpg?v=1438488403,,FALSE,GUGSH0000UXSRTS,unisex,adult,"apparel & accessories > clothing > shorts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/clouds_shorts_grande_ee8ff9d9-01ea-4f9b-81e4-5e0b45e295ab.jpg?v=1438488403&var_sku=GUGSH0000UXSRTS,lb
cosmic-forces-board-shorts,"Cosmic Forces Board Shorts","<p>The beauty of space is finally captured and available in these cool Cosmic Forces Board Shorts from Classics! This vibrant space swimwear design was created for all you space lovers! So go and get your now, exclusively form Rage On!</p>",Classics,Swimwear,"All-Over-Prints, care-instructions, Classics, Coupon, Guys, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, Swimwear, theme-space",TRUE,Size,Small,Color,"Pale Green",,,AOPSH0056USM,0,,0,deny,manual,49.84,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/21.jpg?v=1438502208,,FALSE,AOPSH0056USM,unisex,adult,"apparel & accessories > clothing > shorts",,,Swimwear,Swimwear,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/21.jpg?v=1438502208&var_sku=AOPSH0056USM,lb
cosmic-forces-board-shorts,,,,,,,Size,Large,Color,"Pale Green",,,AOPSH0056ULG,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,,AOPSH0056ULG,unisex,adult,"apparel & accessories > clothing > shorts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/21.jpg?v=1438502208&var_sku=AOPSH0056ULG,lb
cosmic-forces-board-shorts,,,,,,,Size,Medium,Color,"Pale Green",,,AOPSH0056UMD,0,,0,deny,manual,49.84,59.95,TRUE,TRUE,,,,,AOPSH0056UMD,unisex,adult,"apparel & accessories > clothing > shorts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/21.jpg?v=1438502208&var_sku=AOPSH0056UMD,lb
cosmic-forces-board-shorts,,,,,,,Size,X-Large,Color,"Pale Green",,,AOPSH0056UXL,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,,AOPSH0056UXL,unisex,adult,"apparel & accessories > clothing > shorts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/21.jpg?v=1438502208&var_sku=AOPSH0056UXL,lb
floral-board-shorts,"Floral Board Shorts","<meta charset=""utf-8""><span>Kick back and relax with these fully sublimated, all-over print Floral Board Shorts designed by artist Trick Moranis. This vibrant design features the chillest of flowers, leaves, and ferns that will some trippy greens, blues and reds to your day. Go on, be as chill as a cucumber. Get these psychedelic shorts now, only at RageOn.</span>","Trick Moranis",Swimwear,"All-Over-Prints, Artist Made, care-instructions, Coupon, Guys, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, Swimwear, theme-streetwear, Trick Moranis",TRUE,Size,Small,Color,"Dark Violet",,,AOPSH1637USM,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSH1637U_Floral_Mockup.jpg?v=1438503319,,FALSE,AOPSH1637USM,unisex,adult,"apparel & accessories > clothing > shorts",,,Swimwear,Swimwear,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSH1637U_Floral_Mockup.jpg?v=1438503319&var_sku=AOPSH1637USM,lb
