Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
beetle-snowboarding-jacket,"Beetle Snowboard Jacket","Waterproof: Quiktech 10,000mm<br>Breathable: Yes<br>Regular fit<br>Quiktech insulation 2 (60g body, 40g sleeves and hood)<br><br>Fastening<br>Zips: Centre front zip with protective storm placket<br>Lining: Smooth printed polyester lining<br>Pockets: Two zipped hand pockets, chest pockets, sleeve pass pocket, internal media pocket,__?_?___ <br>Articulation: Ergonomically shaped elbows for unrestricted movement<br>Powder Skirt: Fixed snow gaiter at waist to completely lock out the elements","Mr. GuGu","Jackets & Ponchos","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Jackets, Jackets & Ponchos, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, theme-art",FALSE,Size,X-Small,Color,"Lime Green",,,GUGSJ0002UXS,0,,1,deny,manual,199.84,249.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Beattle_Snowboard_Jacket.jpg?v=1438468132,,FALSE,GUGSJ0002UXS,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Beetle_Snowboard_Jacket_2.jpg?v=1438468132&var_sku=GUGSJ0002UXS,lb
beetle-snowboarding-jacket,,,,,,,Size,Large,Color,"Lime Green",,,GUGSJ0002ULG,0,,1,deny,manual,199.84,249.95,TRUE,TRUE,,,,,GUGSJ0002ULG,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Beetle_Snowboard_Jacket_2.jpg?v=1438468132&var_sku=GUGSJ0002ULG,lb
beetle-snowboarding-jacket,,,,,,,Size,Medium,Color,"Lime Green",,,GUGSJ0002UMD,0,,1,deny,manual,199.84,249.95,TRUE,TRUE,,,,,GUGSJ0002UMD,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Beetle_Snowboard_Jacket_2.jpg?v=1438468132&var_sku=GUGSJ0002UMD,lb
beetle-snowboarding-jacket,,,,,,,Size,Small,Color,"Lime Green",,,GUGSJ0002USM,0,,1,deny,manual,199.84,249.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Beetle_Snowboard_Jacket_2.jpg?v=1438468132,,,GUGSJ0002USM,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Beetle_Snowboard_Jacket_2.jpg?v=1438468132&var_sku=GUGSJ0002USM,lb
beetle-snowboarding-jacket,,,,,,,Size,X-Large,Color,"Lime Green",,,GUGSJ0002UXL,0,,1,deny,manual,199.84,249.95,TRUE,TRUE,,,,,GUGSJ0002UXL,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Beetle_Snowboard_Jacket_2.jpg?v=1438468132&var_sku=GUGSJ0002UXL,lb
broccoli-snowboard-jacket,"Broccoli Snowboard Jacket","Waterproof: Quiktech 10,000mm<br>Breathable: Yes<br>Regular fit<br>Quiktech insulation 2 (60g body, 40g sleeves and hood)<br><br>Fastening<br>Zips: Centre front zip with protective storm placket<br>Lining: Smooth printed polyester lining<br>Pockets: Two zipped hand pockets, chest pockets, sleeve pass pocket, internal media pocket,__?_?___ <br>Articulation: Ergonomically shaped elbows for unrestricted movement<br>Powder Skirt: Fixed snow gaiter at waist to completely lock out the elements","Mr. GuGu","Jackets & Ponchos","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Jackets, Jackets & Ponchos, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, theme-art",FALSE,Size,X-Small,Color,Indigo,,,GUGSJ0004UXS,0,,1,deny,manual,199.84,249.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Broccolli_Snow_Board_Jacket.jpg?v=1438468137,,FALSE,GUGSJ0004UXS,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Broccolli_Snow_Board_Jacket.jpg?v=1438468137&var_sku=GUGSJ0004UXS,lb
broccoli-snowboard-jacket,,,,,,,Size,Large,Color,Indigo,,,GUGSJ0004ULG,0,,1,deny,manual,199.84,249.95,TRUE,TRUE,,,,,GUGSJ0004ULG,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Broccolli_Snow_Board_Jacket.jpg?v=1438468137&var_sku=GUGSJ0004ULG,lb
broccoli-snowboard-jacket,,,,,,,Size,Medium,Color,Indigo,,,GUGSJ0004UMD,0,,1,deny,manual,199.84,249.95,TRUE,TRUE,,,,,GUGSJ0004UMD,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Broccolli_Snow_Board_Jacket.jpg?v=1438468137&var_sku=GUGSJ0004UMD,lb
broccoli-snowboard-jacket,,,,,,,Size,Small,Color,Indigo,,,GUGSJ0004USM,0,,1,deny,manual,199.84,249.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Broccoli_Snowboard_Jacket_2.jpg?v=1438468138,,,GUGSJ0004USM,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Broccolli_Snow_Board_Jacket.jpg?v=1438468137&var_sku=GUGSJ0004USM,lb
broccoli-snowboard-jacket,,,,,,,Size,X-Large,Color,Indigo,,,GUGSJ0004UXL,0,,1,deny,manual,199.84,249.95,TRUE,TRUE,,,,,GUGSJ0004UXL,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Broccolli_Snow_Board_Jacket.jpg?v=1438468137&var_sku=GUGSJ0004UXL,lb
butterflies-snowboard-jacket,"Butterflies Snowboard Jacket","Do you have butterflies in your stomach Because they will vanish the moment you are wearing this. Completely symmetrical, just like in nature, this design is both simple and stunning, bold enough for you to dare, but soft enough to make those butterflies disappear. Fantastic. Waterproof: Quiktech 10,000mm<br>Breathable: Yes<br>Regular fit<br>Quiktech insulation 2 (60g body, 40g sleeves and hood)<br><br>Fastening:__?_?___ <br>Zips: Centre front zip with protective storm placket<br>Lining: Smooth printed polyester lining<br>Pockets: Two zipped hand pockets, chest pockets, sleeve pass pocket, internal media pocket,__?_?___ <br>Articulation: Ergonomically shaped elbows for unrestricted movement<br>Powder Skirt: Fixed snow gaiter at waist to completely lock out the elements","Mr. GuGu","Jackets & Ponchos","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Jackets, Jackets & Ponchos, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, theme-art",FALSE,Size,X-Small,Color,Aqua,,,GUGSJ0006UXS,0,,1,deny,manual,199.84,249.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Butterflies_Snowboard_Jacket.jpg?v=1438468143,,FALSE,GUGSJ0006UXS,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Butterflies_Snowboard_Jacket.jpg?v=1438468143&var_sku=GUGSJ0006UXS,lb
butterflies-snowboard-jacket,,,,,,,Size,Large,Color,Aqua,,,GUGSJ0006ULG,0,,1,deny,manual,199.84,249.95,TRUE,TRUE,,,,,GUGSJ0006ULG,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Butterflies_Snowboard_Jacket.jpg?v=1438468143&var_sku=GUGSJ0006ULG,lb
butterflies-snowboard-jacket,,,,,,,Size,Medium,Color,Aqua,,,GUGSJ0006UMD,0,,1,deny,manual,199.84,249.95,TRUE,TRUE,,,,,GUGSJ0006UMD,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Butterflies_Snowboard_Jacket.jpg?v=1438468143&var_sku=GUGSJ0006UMD,lb
