Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
bull-terrier-bandeau-skirt,"Bull Terrier Bandeau Skirt","Bull Terrier Bandeau Skirt","Mr. GuGu",Skirts,"All-Over-Prints, care-instructions, Coupon, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, Shorts & Skirts, size-L, size-M, size-S, size-XS, Skirts",TRUE,Size,X-Small,Color,"Light Gray",,,GUGSK0001UXS,0,,1,deny,manual,44.84,54.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/bull_terrier_bandeau_skirt.jpg?v=1438467751,,FALSE,GUGSK0001UXS,unisex,adult,"apparel & accessories > clothing > skirts",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/bull_terrier_bandeau_skirt.jpg?v=1438467751&var_sku=GUGSK0001UXS,lb
bull-terrier-bandeau-skirt,,,,,,,Size,Large,Color,"Light Gray",,,GUGSK0001ULG,0,,1,deny,manual,44.84,54.95,TRUE,TRUE,,,,,GUGSK0001ULG,unisex,adult,"apparel & accessories > clothing > skirts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/bull_terrier_bandeau_skirt.jpg?v=1438467751&var_sku=GUGSK0001ULG,lb
bull-terrier-bandeau-skirt,,,,,,,Size,Medium,Color,"Light Gray",,,GUGSK0001UMD,0,,1,deny,manual,44.84,54.95,TRUE,TRUE,,,,,GUGSK0001UMD,unisex,adult,"apparel & accessories > clothing > skirts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/bull_terrier_bandeau_skirt.jpg?v=1438467751&var_sku=GUGSK0001UMD,lb
bull-terrier-bandeau-skirt,,,,,,,Size,Small,Color,"Light Gray",,,GUGSK0001USM,0,,1,deny,manual,44.84,54.95,TRUE,TRUE,,,,,GUGSK0001USM,unisex,adult,"apparel & accessories > clothing > skirts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/bull_terrier_bandeau_skirt.jpg?v=1438467751&var_sku=GUGSK0001USM,lb
emu-bandeau-skirt,"Emu Bandeau Skirt","Emu Bandeau Skirt","Mr. GuGu",Skirts,"All-Over-Prints, care-instructions, Coupon, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, Shorts & Skirts, size-L, size-M, size-S, size-XS, Skirts",TRUE,Size,X-Small,Color,Peru,,,GUGSK0002WXS,0,,1,deny,manual,44.84,54.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/emu_bandeau_skirt.jpg?v=1438467753,,FALSE,GUGSK0002WXS,unisex,adult,"apparel & accessories > clothing > skirts",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/emu_bandeau_skirt.jpg?v=1438467753&var_sku=GUGSK0002WXS,lb
emu-bandeau-skirt,,,,,,,Size,Large,Color,Peru,,,GUGSK0002WLG,0,,1,deny,manual,44.84,54.95,TRUE,TRUE,,,,,GUGSK0002WLG,female,adult,"apparel & accessories > clothing > skirts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/emu_bandeau_skirt.jpg?v=1438467753&var_sku=GUGSK0002WLG,lb
emu-bandeau-skirt,,,,,,,Size,Medium,Color,Peru,,,GUGSK0002WMD,0,,1,deny,manual,44.84,54.95,TRUE,TRUE,,,,,GUGSK0002WMD,female,adult,"apparel & accessories > clothing > skirts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/emu_bandeau_skirt.jpg?v=1438467753&var_sku=GUGSK0002WMD,lb
emu-bandeau-skirt,,,,,,,Size,Small,Color,Peru,,,GUGSK0002WSM,0,,1,deny,manual,44.84,54.95,TRUE,TRUE,,,,,GUGSK0002WSM,female,adult,"apparel & accessories > clothing > skirts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/emu_bandeau_skirt.jpg?v=1438467753&var_sku=GUGSK0002WSM,lb
monkey-bandeau-skirt,"Monkey Bandeau Skirt","Monkey Bandeau Skirt","Mr. GuGu",Skirts,"All-Over-Prints, care-instructions, Coupon, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, Shorts & Skirts, size-L, size-M, size-S, size-XS, Skirts",TRUE,Size,X-Small,Color,"Dark Orange",,,GUGSK0006WXS,0,,1,deny,manual,54.95,64.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/monkey_bandeau_skirt.jpg?v=1438467759,,FALSE,GUGSK0006WXS,unisex,adult,"apparel & accessories > clothing > skirts",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/monkey_bandeau_skirt.jpg?v=1438467759&var_sku=GUGSK0006WXS,lb
monkey-bandeau-skirt,,,,,,,Size,Large,Color,"Dark Orange",,,GUGSK0006WLG,0,,1,deny,manual,54.95,64.95,TRUE,TRUE,,,,,GUGSK0006WLG,female,adult,"apparel & accessories > clothing > skirts",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/monkey_bandeau_skirt.jpg?v=1438467759&var_sku=GUGSK0006WLG,lb
