Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
butterflies-swimsuit,"Butterflies Swimsuit","Do you have butterflies in your stomach Because they will vanish the moment you??__?_?????_?????????__??_?_ e wearing this. Completely symmetrical, just like in nature, this design is both simple and stunning, bold enough for you to dare, but soft enough to make those butterflies disappear. Fantastic.??????__????_????? Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)!
They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements.
Right now, the only shipping options are USPS 1-5 business days or International.
Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts!","Mr. GuGu",Swimwear,"All-Over-Print, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, Swimwear",TRUE,Size,Small,Color,"Midnight Blue",,,GUGSM0009WSM,249,,1,deny,manual,89.95,99.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG453_BUTTERFLIES-SWIMSUIT.jpeg?v=1438467208,,FALSE,GUGSM0009WSM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG453_BUTTERFLIES-SWIMSUIT.jpeg?v=1438467208&var_sku=GUGSM0009WSM,lb
butterflies-swimsuit,,,,,,,Size,Large,Color,"Midnight Blue",,,GUGSM0009WLG,249,,1,deny,manual,89.95,99.95,TRUE,TRUE,,,,,GUGSM0009WLG,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG453_BUTTERFLIES-SWIMSUIT.jpeg?v=1438467208&var_sku=GUGSM0009WLG,lb
butterflies-swimsuit,,,,,,,Size,Medium,Color,"Midnight Blue",,,GUGSM0009WMD,249,,1,deny,manual,89.95,99.95,TRUE,TRUE,,,,,GUGSM0009WMD,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG453_BUTTERFLIES-SWIMSUIT.jpeg?v=1438467208&var_sku=GUGSM0009WMD,lb
clouds-swimsuit,"Clouds Swimsuit","For all those who want to keep their head above the clouds, this confident, almost dream-like design uses the natural wonder of the skies to create an image of smoke, dust, enigmas and fantasy. For lovers of open spaces, and unlimited dreams, why make the sky the limit?????__????_????? Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)!
They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements.
Right now, the only shipping options are USPS 1-5 business days or International.
Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts!","Mr. GuGu",Swimwear,"All-Over-Print, Electronic Dance Music, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, Swimwear",TRUE,Size,Small,Color,"Royal Blue",,,GUGSM0008WSM,249,,1,deny,manual,89.95,99.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG448_CLOUDS-SWIMSUIT.jpeg?v=1438467196,,FALSE,GUGSM0008WSM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG448_CLOUDS-SWIMSUIT.jpeg?v=1438467196&var_sku=GUGSM0008WSM,lb
clouds-swimsuit,,,,,,,Size,Large,Color,"Royal Blue",,,GUGSM0008WLG,249,,1,deny,manual,89.95,99.95,TRUE,TRUE,,,,,GUGSM0008WLG,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG448_CLOUDS-SWIMSUIT.jpeg?v=1438467196&var_sku=GUGSM0008WLG,lb
clouds-swimsuit,,,,,,,Size,Medium,Color,"Royal Blue",,,GUGSM0008WMD,249,,1,deny,manual,89.95,99.95,TRUE,TRUE,,,,,GUGSM0008WMD,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG448_CLOUDS-SWIMSUIT.jpeg?v=1438467196&var_sku=GUGSM0008WMD,lb
crazy-tiger-swimsuit,"Crazy Tiger Swimsuit","Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)!
They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements.
Right now, the only shipping options are USPS 1-5 business days or International.
Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts!","Mr. GuGu",Swimwear,"All-Over-Print, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, Swimwear",TRUE,Size,Small,Color,"Light GoldenRod Yellow",,,GUGSM0007WSM,249,,-2,deny,manual,89.95,99.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG454_CRAZY-TIGER-SWIMSUIT.jpeg?v=1438467210,,FALSE,GUGSM0007WSM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG454_CRAZY-TIGER-SWIMSUIT.jpeg?v=1438467210&var_sku=GUGSM0007WSM,lb
crazy-tiger-swimsuit,,,,,,,Size,Large,Color,"Light GoldenRod Yellow",,,GUGSM0007WLG,249,,2,deny,manual,89.95,99.95,TRUE,TRUE,,,,,GUGSM0007WLG,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG454_CRAZY-TIGER-SWIMSUIT.jpeg?v=1438467210&var_sku=GUGSM0007WLG,lb
crazy-tiger-swimsuit,,,,,,,Size,Medium,Color,"Light GoldenRod Yellow",,,GUGSM0007WMD,249,,0,deny,manual,89.95,99.95,TRUE,TRUE,,,,,GUGSM0007WMD,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG454_CRAZY-TIGER-SWIMSUIT.jpeg?v=1438467210&var_sku=GUGSM0007WMD,lb
crazy-tiger-swimsuit-ready-to-ship,"Crazy Tiger Swimsuit *Ready to Ship*","<meta charset=""utf-8""> <p><span>Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)! They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements. Right now, the only shipping options are USPS 1-5 business days or International. Attention: Instagram and Twitter lovers! </span><br><span>Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts! </span></p> <meta charset=""utf-8""> <p><span><span>Not available in your size? <span style=""color: #000000;""><a href=""http://www.rageon.com/products/crazy-tiger-swimsuit"" style=""color: #000000;""><strong><em>Click here to order now! </em></strong></a></span></span></span></p>","Mr. GuGu","Ready to Ship","All-Over-Prints, care-instructions, Coupon, Girls, Mr. GuGu, Ready to Ship, Retail, shipping-1-days, shipping-10-days, size-L, size-M, size-S, Swimwear",TRUE,Size,Small,Color,"Light GoldenRod Yellow",,,GUGSM0007WSMRTS,0,shopify,1,deny,manual,99.95,109.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG454_CRAZY-TIGER-SWIMSUIT_grande_450c2b26-a4f1-431e-a31b-fbca4b0af492.jpeg?v=1438488392,,FALSE,GUGSM0007WSMRTS,unisex,adult,"apparel & accessories > clothing > swimwear",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG454_CRAZY-TIGER-SWIMSUIT_grande_450c2b26-a4f1-431e-a31b-fbca4b0af492.jpeg?v=1438488392&var_sku=GUGSM0007WSMRTS,lb
