Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
a-prayer-for-the-earth-sweatpants,"A Prayer for the Earth Sweatpants","<meta charset=""utf-8""><span>Artist Cameron Gray portrays a being praying for the well being of earth in the A Prayer for the Earth Sweatpants. These pants feature vibrant colors and is fully sublimated. Get these beautiful pants today and remember that the earth needs a little love too. Only at RageOn.com!</span>","Cameron Gray",Sweatpants,"All-Over-Prints, Artist Made, care-instructions, Coupon, Girls, Guys, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-pants, Sweatpants, theme-art, theme-psychedelic",TRUE,Size,Small,Color,"Dark Olive Green",,,CMGSP0001USM,0,,0,deny,manual,79.84,99.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/CMGSP0001U_A_Prayer_For_The_Earth_Mockup.jpg?v=1438502695,,FALSE,CMGSP0001USM,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CMGSP0001U_A_Prayer_For_The_Earth_Mockup.jpg?v=1438502695&var_sku=CMGSP0001USM,lb
a-prayer-for-the-earth-sweatpants,,,,,,,Size,Large,Color,"Dark Olive Green",,,CMGSP0001ULG,0,,1,deny,manual,79.84,99.99,TRUE,TRUE,,,,,CMGSP0001ULG,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CMGSP0001U_A_Prayer_For_The_Earth_Mockup.jpg?v=1438502695&var_sku=CMGSP0001ULG,lb
a-prayer-for-the-earth-sweatpants,,,,,,,Size,Medium,Color,"Dark Olive Green",,,CMGSP0001UMD,0,,0,deny,manual,79.84,99.99,TRUE,TRUE,,,,,CMGSP0001UMD,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CMGSP0001U_A_Prayer_For_The_Earth_Mockup.jpg?v=1438502695&var_sku=CMGSP0001UMD,lb
a-prayer-for-the-earth-sweatpants,,,,,,,Size,X-Large,Color,"Dark Olive Green",,,CMGSP0001UXL,0,,1,deny,manual,79.84,99.99,TRUE,TRUE,,,,,CMGSP0001UXL,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CMGSP0001U_A_Prayer_For_The_Earth_Mockup.jpg?v=1438502695&var_sku=CMGSP0001UXL,lb
adventure-waves-sweatpants,"Adventure Waves Sweatpants","<meta charset=""utf-8""><span>Check out these all-over print Adventure Waves Sweatpants! These sweatpants feature the background from the King of the Beach cover by our favorite American rock band, Wavves! These vibrant pants design is quite the the perfect combination of rock &#39;n&#39; roll meets cartoons! Get it for your closet today, only on RageOn!</span>","High Times",Sweatpants,"All-Over-Prints, care-instructions, Coupon, Girls, Guys, High Times, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-pants, Sweatpants, theme-cartoons, theme-drugs",TRUE,Size,Small,Color,"Light Gray",,,AOPSP0007USM,0,,1,deny,manual,79.84,99.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSP0007U_Adventure_Waves_Mockup.jpg?v=1438497861,,FALSE,AOPSP0007USM,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSP0007U_Adventure_Waves_Mockup.jpg?v=1438497861&var_sku=AOPSP0007USM,lb
adventure-waves-sweatpants,,,,,,,Size,Large,Color,"Light Gray",,,AOPSP0007ULG,0,,1,deny,manual,79.84,99.99,TRUE,TRUE,,,,,AOPSP0007ULG,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSP0007U_Adventure_Waves_Mockup.jpg?v=1438497861&var_sku=AOPSP0007ULG,lb
adventure-waves-sweatpants,,,,,,,Size,Medium,Color,"Light Gray",,,AOPSP0007UMD,0,,1,deny,manual,79.84,99.99,TRUE,TRUE,,,,,AOPSP0007UMD,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSP0007U_Adventure_Waves_Mockup.jpg?v=1438497861&var_sku=AOPSP0007UMD,lb
adventure-waves-sweatpants,,,,,,,Size,X-Large,Color,"Light Gray",,,AOPSP0007UXL,0,,1,deny,manual,79.84,99.99,TRUE,TRUE,,,,,AOPSP0007UXL,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPSP0007U_Adventure_Waves_Mockup.jpg?v=1438497861&var_sku=AOPSP0007UXL,lb
alien-head-black-and-white-sweatpants,"Alien Head Black and White Sweatpants","<p><meta charset=""utf-8""><span>Check out these all-over print Alien Head Black and White Sweatpants design from artist Buddha Pop! These sexy sweatpants are perfect for any believer and will help you achieve intergalactic enlightenment! Get these vibrant sweatpants today, only from RageOn!</span></p>","Buddha Pop",Sweatpants,"All-Over-Prints, Artist Made, Buddha Pop, care-instructions, Coupon, Girls, Guys, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-pants, Sweatpants, theme-art, theme-streetwear",TRUE,Size,Small,Color,Black,,,BDPSP0039USM,0,,1,deny,manual,79.84,99.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPSP0039U_Alien_Head_Mockup.jpg?v=1438489855,,FALSE,BDPSP0039USM,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPSP0039U_Alien_Head_Mockup.jpg?v=1438489855&var_sku=BDPSP0039USM,lb
alien-head-black-and-white-sweatpants,,,,,,,Size,Large,Color,Black,,,BDPSP0039ULG,0,,1,deny,manual,79.84,99.99,TRUE,TRUE,,,,,BDPSP0039ULG,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPSP0039U_Alien_Head_Mockup.jpg?v=1438489855&var_sku=BDPSP0039ULG,lb
