Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
2nd-generation-nostalgia-crewneck-sweatshirt,"2nd Generation Nostalgia Crewneck Sweatshirt","<meta charset=""utf-8""><span>Update your Pokedex and catch this 2nd Generation Nostalgia Crewneck Sweatshirt by Jordan Tually! This fully sublimated, all-over print sweatshirt captures all 251 Pokemon from the first and second generation. Grab your Pokeball and catch yours today, only at RageOn!</span>","Jorden Tually",Sweatshirts,"All-Over-Prints, Artist Made, care-instructions, Coupon, Girls, Guys, Jordan Tually, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, size-XXL, size-XXXL, sizing-chart-crewneck-sweatshirts, Sweatshirts, theme-cartoons, theme-pokemon, theme-pop-culture",FALSE,Size,X-Small,Color,"Dark Olive Green",,,JRDSS0011UXS,0,,1,deny,manual,59.84,79.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/JRDSS0011U_2nd_Generation_Nostalgia_Mockup.jpg?v=1438501726,,FALSE,JRDSS0011UXS,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/JRDSS0011U_2nd_Generation_Nostalgia_Mockup.jpg?v=1438501726&var_sku=JRDSS0011UXS,lb
2nd-generation-nostalgia-crewneck-sweatshirt,,,,,,,Size,XX-Large,Color,"Dark Olive Green",,,JRDSS0011U2X,0,,1,deny,manual,64.84,84.95,TRUE,TRUE,,,,,JRDSS0011U2X,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/JRDSS0011U_2nd_Generation_Nostalgia_Mockup.jpg?v=1438501726&var_sku=JRDSS0011U2X,lb
2nd-generation-nostalgia-crewneck-sweatshirt,,,,,,,Size,XXX-Large,Color,"Dark Olive Green",,,JRDSS0011U3X,0,,1,deny,manual,68.84,88.95,TRUE,TRUE,,,,,JRDSS0011U3X,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/JRDSS0011U_2nd_Generation_Nostalgia_Mockup.jpg?v=1438501726&var_sku=JRDSS0011U3X,lb
2nd-generation-nostalgia-crewneck-sweatshirt,,,,,,,Size,Large,Color,"Dark Olive Green",,,JRDSS0011ULG,0,,1,deny,manual,59.84,79.95,TRUE,TRUE,,,,,JRDSS0011ULG,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/JRDSS0011U_2nd_Generation_Nostalgia_Mockup.jpg?v=1438501726&var_sku=JRDSS0011ULG,lb
2nd-generation-nostalgia-crewneck-sweatshirt,,,,,,,Size,Medium,Color,"Dark Olive Green",,,JRDSS0011UMD,0,,1,deny,manual,59.84,79.95,TRUE,TRUE,,,,,JRDSS0011UMD,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/JRDSS0011U_2nd_Generation_Nostalgia_Mockup.jpg?v=1438501726&var_sku=JRDSS0011UMD,lb
2nd-generation-nostalgia-crewneck-sweatshirt,,,,,,,Size,Small,Color,"Dark Olive Green",,,JRDSS0011USM,0,,1,deny,manual,59.84,79.95,TRUE,TRUE,,,,,JRDSS0011USM,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/JRDSS0011U_2nd_Generation_Nostalgia_Mockup.jpg?v=1438501726&var_sku=JRDSS0011USM,lb
2nd-generation-nostalgia-crewneck-sweatshirt,,,,,,,Size,X-Large,Color,"Dark Olive Green",,,JRDSS0011UXL,0,,1,deny,manual,59.84,79.95,TRUE,TRUE,,,,,JRDSS0011UXL,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/JRDSS0011U_2nd_Generation_Nostalgia_Mockup.jpg?v=1438501726&var_sku=JRDSS0011UXL,lb
3-amigos-crewneck-sweatshirt,"3 Amigos Crewneck Sweatshirt","<meta charset=""utf-8"">
<p><span>The 3 Amigos Crewneck Sweatshrit from our Edwin Huang brand features Wolverine, Nightcrawler, and Colossus from the X-Men comic book series! This all-over print superheroes design is only available on Rage On! Get yours now!</span></p>","Edwin Huang",Sweatshirts,"All-Over-Prints, Artist Made, care-instructions, Coupon, Edwin Huang, Girls, Guys, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, size-XXL, size-XXXL, sizing-chart-crewneck-sweatshirts, Sweatshirts, theme-anime, theme-art",TRUE,Size,X-Small,Color,Purple,,,EDHSS0001UXS,0,,1,deny,manual,59.84,79.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/EDHSS0001U_3_Amigos_Mockup.jpg?v=1438478661,,FALSE,EDHSS0001UXS,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,Sweatshirts,Sweatshirts,new,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/EDHSS0001U_3_Amigos_Mockup.jpg?v=1438478661&var_sku=EDHSS0001UXS,lb
3-amigos-crewneck-sweatshirt,,,,,,,Size,XX-Large,Color,Purple,,,EDHSS0001U2X,0,,-1,deny,manual,64.84,84.95,TRUE,TRUE,,,,,EDHSS0001U2X,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/EDHSS0001U_3_Amigos_Mockup.jpg?v=1438478661&var_sku=EDHSS0001U2X,lb
3-amigos-crewneck-sweatshirt,,,,,,,Size,XXX-Large,Color,Purple,,,EDHSS0001U3X,0,,-1,deny,manual,68.84,88.95,TRUE,TRUE,,,,,EDHSS0001U3X,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/EDHSS0001U_3_Amigos_Mockup.jpg?v=1438478661&var_sku=EDHSS0001U3X,lb
