Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
britney-sticker,"Britney Sticker","<p>Britney Sticker</p>
<p>Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for #letsrage and #letsrageclothing fohance to get reposted and discounts!</p>","Let's Rage","Fannypacks & Accessories","$20 Holla, Fannypacks & Accessories, Girls, Guys, Let's Rage, Ready to Ship, Retail, sale, shipping-1-days, shipping-10-days, size-One-Size, Stickers, warehouse",TRUE,Size,"One Size",Color,Thistle,Kind,"One Sticker",LRCST0000UOS,5,shopify,100,deny,manual,4.84,5.84,TRUE,TRUE,LRCST0000UOS,https://cdn.shopify.com/s/files/1/0228/8535/products/britney3x4WEB.jpg?v=1438467216,,FALSE,LRCST0000UOS,unisex,adult,"home & garden > decor > home decor decals",,,"Fannypacks & Accessories","Fannypacks & Accessories",new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/britney3x4WEB.jpg?v=1438467216&var_sku=LRCST0000UOS,lb
i-heart-sluts-sticker,"I Heart Sluts Sticker","<p>I Heart Sluts Sticker</p>","Let's Rage","Fannypacks & Accessories","$20 Holla, Fannypacks & Accessories, Girls, Guys, Let's Rage, Ready to Ship, Retail, sale, shipping-1-days, shipping-10-days, size-One-Size, Stickers, warehouse",TRUE,Size,"One Size",Color,"Old Lace",Kind,"One Sticker",LRCST0001UOS,249,shopify,74,deny,manual,4.84,5.84,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Iheartsslutssticker6x2WEB.jpg?v=1438467220,,FALSE,LRCST0001UOS,unisex,adult,"home & garden > decor > home decor decals",,,"Fannypacks & Accessories","Fannypacks & Accessories",new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Iheartsslutssticker6x2WEB.jpg?v=1438467220&var_sku=LRCST0001UOS,lb
just-do-me-sticker,"Just Do Me Sticker","<p>Just Do Me Sticker</p>
<p>Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for #letsrage and #letsrageclothing fohance to get reposted and discounts!</p>","Let's Rage","Fannypacks & Accessories","$20 Holla, Fannypacks & Accessories, Girls, Guys, Let's Rage, Ready to Ship, Retail, sale, shipping-1-days, shipping-10-days, size-One-Size, Stickers, warehouse",TRUE,Size,"One Size",Color,Aqua,Kind,"One Sticker",LRCST0002UOS,249,shopify,100,deny,manual,4.84,5.84,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/justdome3x4WEB.jpg?v=1438467214,,FALSE,LRCST0002UOS,unisex,adult,"home & garden > decor > home decor decals",,,"Fannypacks & Accessories","Fannypacks & Accessories",new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/justdome3x4WEB.jpg?v=1438467214&var_sku=LRCST0002UOS,lb
kitty-glitter,"Kitty Glitter","<p>Kitty Glitter</p>","Let's Rage","Fannypacks & Accessories","$20 Holla, Fannypacks & Accessories, Girls, Guys, Let's Rage, Ready to Ship, Retail, sale, shipping-1-days, shipping-10-days, size-One-Size, Stickers, theme-animals, theme-cats, warehouse",TRUE,Size,"One Size",Color,"Old Lace",Kind,"One Sticker",LRCST0003UOS,249,shopify,232,deny,manual,4.84,5.84,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/kittyglitter3x4WEB.jpg?v=1438467218,,FALSE,LRCST0003UOS,unisex,adult,"home & garden > decor > home decor decals",,,"Fannypacks & Accessories","Fannypacks & Accessories",new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/kittyglitter3x4WEB.jpg?v=1438467218&var_sku=LRCST0003UOS,lb
lets-fucking-blaze-sticker,"Let's Fucking Blaze Sticker","<p>Let&#39;s Fucking Blaze Sticker</p>","Let's Rage","Fannypacks & Accessories","$20 Holla, Fannypacks & Accessories, Girls, Guys, Let's Rage, Ready to Ship, Retail, sale, shipping-1-days, shipping-10-days, size-One-Size, Stickers, warehouse",TRUE,Size,"One Size",Color,Gold,Kind,"One Sticker",LRCST0004UOS,250,shopify,241,deny,manual,4.84,5.84,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/LetsFuckingBlaze3x4mk2WEB.jpg?v=1438467222,,FALSE,LRCST0004UOS,unisex,adult,"home & garden > decor > home decor decals",,,"Fannypacks & Accessories","Fannypacks & Accessories",new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/LetsFuckingBlaze3x4mk2WEB.jpg?v=1438467222&var_sku=LRCST0004UOS,lb
marilyn-monroe-sticker,"Marilyn Monroe Sticker","<p>Marilyn Monroe Sticker</p>","Let's Rage","Fannypacks & Accessories","$20 Holla, Fannypacks & Accessories, Girls, Guys, Let's Rage, Ready to Ship, Retail, sale, shipping-1-days, shipping-10-days, size-One-Size, Stickers, theme-pop-culture, warehouse",TRUE,Size,"One Size",Color,"Light GoldenRod Yellow",Kind,"One Sticker",LRCST0005UOS,250,shopify,166,deny,manual,4.84,5.84,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/marilyn3x4WEB.jpg?v=1438467224,,FALSE,LRCST0005UOS,unisex,adult,"home & garden > decor > home decor decals",,,"Fannypacks & Accessories","Fannypacks & Accessories",new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/marilyn3x4WEB.jpg?v=1438467224&var_sku=LRCST0005UOS,lb
naughty-pack,"Naughty Pack","<p>This sticker pack includes: Just Do Me, Sex Drugs and Dubstep for our fans that like it dirty and want thated sticker pack this is for you! Perfect for tagging your local police station, or high school.</p>","Let's Rage","Fannypacks & Accessories","$20 Holla, Fannypacks & Accessories, Girls, Guys, High Times, Let's Rage, Ready to Ship, Retail, sale, shipping-1-days, shipping-10-days, size-One-Size, Stickers, theme-drugs, warehouse",TRUE,Size,"One Size",Color,"Old Lace",Kind,"Sticker Pack",LRCST0006UOS,249,shopify,100,deny,manual,9.84,19.84,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/NaughtyPack.jpg?v=1438467229,,FALSE,LRCST0006UOS,unisex,adult,"home & garden > decor > home decor decals",,,"Fannypacks & Accessories","Fannypacks & Accessories",new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/NaughtyPack.jpg?v=1438467229&var_sku=LRCST0006UOS,lb
nice-pack,"Nice Pack","<p>The Nice Pack includes four total stickers, with an assorted amount limited to these PG designs: Kitty Glitter, Britney, Marilyn Monroe, and Rage Sleep Repeat.</p>
<p>For those of you looking for the PG rated stickers this is the perfect deal for you! Perfect add on to any order!</p>","Let's Rage","Fannypacks & Accessories","$20 Holla, Fannypacks & Accessories, Girls, Guys, Let's Rage, Ready to Ship, Retail, sale, shipping-1-days, shipping-10-days, size-One-Size, Stickers, theme-animals, theme-cats, theme-pop-culture, warehouse",TRUE,Size,"One Size",Color,"Light GoldenRod Yellow",Kind,"Sticker Pack",LRCST0007UOS,250,shopify,100,deny,manual,9.84,19.84,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/NicePack.jpg?v=1438467231,,FALSE,LRCST0007UOS,unisex,adult,"home & garden > decor > home decor decals",,,"Fannypacks & Accessories","Fannypacks & Accessories",new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/NicePack.jpg?v=1438467231&var_sku=LRCST0007UOS,lb
rage-sleep-repeat-sticker,"Rage Sleep Repeat Sticker","<p>Rage Sleep Repeat Sticker</p>","Let's Rage","Fannypacks & Accessories","Fannypacks & Accessories, Girls, Guys, Let's Rage, Ready to Ship, Retail, sale, shipping-1-days, shipping-10-days, size-One-Size, Stickers, warehouse",TRUE,Size,"One Size",Color,Black,,,LRCST0011UOS,250,shopify,45,deny,manual,4.84,5.84,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/ragesleeprepeat3x4WEB.jpg?v=1438467225,,FALSE,LRCST0011UOS,unisex,adult,"home & garden > decor > home decor decals",,,"Fannypacks & Accessories","Fannypacks & Accessories",new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ragesleeprepeat3x4WEB.jpg?v=1438467225&var_sku=LRCST0011UOS,lb
sex-drugs-dubstep-sticker,"Sex Drugs & Dubstep Sticker","<p>Sex Drugs &amp; Dubstep Sticker</p>","High Times","Fannypacks & Accessories","$20 Holla, Fannypacks & Accessories, Girls, Guys, High Times, Let's Rage, Ready to Ship, Retail, sale, shipping-1-days, shipping-10-days, size-One-Size, Stickers, theme-drugs, warehouse",TRUE,Size,"One Size",Color,Black,,,LRCST0008UOS,250,shopify,485,deny,manual,4.84,5.84,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/sexdrugsdubstep3x4WEB.jpg?v=1438467227,,FALSE,LRCST0008UOS,unisex,adult,"home & garden > decor > home decor decals",,,"Fannypacks & Accessories","Fannypacks & Accessories",new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/sexdrugsdubstep3x4WEB.jpg?v=1438467227&var_sku=LRCST0008UOS,lb
street-team-package,"Street Team Package","<p>This package includes a total of 60 stickers!</p>
<p>This is the real deal, this package is for our true fans that want to spread the word about our company and tag every street corner with these one oind stickers!</p>","Let's Rage","Fannypacks & Accessories","Fannypacks & Accessories, Girls, Guys, Let's Rage, Ready to Ship, Retail, sale, shipping-1-days, shipping-10-days, size-One-Size, Stickers, warehouse",TRUE,Size,"One Size",Color,"Old Lace",Kind,"Sticker Pack",LRCST0009UOS,250,shopify,100,deny,manual,29.84,59.84,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/60pack.jpg?v=1438467234,,FALSE,LRCST0009UOS,unisex,adult,"home & garden > decor > home decor decals",,,"Fannypacks & Accessories","Fannypacks & Accessories",new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/60pack.jpg?v=1438467234&var_sku=LRCST0009UOS,lb
variety-pack,"Variety Pack","<p>This sticker pack includes each of our stickers!</p>
<p>Can&#39;t choose from our awesome stickers? That&#39;s okay! Here is a pack that covers all the bases and shows how much fun you really are!</p>","Let's Rage","Fannypacks & Accessories","$20 Holla, Fannypacks & Accessories, Girls, Guys, Let's Rage, Ready to Ship, Retail, sale, shipping-1-days, shipping-10-days, size-One-Size, Stickers, warehouse",TRUE,Size,"One Size",Color,Gold,Kind,"Sticker Pack",LRCST0010UOS,249,shopify,999,deny,manual,19.84,29.84,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/ComboPack.jpg?v=1438467235,,FALSE,LRCST0010UOS,unisex,adult,"home & garden > decor > home decor decals",,,"Fannypacks & Accessories","Fannypacks & Accessories",new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/ComboPack.jpg?v=1438467235&var_sku=LRCST0010UOS,lb
