Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
butterflies-triangle-top,"Butterflies Triangle Top","Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)! They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements. Right now, the only shipping options are USPS 1-5 business days or International. Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts!","Mr. GuGu",Swimwear,"All-Over-Print, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-bikini-padded-bandeau, Swimwear",TRUE,Size,Small,Color,Aqua,,,GUGTR0044WSM,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG425_BUTTERFLIES_STRINGTOP.jpeg?v=1438467151,,FALSE,GUGTR0044WSM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG425_BUTTERFLIES_STRINGTOP.jpeg?v=1438467151&var_sku=GUGTR0044WSM,lb
butterflies-triangle-top,,,,,,,Size,Large,Color,Aqua,,,GUGTR0044WLG,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGTR0044WLG,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG425_BUTTERFLIES_STRINGTOP.jpeg?v=1438467151&var_sku=GUGTR0044WLG,lb
butterflies-triangle-top,,,,,,,Size,Medium,Color,Aqua,,,GUGTR0044WMD,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGTR0044WMD,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG425_BUTTERFLIES_STRINGTOP.jpeg?v=1438467151&var_sku=GUGTR0044WMD,lb
butterflies-triangle-top-ready-to-ship,"Butterflies Triangle Top *Ready to Ship*","<meta charset=""utf-8"">
<p><span>Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)! They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements. Right now, the only shipping options are USPS 1-5 business days or International. Attention: Instagram and Twitter lovers! </span><br><span>Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts! </span></p>
<meta charset=""utf-8"">
<p><span><span>Not available in your size? </span><span style=""color: #000000;""><a href=""http://www.rageon.com/products/butterflies-triangle-top"" style=""color: #000000;""><strong><em>Click here to order now! </em></strong></a></span></span></p>","Mr. GuGu","Ready to Ship","All-Over-Prints, care-instructions, Coupon, Girls, Mr. GuGu, Ready to Ship, Retail, shipping-1-days, shipping-10-days, size-L, size-M, size-S, Swimwear",TRUE,Size,Small,Color,Aqua,,,GUGTR0044WSMRTS,0,shopify,1,deny,manual,59.95,69.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG425_BUTTERFLIES_STRINGTOP_grande_22daa52a-90ef-48a4-9422-7f0e4e056ca5.jpeg?v=1438488398,,FALSE,GUGTR0044WSMRTS,unisex,adult,"apparel & accessories > clothing > swimwear",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG425_BUTTERFLIES_STRINGTOP_grande_22daa52a-90ef-48a4-9422-7f0e4e056ca5.jpeg?v=1438488398&var_sku=GUGTR0044WSMRTS,lb
butterflies-triangle-top-ready-to-ship,,,,,,,Size,Large,Color,Aqua,,,GUGTR0044WLGRTS,0,shopify,1,deny,manual,59.95,69.95,TRUE,TRUE,,,,,GUGTR0044WLGRTS,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG425_BUTTERFLIES_STRINGTOP_grande_22daa52a-90ef-48a4-9422-7f0e4e056ca5.jpeg?v=1438488398&var_sku=GUGTR0044WLGRTS,lb
butterflies-triangle-top-ready-to-ship,,,,,,,Size,Medium,Color,Aqua,,,GUGTR0044WMDRTS,0,shopify,1,deny,manual,59.95,69.95,TRUE,TRUE,,,,,GUGTR0044WMDRTS,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG425_BUTTERFLIES_STRINGTOP_grande_22daa52a-90ef-48a4-9422-7f0e4e056ca5.jpeg?v=1438488398&var_sku=GUGTR0044WMDRTS,lb
cheetah-triangle-top,"Cheetah Triangle Top","Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)! They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements. Right now, the only shipping options are USPS 1-5 business days or International. Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts!","Mr. GuGu",Swimwear,"All-Over-Print, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-bikini-padded-bandeau, Swimwear",TRUE,Size,Small,Color,"Light Gray",,,GUGTR0040WSM,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG406_CHEETAH_STRINGTOP.jpeg?v=1438467113,,FALSE,GUGTR0040WSM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG406_CHEETAH_STRINGTOP.jpeg?v=1438467113&var_sku=GUGTR0040WSM,lb
cheetah-triangle-top,,,,,,,Size,Large,Color,"Light Gray",,,GUGTR0040WLG,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGTR0040WLG,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG406_CHEETAH_STRINGTOP.jpeg?v=1438467113&var_sku=GUGTR0040WLG,lb
cheetah-triangle-top,,,,,,,Size,Medium,Color,"Light Gray",,,GUGTR0040WMD,249,,1,deny,manual,49.95,59.95,TRUE,TRUE,,,,,GUGTR0040WMD,female,adult,"apparel & accessories > clothing > swimwear",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG406_CHEETAH_STRINGTOP.jpeg?v=1438467113&var_sku=GUGTR0040WMD,lb
crazy-cat-triangle-top,"Crazy Cat Triangle Top","Mr Gugu&#39;s Swimsuits are for sale on Let&#39;s Rage! One of our favorite brands is now available in the US and available for shipping now! No more 20 to ship or waiting 2 months, get them now while they last! Super low quantities available! ALL LIMITED EDITION (literally, less than 5 each)! They run smaller than normal, so you may want to go a size up. Please check the sizing, for accurate measurements. Right now, the only shipping options are USPS 1-5 business days or International. Attention: Instagram and Twitter lovers! <br> Tag @letsrage and post hashtags for letsrage and letsrageclothing for a chance to get reposted and discounts!","Mr. GuGu",Swimwear,"All-Over-Print, Girls, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-bikini-padded-bandeau, Swimwear",TRUE,Size,Small,Color,Aqua,,,GUGTR0036WSM,249,,0,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG440_CRAZYCAT_STRINGTOP.jpeg?v=1438467181,,FALSE,GUGTR0036WSM,unisex,adult,"apparel & accessories > clothing > swimwear",,,Swimwear,Swimwear,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/GUG440_CRAZYCAT_STRINGTOP.jpeg?v=1438467181&var_sku=GUGTR0036WSM,lb
