Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
02-in-the-pink,"02 in the Pink T-Shirt","<p>Check out this 02 in the Pink T-Shirt from Let&#39;s Rage! This all-over print will send everyone you pass a subliminal message: Two in the Pink, One in the Stink! Get yours now, only on Rage On! You know the routine baby!</p>","Let's Rage",T-Shirts,"#flamingo, All-Over-Prints, care-instructions, Coupon, Disclaimer, Girls, Guys, Let's Rage, Retail, shipping-10-days, shipping-21-days, size-L, size-M, size-S, size-XS, size-XXL, size-XXXL, sizing-chart-unisex-t-shirts, T-Shirts",TRUE,Size,X-Small,Color,Blue,,,AOPTS0547UXS,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPTS0547U_02_in_the_Pink_Mockup.jpg?v=1438477078,,FALSE,AOPTS0547UXS,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,T-Shirts,T-Shirts,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPTS0547U_02_in_the_Pink_Mockup.jpg?v=1438477078&var_sku=AOPTS0547UXS,lb
02-in-the-pink,,,,,,,Size,XX-Large,Color,Blue,,,AOPTS0547U2X,0,,0,deny,manual,54.84,64.95,TRUE,TRUE,,,,,AOPTS0547U2X,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPTS0547U_02_in_the_Pink_Mockup.jpg?v=1438477078&var_sku=AOPTS0547U2X,lb
02-in-the-pink,,,,,,,Size,XXX-Large,Color,Blue,,,AOPTS0547U3X,0,,1,deny,manual,56.84,66.95,TRUE,TRUE,,,,,AOPTS0547U3X,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPTS0547U_02_in_the_Pink_Mockup.jpg?v=1438477078&var_sku=AOPTS0547U3X,lb
02-in-the-pink,,,,,,,Size,Large,Color,Blue,,,AOPTS0547ULG,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,,AOPTS0547ULG,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPTS0547U_02_in_the_Pink_Mockup.jpg?v=1438477078&var_sku=AOPTS0547ULG,lb
02-in-the-pink,,,,,,,Size,Medium,Color,Blue,,,AOPTS0547UMD,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,,AOPTS0547UMD,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPTS0547U_02_in_the_Pink_Mockup.jpg?v=1438477078&var_sku=AOPTS0547UMD,lb
02-in-the-pink,,,,,,,Size,Small,Color,Blue,,,AOPTS0547USM,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,,AOPTS0547USM,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPTS0547U_02_in_the_Pink_Mockup.jpg?v=1438477078&var_sku=AOPTS0547USM,lb
02-in-the-pink,,,,,,,Size,X-Large,Color,Blue,,,AOPTS0547UXL,0,,0,deny,manual,49.84,59.95,TRUE,TRUE,,,,,AOPTS0547UXL,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPTS0547U_02_in_the_Pink_Mockup.jpg?v=1438477078&var_sku=AOPTS0547UXL,lb
1000-done-t-shirt,"1000% Done T-Shirt","<p>Get this 1000% Done T-Shirt for the days being 100% done is not enough and you simply cannot even.</p>","Let's Rage",T-Shirts,"All-Over-Prints, care-instructions, Coupon, Disclaimer, Girls, Guys, Let's Rage, Retail, shipping-10-days, shipping-21-days, size-L, size-M, size-S, size-XS, size-XXL, size-XXXL, sizing-chart-unisex-t-shirts, T-Shirts",FALSE,Size,X-Small,Color,"Dark Gray",,,AOPTS0406UXS,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPTS0406U_1000_Done_Mockup.jpg?v=1438475930,,FALSE,AOPTS0406UXS,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPTS0406U_1000_Done_Mockup.jpg?v=1438475930&var_sku=AOPTS0406UXS,lb
1000-done-t-shirt,,,,,,,Size,XX-Large,Color,"Dark Gray",,,AOPTS0406U2X,0,,1,deny,manual,54.84,64.95,TRUE,TRUE,,,,,AOPTS0406U2X,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPTS0406U_1000_Done_Mockup.jpg?v=1438475930&var_sku=AOPTS0406U2X,lb
1000-done-t-shirt,,,,,,,Size,XXX-Large,Color,"Dark Gray",,,AOPTS0406U3X,0,,1,deny,manual,56.84,66.95,TRUE,TRUE,,,,,AOPTS0406U3X,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPTS0406U_1000_Done_Mockup.jpg?v=1438475930&var_sku=AOPTS0406U3X,lb
