Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
creepy-women-s-jacket,"Creepy Women's Jacket","Creepy Women's Jacket","Mr. GuGu","Jackets & Ponchos","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Jackets, Jackets & Ponchos, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS",TRUE,Size,X-Small,Color,"Light Slate Gray",,,GUGWJ0010WXS,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Creepy.jpg?v=1438468156,,FALSE,GUGWJ0010WXS,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Creepy.jpg?v=1438468156&var_sku=GUGWJ0010WXS,lb
creepy-women-s-jacket,,,,,,,Size,Large,Color,"Light Slate Gray",,,GUGWJ0010WLG,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0010WLG,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Creepy.jpg?v=1438468156&var_sku=GUGWJ0010WLG,lb
creepy-women-s-jacket,,,,,,,Size,Medium,Color,"Light Slate Gray",,,GUGWJ0010WMD,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0010WMD,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Creepy.jpg?v=1438468156&var_sku=GUGWJ0010WMD,lb
creepy-women-s-jacket,,,,,,,Size,Small,Color,"Light Slate Gray",,,GUGWJ0010WSM,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0010WSM,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Creepy.jpg?v=1438468156&var_sku=GUGWJ0010WSM,lb
creepy-women-s-jacket,,,,,,,Size,X-Large,Color,"Light Slate Gray",,,GUGWJ0010WXL,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0010WXL,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Creepy.jpg?v=1438468156&var_sku=GUGWJ0010WXL,lb
flamingo-women-s-jacket,"Flamingo Women's Jacket","Flamingo Women's Jacket","Mr. GuGu","Jackets & Ponchos","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Jackets & Ponchos, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS",TRUE,Size,X-Small,Color,"Lime Green",,,GUGWJ0014WXS,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Flamingo.jpg?v=1438468162,,FALSE,GUGWJ0014WXS,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Flamingo.jpg?v=1438468162&var_sku=GUGWJ0014WXS,lb
flamingo-women-s-jacket,,,,,,,Size,Large,Color,"Lime Green",,,GUGWJ0014WLG,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0014WLG,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Flamingo.jpg?v=1438468162&var_sku=GUGWJ0014WLG,lb
flamingo-women-s-jacket,,,,,,,Size,Medium,Color,"Lime Green",,,GUGWJ0014WMD,0,,-1,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0014WMD,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Flamingo.jpg?v=1438468162&var_sku=GUGWJ0014WMD,lb
flamingo-women-s-jacket,,,,,,,Size,Small,Color,"Lime Green",,,GUGWJ0014WSM,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0014WSM,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Flamingo.jpg?v=1438468162&var_sku=GUGWJ0014WSM,lb
flamingo-women-s-jacket,,,,,,,Size,X-Large,Color,"Lime Green",,,GUGWJ0014WXL,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0014WXL,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Flamingo.jpg?v=1438468162&var_sku=GUGWJ0014WXL,lb
flamingo-womens-jacket-ready-to-ship,"Flamingo Women's Jacket *Ready to Ship*","<meta charset=""utf-8""><span>Not available in your size? </span><span style=""color: #000000;""><a href=""http://www.rageon.com/products/flamingo-women-s-jacket"" style=""color: #000000;""><strong><em>Click here to order now! </em></strong></a></span>","Mr. GuGu","Ready to Ship","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Jackets, Mr. GuGu, Ready to Ship, Retail, shipping-1-days, shipping-10-days, size-M",FALSE,Size,Medium,Color,"Lime Green",,,GUGWJ0014WMDRTS,0,shopify,0,deny,manual,174.95,184.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Flamingo_1024x1024_9d9116c0-531d-4edf-9c50-3af34cabb5a7.jpg?v=1438487654,,FALSE,GUGWJ0014WMDRTS,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Flamingo_1024x1024_9d9116c0-531d-4edf-9c50-3af34cabb5a7.jpg?v=1438487654&var_sku=GUGWJ0014WMDRTS,lb
hologram-women-s-jacket,"Hologram Women's Jacket","<p>Houston, can you read us We have an exciting new design, based on space imagery and holographic patterns. In certain lights, you can find all kinds of images hidden in the many splashes of gold and silver dots covering the jet black background of landscape of this design. If you like this, check out our other hologram designs.</p>","Mr. GuGu","Jackets & Ponchos","All-Over-Prints, care-instructions, Coupon, Electronic Dance Music, Girls, Guys, Jackets, Jackets & Ponchos, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS",TRUE,Size,X-Small,Color,"Medium Sea Green",,,GUGWJ0017WXS,0,,0,deny,manual,138.84,174.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Hologram_Women_s_Jacket.jpg?v=1438468154,,FALSE,GUGWJ0017WXS,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,"Jackets & Ponchos","Jackets & Ponchos",new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Hologram_Women_s_Jacket.jpg?v=1438468154&var_sku=GUGWJ0017WXS,lb
hologram-women-s-jacket,,,,,,,Size,Large,Color,"Medium Sea Green",,,GUGWJ0017WLG,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0017WLG,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Hologram_Women_s_Jacket.jpg?v=1438468154&var_sku=GUGWJ0017WLG,lb
hologram-women-s-jacket,,,,,,,Size,Medium,Color,"Medium Sea Green",,,GUGWJ0017WMD,0,,0,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0017WMD,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Hologram_Women_s_Jacket.jpg?v=1438468154&var_sku=GUGWJ0017WMD,lb
hologram-women-s-jacket,,,,,,,Size,Small,Color,"Medium Sea Green",,,GUGWJ0017WSM,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0017WSM,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Hologram_Women_s_Jacket.jpg?v=1438468154&var_sku=GUGWJ0017WSM,lb
hologram-women-s-jacket,,,,,,,Size,X-Large,Color,"Medium Sea Green",,,GUGWJ0017WXL,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0017WXL,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Hologram_Women_s_Jacket.jpg?v=1438468154&var_sku=GUGWJ0017WXL,lb
jane-women-s-jacket,"Jane Women's Jacket","Jane Women's Jacket","Mr. GuGu","Jackets & Ponchos","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Jackets, Jackets & Ponchos, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS",TRUE,Size,X-Small,Color,"Lime Green",,,GUGWJ0020WXS,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Jane.jpg?v=1438468173,,FALSE,GUGWJ0020WXS,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Jane.jpg?v=1438468173&var_sku=GUGWJ0020WXS,lb
jane-women-s-jacket,,,,,,,Size,Large,Color,"Lime Green",,,GUGWJ0020WLG,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0020WLG,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Jane.jpg?v=1438468173&var_sku=GUGWJ0020WLG,lb
jane-women-s-jacket,,,,,,,Size,Medium,Color,"Lime Green",,,GUGWJ0020WMD,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0020WMD,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Jane.jpg?v=1438468173&var_sku=GUGWJ0020WMD,lb
jane-women-s-jacket,,,,,,,Size,Small,Color,"Lime Green",,,GUGWJ0020WSM,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0020WSM,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Jane.jpg?v=1438468173&var_sku=GUGWJ0020WSM,lb
jane-women-s-jacket,,,,,,,Size,X-Large,Color,"Lime Green",,,GUGWJ0020WXL,0,,0,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0020WXL,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Jane.jpg?v=1438468173&var_sku=GUGWJ0020WXL,lb
palm-tree-women-s-jacket,"Palm Tree Women's Jacket","Palm Tree Women's Jacket","Mr. GuGu","Jackets & Ponchos","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Jackets, Jackets & Ponchos, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS",TRUE,Size,X-Small,Color,"Medium Slate Blue",,,GUGWJ0026WXS,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Palm_Tree.jpg?v=1438468177,,FALSE,GUGWJ0026WXS,unisex,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Palm_Tree.jpg?v=1438468177&var_sku=GUGWJ0026WXS,lb
palm-tree-women-s-jacket,,,,,,,Size,Large,Color,"Medium Slate Blue",,,GUGWJ0026WLG,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0026WLG,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Palm_Tree.jpg?v=1438468177&var_sku=GUGWJ0026WLG,lb
palm-tree-women-s-jacket,,,,,,,Size,Medium,Color,"Medium Slate Blue",,,GUGWJ0026WMD,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0026WMD,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Palm_Tree.jpg?v=1438468177&var_sku=GUGWJ0026WMD,lb
palm-tree-women-s-jacket,,,,,,,Size,Small,Color,"Medium Slate Blue",,,GUGWJ0026WSM,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0026WSM,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Palm_Tree.jpg?v=1438468177&var_sku=GUGWJ0026WSM,lb
palm-tree-women-s-jacket,,,,,,,Size,X-Large,Color,"Medium Slate Blue",,,GUGWJ0026WXL,0,,1,deny,manual,138.84,174.95,TRUE,TRUE,,,,,GUGWJ0026WXL,female,adult,"apparel & accessories > clothing > outerwear > coats & jackets",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Women_s_Coat_Palm_Tree.jpg?v=1438468177&var_sku=GUGWJ0026WXL,lb
