Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
adventure-waves-yoga-mat,"Adventure Waves Yoga Mat","<meta charset=""utf-8""><span>Check out this all-over-print Adventure Waves Yoga Mat! This yoga mat features the background from the King of the Beach cover by our favorite American rock band, Wavves! This vibrant yoga mat design is quite the the perfect combination of rock &#39;n&#39; roll meets cartoons! Get it for your meditations today, only on RageOn!</span>","High Times","Yoga Mats","Adventure Time, All-Over-Prints, Apartment, Coupon, Girls, Guys, High Times, Retail, shipping-10-days, size-One-Size, theme-cartoons, theme-drugs, theme-pop-culture, theme-psychedelic, Yoga Mats",TRUE,Size,"One Size",Color,"Sandy Brown",,,AOPYM0007UOSAPT,0,,1,deny,manual,89.84,126.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYM0007UAPT_Adventure_Waves_Mockup.jpg?v=1438501165,,FALSE,AOPYM0007UOSAPT,unisex,adult,"sporting goods > exercise & fitness > yoga & pilates > yoga & pilates mats",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYM0007UAPT_Adventure_Waves_Mockup.jpg?v=1438501165&var_sku=AOPYM0007UOSAPT,lb
big-mac-yoga-mat,"Big Mac Yoga Mat","<p>Check out this vibrant Big Mac Yoga Mat inspired by the new McDonalds all-over print collection! This fully-sublimated exercise mat from our Let&#39;s Rage brand is available now, exclusively on RageOn! Get it today and make a tasteful statement at your Yoga Class or Yoga Sessions!</p>","Big Mac Shop","Yoga Mats","All-Over-Prints, Apartment, Artist Made, BMS, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-One-Size, theme-zen, Yoga Mats",TRUE,Size,"One Size",Color,"Sandy Brown",,,AOPYM1415UOSAPT,0,,0,deny,manual,89.84,126.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYM1415UAPT_Big_Mac_Mockup_copy.jpg?v=1438492320,,FALSE,AOPYM1415UOSAPT,unisex,adult,"sporting goods > exercise & fitness > yoga & pilates > yoga & pilates mats",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYM1415UAPT_Big_Mac_Mockup_copy.jpg?v=1438492320&var_sku=AOPYM1415UOSAPT,lb
buddha-mind-yoga-mat,"Buddha Mind Yoga Mat","<meta charset=""utf-8""><span>Be one with the universe and the colors around you in this snazzy Buddha Mind Yoga Mat by Buddha Pop! This all-over print yoga mat features a rainbow, graffiti-style background and a stone statue of Buddha. Get yours today, only from RageOn!</span>","Buddha Pop","Yoga Mats","All-Over-Prints, Apartment, Artist Made, Buddha Pop, Coupon, Girls, Guys, Retail, shipping-10-days, size-One-Size, theme-art, theme-zen, Yoga Mats",TRUE,Size,"One Size",Color,"Dark Cyan",,,BDPYM0002UOSAPT,0,,1,deny,manual,97.84,134.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPYM0002UAPT_Buddha_Mind_Mockup.jpg?v=1438488006,,FALSE,BDPYM0002UOSAPT,unisex,adult,"sporting goods > exercise & fitness > yoga & pilates > yoga & pilates mats",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPYM0002UAPT_Buddha_Mind_Mockup.jpg?v=1438488006&var_sku=BDPYM0002UOSAPT,lb
egypt-yoga-mat,"Egypt Yoga Mat","<meta charset=""utf-8""><span>The Egypt Yoga Mat from Let&#39;s Rage features an Egyptian scene complete with Sphinxes, a pyramid, and the mysterious night sky! This ancient all-over print design is available now, only on Rage On!</span>","Let's Rage","Yoga Mats","All-Over-Prints, Apartment, Coupon, Girls, Guys, Let's Rage, Retail, shipping-10-days, size-One-Size, theme-zen, Yoga Mats",TRUE,Size,"One Size",Color,Silver,,,AOPYM0073UOSAPT,0,,-1,deny,manual,89.84,126.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYM0073UAPT_Egypt_Mockup.jpg?v=1438487984,,FALSE,AOPYM0073UOSAPT,unisex,adult,"sporting goods > exercise & fitness > yoga & pilates > yoga & pilates mats",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYM0073UAPT_Egypt_Mockup.jpg?v=1438487984&var_sku=AOPYM0073UOSAPT,lb
galactic-buddha-yoga-mat,"Galactic Buddha Yoga Mat","<meta charset=""utf-8""><span>Buddha once said, ""You yourself, as much as anybody in the entire universe deserve your love and affection."" So why not treat yourself to this </span><span>Galactic</span><span> Buddha Yoga Mat! This yoga mat features a stone statute of Buddha himself with a trippy space and weed-themed background. Cop this yoga mat from Buddha Pop, available only at RageOn! today!</span>","Buddha Pop","Yoga Mats","All-Over-Prints, Apartment, Artist Made, Buddha Pop, Coupon, Electronic Dance Music, Girls, Guys, Retail, shipping-10-days, size-One-Size, theme-drugs, theme-zen, Yoga Mats",TRUE,Size,"One Size",Color,"Dark Olive Green",,,BDPYM0008UOSAPT,0,,0,deny,manual,97.84,134.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPYM008UAPT_Galactic_Buddha_Mockup.jpg?v=1438487989,,FALSE,BDPYM0008UOSAPT,unisex,adult,"sporting goods > exercise & fitness > yoga & pilates > yoga & pilates mats",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPYM008UAPT_Galactic_Buddha_Mockup.jpg?v=1438487989&var_sku=BDPYM0008UOSAPT,lb
om-gan-ganapataye-namaha-yoga-mat,"Om Gan Ganapataye Namaha Yoga Mat","<meta charset=""utf-8""><span>Om Gam Ganapataye Namaha is one of the mantas of Lord Ganesha. Lord Ganesha is the master of wisdom and knowledge. He is the remover of obstacles, and guardian of beauty, prosperity, grace and compassion. Get this beautiful all-over print Om Gan Ganapataye Namaha Yoga Mat design by Buddah Pop only at RageOn!!</span>","Buddha Pop","Yoga Mats","All-Over-Prints, Apartment, Artist Made, Buddha Pop, Coupon, Girls, Guys, Retail, shipping-10-days, size-One-Size, theme-zen, Yoga Mats",TRUE,Size,"One Size",Color,"Light Cyan",,,BDPYM0037UOSAPT,0,,1,deny,manual,97.84,134.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPYM0037UAPT_Om_Gan_Ganapataye_Namaha_Mockup.jpg?v=1438488002,,FALSE,BDPYM0037UOSAPT,unisex,adult,"sporting goods > exercise & fitness > yoga & pilates > yoga & pilates mats",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPYM0037UAPT_Om_Gan_Ganapataye_Namaha_Mockup.jpg?v=1438488002&var_sku=BDPYM0037UOSAPT,lb
om-namah-shivaya-yoga-mat,"Om Namah Shivaya Yoga Mat","<p>The Om Namah Shivaya Yoga Mat is named after a salutation to the Divine. <span>According to Hindu traditions, the human body is made up of five natural elements and these holy letters represent these elements. Shiv Panchakshari Mantra is said to have evolved from the five seeds of aforesaid natural elements.</span></p>
<p>Om&#39; purifies Bramhatatva and Crown Chakra</p>
<p>Na energizes the Prithvi Tatva (Earth element)</p>
<p>Ma energizes the Jal Tatva (Water factor)</p>
<p>Shi energizes Agni Tatva (Fire element)</p>
<p>Va energizes Vayu Tatva (Air factor) and</p>
<p>Ya energizes Akash Tatva (Sky element).</p>
<p><span>Plus it&#39;s Rad as Fu!</span></p>","Buddha Pop","Yoga Mats","All-Over-Prints, Apartment, Artist Made, Buddha Pop, Coupon, Girls, Guys, Retail, shipping-10-days, size-One-Size, theme-zen, Yoga Mats",TRUE,Size,"One Size",Color,"Dark Cyan",,,BDPYM0016UOSAPT,0,,-1,deny,manual,97.84,134.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPYM0016UAPT_Om_Namah_Shivaya_Mockup.jpg?v=1438487997,,FALSE,BDPYM0016UOSAPT,unisex,adult,"sporting goods > exercise & fitness > yoga & pilates > yoga & pilates mats",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPYM0016UAPT_Om_Namah_Shivaya_Mockup.jpg?v=1438487997&var_sku=BDPYM0016UOSAPT,lb
peace-love-music-yoga-mat,"Peace Love Music Yoga Mat","<p>Check out this groovy Peace Love Music Yoga Mat! This all-over-print yoga mat features some far out art by artist Howie Green! Get this vibrant mat today, only on RageOn!</p>","Howie Green","Yoga Mats","All-Over-Prints, Apartment, Artist Made, Coupon, Girls, Guys, Howie Green, Retail, shipping-10-days, size-One-Size, theme-art, theme-zen, Yoga Mats",TRUE,Size,"One Size",Color,Azure,,,HOWYM0006UOSAPT,0,,1,deny,manual,97.84,134.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/HOWYM0006U_Peace_Love_Music_Mockup_1.jpg?v=1438499584,,FALSE,HOWYM0006UOSAPT,unisex,adult,"sporting goods > exercise & fitness > yoga & pilates > yoga & pilates mats",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/HOWYM0006U_Peace_Love_Music_Mockup_1.jpg?v=1438499584&var_sku=HOWYM0006UOSAPT,lb
pikachu-peace-trip-yoga-mat,"Pikachu Peace Trip Yoga Mat","<meta charset=""utf-8""><span><span><span>Stay fly with Buddha Pop&#39;s trippy Pikachu in this Pikachu Peace Trip Yoga Mat! </span>Looks like Pikachu has been hanging around with Lucy a little too much lately! Get on that illuminati yoga mat swag and let peace open up your third eye, all while giving you the Pokemon trip of a lifetime! </span></span><span><span>Y</span><span>ou&#39;re sure to catch &#39;em all</span><span> with this adorable all-over print yoga mat.</span></span>","Buddha Pop","Yoga Mats","All-Over-Prints, Apartment, Artist Made, Buddha Pop, Coupon, Girls, Guys, Retail, shipping-10-days, size-One-Size, theme-cartoons, theme-pokemon, theme-zen, Yoga Mats",FALSE,Size,"One Size",Color,Wheat,,,BDPYM0011UOSAPT,0,,1,deny,manual,97.84,134.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPYM0011UAPT_Pikachu_Peace_Trip_Yoga_Mockup.jpg?v=1438487993,,FALSE,BDPYM0011UOSAPT,unisex,adult,"sporting goods > exercise & fitness > yoga & pilates > yoga & pilates mats",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPYM0011UAPT_Pikachu_Peace_Trip_Yoga_Mockup.jpg?v=1438487993&var_sku=BDPYM0011UOSAPT,lb
planets-aligned-yoga-mat,"Planets Aligned Yoga Mat","<meta charset=""utf-8""><span>Check out this sick Planets Aligned Yoga Mat from our Urban Outfitters inspired brand, Urban Threads. This fully-simulated mat features all of our planets in one. Escape Earth while you take an adventure around the galaxy on this yoga mat. Get yours now at RageOn only!!</span>","Urban Threads","Yoga Mats","All-Over-Prints, Apartment, Coupon, Girls, Guys, Retail, shipping-10-days, size-One-Size, theme-art, theme-zen, Urban Threads, Yoga Mats",TRUE,Size,"One Sided",Color,"Olive Drab",,,URBYM0011UOSAPT,0,,1,deny,manual,89.84,126.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/URBYM0011UAPT_Planets_Aligned_Mockup.png?v=1438500274,,FALSE,URBYM0011UOSAPT,unisex,adult,"sporting goods > exercise & fitness > yoga & pilates > yoga & pilates mats",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/URBYM0011UAPT_Planets_Aligned_Mockup.png?v=1438500274&var_sku=URBYM0011UOSAPT,lb
