Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
bespin-yoga-pants,"Bespin Capri Yoga Pants","These all over print Bespin Capri Yoga Pants are out of this world! Get yours today, only at Rage On!",Classics,"Yoga Pants","All-Over-Prints, care-instructions, Classics, Coupon, Girls, Guys, Retail, shipping-26-days, size-L, size-M, size-S, size-XS, theme-space, Yoga Pants",TRUE,Size,X-Small,Color,"Medium Violet Red",,,AOPYP0028UXS,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYP0028U_Bespin_Mockup.jpg?v=1440706462,,FALSE,AOPYP0028UXS,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYP0028U_Bespin_Mockup.jpg?v=1440706462&var_sku=AOPYP0028UXS,lb
bespin-yoga-pants,,,,,,,Size,Large,Color,"Medium Violet Red",,,AOPYP0028ULG,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,AOPYP0028ULG,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYP0028U_Bespin_Mockup.jpg?v=1440706462&var_sku=AOPYP0028ULG,lb
bespin-yoga-pants,,,,,,,Size,Medium,Color,"Medium Violet Red",,,AOPYP0028UMD,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,AOPYP0028UMD,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYP0028U_Bespin_Mockup.jpg?v=1440706462&var_sku=AOPYP0028UMD,lb
bespin-yoga-pants,,,,,,,Size,Small,Color,"Medium Violet Red",,,AOPYP0028USM,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,AOPYP0028USM,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYP0028U_Bespin_Mockup.jpg?v=1440706462&var_sku=AOPYP0028USM,lb
bespin-yoga-pants,,,,,,,Size,X-Large,Color,"Medium Violet Red",,,AOPYP0028UXL,0,,1,deny,manual,64.84,79.95,TRUE,TRUE,,,,,AOPYP0028UXL,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYP0028U_Bespin_Mockup.jpg?v=1440706462&var_sku=AOPYP0028UXL,lb
carousel-capri-yoga-pants,"Carousel Capri Yoga Pants","<meta charset=""utf-8""><meta charset=""utf-8"">
<p>Check out these vibrant all-over print Carousel Capri Yoga Pants from Psychedelia! These awesome pants feature a trippy design to stand out from the crowd whether you&#39;re in yoga class or on the street. Get yours now, only from RageOn!</p>
<p>Designed by: Derek Brennan</p>",Psychedelia,"Yoga Pants","All-Over-Prints, care-instructions, Coupon, Girls, Guys, Psychedelia, Retail, shipping-26-days, size-L, size-M, size-S, size-XS, theme-art, theme-psychedelic, theme-streetwear, Yoga Pants",TRUE,Size,X-Small,Color,"Medium Violet Red",,,PSYYP0026UXS,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/PSYYP0026U_Carousel_Mockup.jpg?v=1440708899,,FALSE,PSYYP0026UXS,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/PSYYP0026U_Carousel_Mockup.jpg?v=1440708899&var_sku=PSYYP0026UXS,lb
carousel-capri-yoga-pants,,,,,,,Size,Large,Color,"Medium Violet Red",,,PSYYP0026ULG,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,PSYYP0026ULG,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/PSYYP0026U_Carousel_Mockup.jpg?v=1440708899&var_sku=PSYYP0026ULG,lb
carousel-capri-yoga-pants,,,,,,,Size,Medium,Color,"Medium Violet Red",,,PSYYP0026UMD,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,PSYYP0026UMD,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/PSYYP0026U_Carousel_Mockup.jpg?v=1440708899&var_sku=PSYYP0026UMD,lb
carousel-capri-yoga-pants,,,,,,,Size,Small,Color,"Medium Violet Red",,,PSYYP0026USM,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,PSYYP0026USM,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/PSYYP0026U_Carousel_Mockup.jpg?v=1440708899&var_sku=PSYYP0026USM,lb
carousel-capri-yoga-pants,,,,,,,Size,X-Large,Color,"Medium Violet Red",,,PSYYP0026UXL,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,PSYYP0026UXL,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/PSYYP0026U_Carousel_Mockup.jpg?v=1440708899&var_sku=PSYYP0026UXL,lb
cosmic-forces-capri-yoga-pants,"Cosmic Forces Capri Yoga Pants","These Cosmic Forces Capri Yoga Pants are out of this world! Get yours today only at Rage On!",Classics,"Yoga Pants","All-Over-Prints, care-instructions, Classics, Coupon, Girls, Guys, Retail, shipping-26-days, size-L, size-M, size-S, size-XS, theme-space, Yoga Pants",TRUE,Size,X-Small,Color,"Medium Violet Red",,,AOPYP0056UXS,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYP0056U_Cosmic_Forces_Mockup.jpg?v=1440706764,,FALSE,AOPYP0056UXS,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYP0056U_Cosmic_Forces_Mockup.jpg?v=1440706764&var_sku=AOPYP0056UXS,lb
cosmic-forces-capri-yoga-pants,,,,,,,Size,Large,Color,"Medium Violet Red",,,AOPYP0056ULG,0,,0,deny,manual,69.84,79.95,TRUE,TRUE,,,,,AOPYP0056ULG,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYP0056U_Cosmic_Forces_Mockup.jpg?v=1440706764&var_sku=AOPYP0056ULG,lb
cosmic-forces-capri-yoga-pants,,,,,,,Size,Medium,Color,"Medium Violet Red",,,AOPYP0056UMD,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,AOPYP0056UMD,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYP0056U_Cosmic_Forces_Mockup.jpg?v=1440706764&var_sku=AOPYP0056UMD,lb
cosmic-forces-capri-yoga-pants,,,,,,,Size,Small,Color,"Medium Violet Red",,,AOPYP0056USM,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,AOPYP0056USM,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYP0056U_Cosmic_Forces_Mockup.jpg?v=1440706764&var_sku=AOPYP0056USM,lb
cosmic-forces-capri-yoga-pants,,,,,,,Size,X-Large,Color,"Medium Violet Red",,,AOPYP0056UXL,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,AOPYP0056UXL,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYP0056U_Cosmic_Forces_Mockup.jpg?v=1440706764&var_sku=AOPYP0056UXL,lb
pizza-capri-yoga-pants,"Pizza Capri Yoga Pants","Whether you&#39;re doing yoga or just chilling, you&#39;ll definitely look delicious in these all-over-print Pizza Capri Yoga Pants! Get yours today, only at Rage On!",Classics,"Yoga Pants","All-Over-Prints, care-instructions, Classics, Coupon, Girls, Guys, Retail, shipping-26-days, size-L, size-M, size-S, size-XS, theme-food, Yoga Pants",TRUE,Size,X-Small,Color,Peru,,,AOPYP0175UXS,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYP0175U_Pizza_Mockup.jpg?v=1440706956,,FALSE,AOPYP0175UXS,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYP0175U_Pizza_Mockup.jpg?v=1440706956&var_sku=AOPYP0175UXS,lb
pizza-capri-yoga-pants,,,,,,,Size,Large,Color,Peru,,,AOPYP0175ULG,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,AOPYP0175ULG,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYP0175U_Pizza_Mockup.jpg?v=1440706956&var_sku=AOPYP0175ULG,lb
pizza-capri-yoga-pants,,,,,,,Size,Medium,Color,Peru,,,AOPYP0175UMD,0,,0,deny,manual,69.84,79.95,TRUE,TRUE,,,,,AOPYP0175UMD,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYP0175U_Pizza_Mockup.jpg?v=1440706956&var_sku=AOPYP0175UMD,lb
pizza-capri-yoga-pants,,,,,,,Size,Small,Color,Peru,,,AOPYP0175USM,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,AOPYP0175USM,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYP0175U_Pizza_Mockup.jpg?v=1440706956&var_sku=AOPYP0175USM,lb
pizza-capri-yoga-pants,,,,,,,Size,X-Large,Color,Peru,,,AOPYP0175UXL,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,AOPYP0175UXL,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPYP0175U_Pizza_Mockup.jpg?v=1440706956&var_sku=AOPYP0175UXL,lb
psychecapri-yoga-pants,"Psyche Capri Yoga Pants","<meta charset=""utf-8""><meta charset=""utf-8""><span>This psychedelic design by Louis Dyer will leave you mesmerized. These vibrant Psyche Capri Yoga Pants might have you seeing things if you look long enough. Grab them today only at RageOn.com!</span>","Louis Dyer","Yoga Pants","All-Over-Prints, Artist Made, care-instructions, Coupon, Girls, Guys, Louis Dyer, Retail, shipping-26-days, size-L, size-M, size-S, size-XS, theme-art, theme-psychedelic, theme-streetwear, Yoga Pants",TRUE,Size,X-Small,Color,"Light Sea Green",,,LOUYP0002UXS,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/LOUYP0002U_Psyche_Mockup.jpg?v=1440708817,,FALSE,LOUYP0002UXS,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/LOUYP0002U_Psyche_Mockup.jpg?v=1440708817&var_sku=LOUYP0002UXS,lb
psychecapri-yoga-pants,,,,,,,Size,Large,Color,"Light Sea Green",,,LOUYP0002ULG,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,LOUYP0002ULG,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/LOUYP0002U_Psyche_Mockup.jpg?v=1440708817&var_sku=LOUYP0002ULG,lb
psychecapri-yoga-pants,,,,,,,Size,Medium,Color,"Light Sea Green",,,LOUYP0002UMD,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,LOUYP0002UMD,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/LOUYP0002U_Psyche_Mockup.jpg?v=1440708817&var_sku=LOUYP0002UMD,lb
psychecapri-yoga-pants,,,,,,,Size,Small,Color,"Light Sea Green",,,LOUYP0002USM,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,LOUYP0002USM,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/LOUYP0002U_Psyche_Mockup.jpg?v=1440708817&var_sku=LOUYP0002USM,lb
psychecapri-yoga-pants,,,,,,,Size,X-Large,Color,"Light Sea Green",,,LOUYP0002UXL,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,LOUYP0002UXL,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/LOUYP0002U_Psyche_Mockup.jpg?v=1440708817&var_sku=LOUYP0002UXL,lb
splatter-space-capri-yoga-pants,"Splatter Space Capri Yoga Pants","<meta charset=""utf-8""><meta charset=""utf-8""><span>Check out these all-over print Splatter Space Capri Yoga Pants by artist Buddha Pop! These sexy leggings feature an explosion of colors that will have you reaching your inner balance! </span><span>Get these vibrant yoga pants today, only on RageOn!</span>","Buddha Pop","Yoga Pants","All-Over-Prints, Artist Made, Buddha Pop, care-instructions, Coupon, Girls, Guys, Retail, shipping-26-days, size-L, size-M, size-S, size-XS, theme-art, theme-streetwear, theme-zen, Yoga Pants",TRUE,Size,X-Small,Color,Cyan,,,BDPYP0043UXS,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPYP0043U_Splatter_Space_Mockup.jpg?v=1440708152,,FALSE,BDPYP0043UXS,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPYP0043U_Splatter_Space_Mockup.jpg?v=1440708152&var_sku=BDPYP0043UXS,lb
splatter-space-capri-yoga-pants,,,,,,,Size,Large,Color,Cyan,,,BDPYP0043ULG,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,BDPYP0043ULG,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPYP0043U_Splatter_Space_Mockup.jpg?v=1440708152&var_sku=BDPYP0043ULG,lb
splatter-space-capri-yoga-pants,,,,,,,Size,Medium,Color,Cyan,,,BDPYP0043UMD,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,BDPYP0043UMD,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPYP0043U_Splatter_Space_Mockup.jpg?v=1440708152&var_sku=BDPYP0043UMD,lb
splatter-space-capri-yoga-pants,,,,,,,Size,X-Large,Color,Cyan,,,BDPYP0043UXL,0,,1,deny,manual,69.84,79.95,TRUE,TRUE,,,,,BDPYP0043UXL,unisex,adult,,,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BDPYP0043U_Splatter_Space_Mockup.jpg?v=1440708152&var_sku=BDPYP0043UXL,lb
