Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
arbok-snapback,"Arbok Snapback","<meta charset=""utf-8""><span>Check out th</span><span>ese SICK Pokemon Snapbacks now available at RageOn!! This snapback features Arbok who is a serpentine Pokemon and is also apart of Team Rocket! Get your favorite Pokemon on a snapback to complete your Pokemon attire!!</span>","Let's Rage",Beanies/Hats,"Beanies & Hats, Coupon, Girls, Guys, Let's Rage, Ready to Ship, Retail, shipping-1-days, snapback, snapbacks, theme-pokemon",0,Size,OS,,"Dark Sea Green, Yellow Green, Dark Salmon",,,PKSSB0001UOS,0,shopify,0,deny,manual,38,48,0,0,,https://cdn.shopify.com/s/files/1/0228/8535/products/Arbok.jpg?v=1438491822,,0,,,,,,,,,,0,,,,,,,lb
arcanine,"Arcanine Snapback","<meta charset=""utf-8""><span>Check out th</span><span>ese SICK Pokemon Snapbacks now available at RageOn!! This snapback features Arcanine who is a fire-type Pokemon and evolves into Growlithe when exposed to a Fire Stone! Get your favorite Pokemon on a snapback to complete your Pokemon attire!!</span>","Let's Rage",Beanies/Hats,"Beanies & Hats, Coupon, Girls, Guys, Let's Rage, Ready to Ship, Retail, shipping-1-days, snapback, snapbacks, theme-pokemon",0,Size,OS,Color,"Gray, Burly Wood, Light GoldenRod Yellow",,,PKSSB0004UOS,0,shopify,0,deny,manual,45,55,0,0,,https://cdn.shopify.com/s/files/1/0228/8535/products/Arcanine.jpg?v=1438491833,,0,,,,,,,,,,0,,,,,,,lb
eevee-snapback,"Eevee Snapback","<meta charset=""utf-8""><span>Check out th</span><span><span>ese SICK Pokemon Snapbacks now available at RageOn!! This snapback features Eevee who is a normal-type Pokemon but it can evolve into one of eightåÊdifferentåÊPokemon!!åÊ</span></span><span>Get your favorite Pokemon on a snapback to complete your Pokemon attire!!</span>","Let's Rage",Beanies/Hats,"Beanies & Hats, Coupon, Girls, Guys, Let's Rage, Ready to Ship, Retail, shipping-1-days, snapback, snapbacks, theme-pokemon",0,Size,OS,Color,"Gray, Cyan, Silver",,,PKSSB0008UOS,0,shopify,0,deny,manual,38,48,0,0,,https://cdn.shopify.com/s/files/1/0228/8535/products/Eevee.jpg?v=1438491848,,0,,,,,,,,,,0,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Eevee.jpg?v=1438491848,lb
geodude-snapback,"Geodude Snapback","<meta charset=""utf-8""><span>Check out th</span><span><span>ese SICK Pokemon Snapbacks now available at RageOn!! This snapback features Geodude who is a dual-type Rock/Ground Pokemon and evolves into Golem when traded.åÊ</span></span><span>Get your favorite Pokemon on a snapback to complete your Pokemon attire!!</span>","Let's Rage",Beanies/Hats,"Beanies & Hats, Coupon, Girls, Guys, Let's Rage, Ready to Ship, Retail, shipping-1-days, snapback, snapbacks, theme-pokemon",0,Size,OS,Color,"Thistle, Blue, Olive Drab",,,PKSSB0007UOS,0,shopify,0,deny,manual,30,40,0,0,,https://cdn.shopify.com/s/files/1/0228/8535/products/Geodude.jpg?v=1438491843,,0,,,,,,,,,,0,,,,,,,lb
pidgeot-snapback,"Pidgeot Snapback","Check out th<meta http-equiv=""Content-Type"" content=""text/html;charset=UTF-8"">ese SICK Pokemon Snapbacks now available at RageOn!! This snapback features Pidgeot who is a flying Pokemon and is introduced in Generation 1. Get your favorite Pokemon on a snapback to complete your Pokemon attire!!","Let's Rage",Beanies/Hats,"Beanies & Hats, Coupon, Girls, Guys, Let's Rage, Ready to Ship, Retail, shipping-1-days, snapback, snapbacks, theme-pokemon",0,Size,OS,Color,"Dark Gray, Lawn Green, Cornflower Blue",,,PKSSB0000UOS,0,shopify,0,deny,manual,45,55,0,0,,https://cdn.shopify.com/s/files/1/0228/8535/products/Pidgeot.jpg?v=1438491818,,0,,,,,,,,,,0,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Pidgeot.jpg?v=1438491818,lb
pikachu-snapback,"Pikachu Snapback","<meta charset=""utf-8""><span>Check out th</span><span>ese SICK Pokemon Snapbacks now available at RageOn!! This snapback features the one and only Pikachu who is also a electric Pokemon and Ash's best friend! Get your favorite Pokemon on a snapback to complete your Pokemon attire!!</span>","Let's Rage",Beanies/Hats,"Beanies & Hats, Coupon, Girls, Guys, Let's Rage, Ready to Ship, Retail, shipping-1-days, snapback, snapbacks, theme-pokemon",0,Size,OS,Color,"Medium Violet Red, Medium Violet Red, Blue",,,PKSSB0003UOS,0,shopify,0,deny,manual,30,40,0,0,,https://cdn.shopify.com/s/files/1/0228/8535/products/Pikachu.jpg?v=1438491829,,0,,,,,,,,,,0,,,,,,,lb
poliwhirl-snapback,"Poliwhirl Snapback","<meta charset=""utf-8""><span>Check out th</span><span><span>ese SICK Pokemon Snapbacks now available at RageOn!! This snapback features Poliwhirl</span></span><meta charset=""utf-8""><span><span>who is a water-type Pokemon and prefers to stay in freshwater ponds and lakes.</span>åÊGet your favorite Pokemon on a snapback to complete your Pokemon attire!!</span>","Let's Rage",Beanies/Hats,"Beanies & Hats, Coupon, Girls, Guys, Let's Rage, Ready to Ship, Retail, shipping-1-days, snapback, snapbacks, theme-pokemon",0,Size,OS,Color,"Royal Blue, Lime Green, Cyan",,,PKSSB0005UOS,0,shopify,0,deny,manual,38,48,0,0,,https://cdn.shopify.com/s/files/1/0228/8535/products/Poliwhirl.jpg?v=1438491836,,0,,,,,,,,,,0,,,,,,,lb
snorlax-snapback,"Snorlax Snapback","<meta charset=""utf-8""><span>Check out th</span><span><span>ese SICK Pokemon Snapbacks now available at RageOn!! This snapback features åÊSnorlax who is a normal-type Pokemon but evolves from Munchlax when leveled up with high friendship! Aw!!åÊ</span></span><span>Get your favorite Pokemon on a snapback to complete your Pokemon attire!!</span>","Let's Rage",Beanies/Hats,"Beanies & Hats, Coupon, Girls, Guys, Let's Rage, Ready to Ship, Retail, shipping-1-days, snapback, snapbacks, theme-pokemon",0,Size,OS,Color,"Peru, Light Slate Gray, Forest Green",,,PKSSB0009UOS,0,shopify,0,deny,manual,45,55,0,0,,https://cdn.shopify.com/s/files/1/0228/8535/products/Snorlax.jpg?v=1438491852,,0,,,,,,,,,,0,,,,,,,lb
vuplix-snapback,"Vulpix Snapback","<meta charset=""utf-8""><span>Check out th</span><span>ese SICK Pokemon Snapbacks now available at RageOn!! åÊThis snapback features Vulpix who is a fire-type Pokemon and evolves into Ninetales when exposed to a Fire Stone. Get your favorite Pokemon on a snapback to complete your Pokemon attire!!</span>","Let's Rage",Beanies/Hats,"Beanies & Hats, Coupon, Girls, Guys, Let's Rage, Ready to Ship, Retail, shipping-1-days, snapback, snapbacks, theme-pokemon",0,Size,OS,Color,"Medium Violet Red, Saddle Brown, Thistle",,,PKSSB0002UOS,0,shopify,0,deny,manual,38,48,0,0,,https://cdn.shopify.com/s/files/1/0228/8535/products/Vulpix.jpg?v=1438491826,,0,,,,,,,,,,0,,,,,,,lb
astral-projection-bandana,"Astral Projection Bandana","Check out this sick, all-over-print Astral Projection Bandana from the brand Minnesota! This fully sublimated design features an out of body experience which is formerly known as an astral projection! Travel outside your body with this vibrant bandana today, only on RageOn!",Minnesota,Bandanas,"#astral projection, #bandana, #EDM, #sick, #sweet, All-Over-Prints, Apartment, Bandanas, Coupon, Electronic Dance Music, Girls, Guys, Minnesota, Retail, shipping-10-days",0,Size,OS,Color,Purple,,,MINBA0001UOS,0,,1,deny,manual,15,20,0,0,,https://cdn.shopify.com/s/files/1/0228/8535/products/MINBA0001U_Astral_Projection_Mockup.jpg?v=1438504160,,0,,unisex,adult,"apparel & accessories > clothing accessories > bandanas & headties",,,Bandanas,Bandanas,new,0,,,,,,,lb
